A,B,C,D
7.233249e-14,663218.75,0.7735224,1.0658289e-9
7.233249e-14,663218.75,0.7735224,1.0658289e-9
1.6239108e-13,663857.4,36.86539,2.7598946e-11
1.2513685e-13,663038.2,105.8789,3.2957827e-11
41.917965,1.8771616e-15,10548.164,1.7387679e-16
43.21033,3313.7046,10034.07,9.622327
341.90973,1.0e6,6033.647,0.0010094494
337.7308,907086.2,20000.0,0.0
65.4176,25753.824,20000.0,0.00024370821
17.026659,37386.215,19999.795,1.9913008e-5
17.682598,37192.76,20000.0,1.8006667e-14
57.354126,147725.0,20000.0,0.00015110093
122.09593,116537.836,19734.281,0.032166477
42.1524,9105.445,8346.89,15.992966
113.9787,20895.057,20000.0,0.00039129597
419.06345,3775.578,8.5790205e-8,2.199172e-8
58.132267,24468.129,20000.0,1.29595744e-14
82.682526,24030.94,19999.975,7.4353215e-6
32.602238,29230.072,20000.0,2.361603e-14
43.21585,57860.25,20000.0,4.602901e-24
38.18168,31819.898,20000.0,0.0
78.524155,55420.984,4540.462,44.09026
42.7318,102286.03,19799.12,0.044859786
