,Q1,Q2,Q3,Q4
AL,0.10238933782854794,0.011159170702380742,0.012381486594676971,0.013647419710954031
AR,0.09870337826169719,0.020947490354044345,0.015624055328468481,0.007691405868778626
AZ,2.8634943885040194,3.2403983683814936,120.11954482396443,59.18278450767199
CA,0.5670296808251228,0.39102814108711986,0.8953733444213867,0.08812770744164784
CO,0.4473084189546784,0.20005736829284868,7.165977954864502,0.16669079760079816
CT,0.2819481032708517,0.09504922155162047,0.06604493999232848,0.020924378496905167
DC,0.0,0.0,0.0,0.0
DE,0.05105103111436435,0.09598389743597162,0.49110816915829975,0.22421119858821234
FL,0.11851036725275403,0.05657989310867965,3.4471352895100914e-05,4.892630628698195e-05
GA,0.10695573449837692,0.042027871610140134,0.0030463597019358226,0.0005310061096679419
IA,0.12488796000797432,0.04062621443283232,0.14911615679253978,4.793777043232694e-05
ID,0.08092646782038043,0.010643731939950643,0.0002766331441913887,4.280617031326983e-05
IL,0.20781031031116726,0.0012120940515855476,0.6874165534973145,0.1559203369409564
IN,0.04978326066167645,0.02766597898506658,0.024113014806061983,0.016702574367324512
KS,0.17280139965229513,0.08755108416301789,0.024083224047596257,0.002541405614465475
KY,0.25695267591464727,0.11255551435923884,0.1022201602657636,0.06204696247975031
LA,0.12612166516798248,0.007667775736415194,0.20028209686279297,0.004066069920857747
MA,0.18216673331656005,0.0864584645131709,0.35362680442631245,0.06199341453611851
MD,0.10103087008001521,0.014471391325836858,8.178981867483041e-05,4.072384399478324e-05
ME,0.007406299115984866,0.004093342063567244,0.0024911416694521904,0.0024911416694521904
MI,0.13231170840448958,0.055539018221428225,0.6695336475968361,0.02209224986533324
MN,0.16634864316251718,0.08361725825467621,0.5387115427292883,0.01157028895492355
MO,0.1043493695065764,0.03214536097260782,0.0352348784605662,0.013160734437406063
MS,0.14581611878442322,0.0991303039927695,0.04041547638674577,0.014852257445454597
MT,0.16554267545638066,0.07541226957520945,0.06348723483582337,0.04223549738526344
NC,0.2594694225372835,0.1188605254069852,0.0645467930783828,0.017170645917455356
ND,0.1285126201451143,0.06797012351625269,0.4307737549146016,0.020908944308757782
NE,0.1265837527563407,0.06860848600509255,0.7766095039745172,0.09608866274356842
NH,0.00989115444071335,0.004738424163562263,0.0017487476579844952,0.0028686780327310166
NJ,0.0742869370171359,0.0004453641273003221,0.3843062411700278,4.065580894045221e-05
NM,0.15071256929980079,0.0853098605846014,0.33364925825480896,0.002828480556975895
NV,0.13847596259210146,0.06131293963976392,0.04447609061996142,0.04232390969991684
NY,0.15292032745558634,0.03280924733773224,0.3455631732940674,0.00018452595334868724
OH,0.07179486118933469,0.00048615557799439973,8.102258046468099e-05,2.4926238135473493e-05
OK,0.06885704120968976,0.007009224252545465,0.11019613883763668,5.494410470419098e-05
OR,0.2760484210575756,0.3641322409743901,0.6109375059604645,0.35154640674591064
PA,0.05026812940684603,0.001870078005048829,0.4398008443798365,8.243479048057149e-05
RI,0.21163077714041667,0.22959968090969451,0.14728113015492758,0.12161669135093689
SC,0.14457854738988332,0.6519214694715454,1.2140528758366902,0.8028768400351206
SD,0.22103442047159802,0.07292697417016665,0.20955840746561685,3.266486601205543e-05
TN,0.07514456943033278,0.023793570475759696,0.023843729868531227,0.020968522876501083
TX,0.10037498324556375,0.0446760405886808,0.2823762098948161,0.16112772069269946
UT,0.13337175576898502,0.10448792251907546,2.1487662295500436,0.12183398008346558
VA,0.19092046145828756,0.07271104960123542,0.056078290877242885,0.022347804469366867
VT,0.016047557026339768,0.008850225125100624,0.0056931319025655585,0.005057900212705135
WA,0.2613764873301178,0.23022292121438162,0.3937518795331319,0.17654903729756674
WI,0.08610667006223079,0.010902689427056985,0.012329757989694675,0.0017713927663862705
WV,0.0350761938897019,0.19253798903423547,0.060016170144081116,0.060016170144081116
WY,0.17111831131297459,0.09162831418068684,0.06269869953393936,0.06017586216330528
