DateTime,Avian influenza
2008-01-31,24218
2008-02-29,25661
2008-03-31,20597
2008-04-30,22049
2008-05-31,23191
2008-06-30,18271
2008-07-31,14588
2008-08-31,14567
2008-09-30,17425
2008-10-31,20427
2008-11-30,21438
2008-12-31,17344
2009-01-31,21886
2009-02-28,20800
2009-03-31,21962
2009-04-30,116509
2009-05-31,74549
2009-06-30,28593
2009-07-31,26223
2009-08-31,26475
2009-09-30,19453
2009-10-31,30311
2009-11-30,28619
2009-12-31,14711
2010-01-31,13450
2010-02-28,13386
2010-03-31,15286
2010-04-30,14810
2010-05-31,14716
2010-06-30,9741
2010-07-31,9646
2010-08-31,15071
2010-09-30,16259
2010-10-31,17218
2010-11-30,19148
2010-12-31,15965
2011-01-31,19820
2011-02-28,16263
2011-03-31,17722
2011-04-30,13262
2011-05-31,13771
2011-06-30,11229
2011-07-31,13124
2011-08-31,12764
2011-09-30,14907
2011-10-31,15888
2011-11-30,17150
2011-12-31,16347
2012-01-31,21417
2012-02-29,18047
2012-03-31,17827
2012-04-30,15137
2012-05-31,16066
2012-06-30,15228
2012-07-31,14180
2012-08-31,13005
2012-09-30,15330
2012-10-31,18913
2012-11-30,20885
2012-12-31,18108
2013-01-31,23086
2013-02-28,21978
2013-03-31,20074
2013-04-30,49355
2013-05-31,30456
2013-06-30,19710
2013-07-31,16094
2013-08-31,18457
2013-09-30,14305
2013-10-31,17841
2013-11-30,15547
2013-12-31,16878
2014-01-31,30116
2014-02-28,21695
2014-03-31,19245
2014-04-30,17180
2014-05-31,15768
2014-06-30,11619
2014-07-31,11619
2014-08-31,15027
2014-09-30,14305
2014-10-31,27988
2014-11-30,29386
2014-12-31,24535
2015-01-31,24934
2015-02-28,19509
2015-03-31,19794
2015-04-30,28872
2015-05-31,26383
2015-06-30,18876
2015-07-31,20407
2015-08-31,10823
2015-09-30,10700
2015-10-31,10038
2015-11-30,9930
2015-12-31,9403
2016-01-31,10020
2016-02-29,9686
2016-03-31,9233
2016-04-30,8180
2016-05-31,8849
2016-06-30,6605
2016-07-31,5387
2016-08-31,6377
2016-09-30,8093
2016-10-31,10666
2016-11-30,12138
2016-12-31,12407
2017-01-31,14933
2017-02-28,12081
2017-03-31,13318
2017-04-30,8130
2017-05-31,8306
2017-06-30,7109
2017-07-31,6012
2017-08-31,13781
2017-09-30,8533
2017-10-31,8323
2017-11-30,8268
2017-12-31,6958
2018-01-31,10764
2018-02-28,8601
2018-03-31,8994
2018-04-30,6874
2018-05-31,7139
2018-06-30,5674
2018-07-31,4892
2018-08-31,4473
2018-09-30,5212
2018-10-31,5928
2018-11-30,5523
2018-12-31,5295
2019-01-31,6949
2019-02-28,4880
2019-03-31,5711
2019-04-30,5209
2019-05-31,5381
2019-06-30,3845
2019-07-31,3498
2019-08-31,3546
2019-09-30,3874
2019-10-31,7017
2019-11-30,4951
2019-12-31,4254
2020-01-31,35364
2020-02-29,43928
2020-03-31,142738
2020-04-30,51043
2020-05-31,20405
2020-06-30,10386
2020-07-31,9585
2020-08-31,8046
2020-09-30,7450
2020-10-31,9723
2020-11-30,13591
2020-12-31,11302
2021-01-31,19420
2021-02-28,12221
2021-03-31,8322
2021-04-30,7100
2021-05-31,7010
2021-06-30,10010
2021-07-31,5557
2021-08-31,5458
2021-09-30,5264
2021-10-31,5207
2021-11-30,6601
2021-12-31,6879
2022-01-31,9144
2022-02-28,5896
2022-03-31,7004
2022-04-30,10168
2022-05-31,6559
2022-06-30,3981
2022-07-31,3501
2022-08-31,3409
2022-09-30,3623
2022-10-31,6200
2022-11-30,5956
2022-12-31,4783
2023-01-31,7179
2023-02-28,10580
2023-03-31,8377
2023-04-30,5341
2023-05-31,5452
2023-06-30,3552
2023-07-31,1377
