"DateTime","Avian influenza[en]"
"2008-01-01 00:00:00",329
"2008-01-02 00:00:00",508
"2008-01-03 00:00:00",578
"2008-01-04 00:00:00",581
"2008-01-05 00:00:00",502
"2008-01-06 00:00:00",537
"2008-01-07 00:00:00",795
"2008-01-08 00:00:00",752
"2008-01-09 00:00:00",750
"2008-01-10 00:00:00",803
"2008-01-11 00:00:00",670
"2008-01-12 00:00:00",516
"2008-01-13 00:00:00",525
"2008-01-14 00:00:00",746
"2008-01-15 00:00:00",910
"2008-01-16 00:00:00",967
"2008-01-17 00:00:00",952
"2008-01-18 00:00:00",826
"2008-01-19 00:00:00",507
"2008-01-20 00:00:00",625
"2008-01-21 00:00:00",893
"2008-01-22 00:00:00",1125
"2008-01-23 00:00:00",1159
"2008-01-24 00:00:00",1062
"2008-01-25 00:00:00",975
"2008-01-26 00:00:00",612
"2008-01-27 00:00:00",682
"2008-01-28 00:00:00",1149
"2008-01-29 00:00:00",1055
"2008-01-30 00:00:00",1078
"2008-01-31 00:00:00",1049
"2008-02-01 00:00:00",1028
"2008-02-02 00:00:00",673
"2008-02-03 00:00:00",823
"2008-02-04 00:00:00",1020
"2008-02-05 00:00:00",1082
"2008-02-06 00:00:00",1157
"2008-02-07 00:00:00",971
"2008-02-08 00:00:00",1235
"2008-02-09 00:00:00",701
"2008-02-10 00:00:00",696
"2008-02-11 00:00:00",1073
"2008-02-12 00:00:00",1116
"2008-02-13 00:00:00",1130
"2008-02-14 00:00:00",1068
"2008-02-15 00:00:00",773
"2008-02-16 00:00:00",574
"2008-02-17 00:00:00",651
"2008-02-18 00:00:00",940
"2008-02-19 00:00:00",994
"2008-02-20 00:00:00",914
"2008-02-21 00:00:00",823
"2008-02-22 00:00:00",772
"2008-02-23 00:00:00",483
"2008-02-24 00:00:00",669
"2008-02-25 00:00:00",884
"2008-02-26 00:00:00",917
"2008-02-27 00:00:00",921
"2008-02-28 00:00:00",862
"2008-02-29 00:00:00",711
"2008-03-01 00:00:00",479
"2008-03-02 00:00:00",626
"2008-03-03 00:00:00",569
"2008-03-04 00:00:00",299
"2008-03-05 00:00:00",802
"2008-03-06 00:00:00",771
"2008-03-07 00:00:00",664
"2008-03-08 00:00:00",477
"2008-03-09 00:00:00",560
"2008-03-10 00:00:00",896
"2008-03-11 00:00:00",888
"2008-03-12 00:00:00",849
"2008-03-13 00:00:00",977
"2008-03-14 00:00:00",649
"2008-03-15 00:00:00",466
"2008-03-16 00:00:00",595
"2008-03-17 00:00:00",805
"2008-03-18 00:00:00",811
"2008-03-19 00:00:00",866
"2008-03-20 00:00:00",727
"2008-03-21 00:00:00",488
"2008-03-22 00:00:00",434
"2008-03-23 00:00:00",436
"2008-03-24 00:00:00",730
"2008-03-25 00:00:00",786
"2008-03-26 00:00:00",736
"2008-03-27 00:00:00",687
"2008-03-28 00:00:00",649
"2008-03-29 00:00:00",444
"2008-03-30 00:00:00",562
"2008-03-31 00:00:00",869
"2008-04-01 00:00:00",859
"2008-04-02 00:00:00",725
"2008-04-03 00:00:00",698
"2008-04-04 00:00:00",770
"2008-04-05 00:00:00",480
"2008-04-06 00:00:00",626
"2008-04-07 00:00:00",978
"2008-04-08 00:00:00",947
"2008-04-09 00:00:00",772
"2008-04-10 00:00:00",693
"2008-04-11 00:00:00",641
"2008-04-12 00:00:00",412
"2008-04-13 00:00:00",589
"2008-04-14 00:00:00",908
"2008-04-15 00:00:00",792
"2008-04-16 00:00:00",814
"2008-04-17 00:00:00",794
"2008-04-18 00:00:00",742
"2008-04-19 00:00:00",490
"2008-04-20 00:00:00",618
"2008-04-21 00:00:00",937
"2008-04-22 00:00:00",886
"2008-04-23 00:00:00",871
"2008-04-24 00:00:00",750
"2008-04-25 00:00:00",712
"2008-04-26 00:00:00",446
"2008-04-27 00:00:00",557
"2008-04-28 00:00:00",813
"2008-04-29 00:00:00",970
"2008-04-30 00:00:00",759
"2008-05-01 00:00:00",787
"2008-05-02 00:00:00",672
"2008-05-03 00:00:00",455
"2008-05-04 00:00:00",534
"2008-05-05 00:00:00",861
"2008-05-06 00:00:00",961
"2008-05-07 00:00:00",1117
"2008-05-08 00:00:00",904
"2008-05-09 00:00:00",880
"2008-05-10 00:00:00",535
"2008-05-11 00:00:00",632
"2008-05-12 00:00:00",997
"2008-05-13 00:00:00",996
"2008-05-14 00:00:00",955
"2008-05-15 00:00:00",939
"2008-05-16 00:00:00",731
"2008-05-17 00:00:00",469
"2008-05-18 00:00:00",623
"2008-05-19 00:00:00",825
"2008-05-20 00:00:00",900
"2008-05-21 00:00:00",844
"2008-05-22 00:00:00",819
"2008-05-23 00:00:00",712
"2008-05-24 00:00:00",466
"2008-05-25 00:00:00",570
"2008-05-26 00:00:00",662
"2008-05-27 00:00:00",714
"2008-05-28 00:00:00",841
"2008-05-29 00:00:00",826
"2008-05-30 00:00:00",578
"2008-05-31 00:00:00",386
"2008-06-01 00:00:00",549
"2008-06-02 00:00:00",691
"2008-06-03 00:00:00",779
"2008-06-04 00:00:00",900
"2008-06-05 00:00:00",806
"2008-06-06 00:00:00",583
"2008-06-07 00:00:00",429
"2008-06-08 00:00:00",491
"2008-06-09 00:00:00",696
"2008-06-10 00:00:00",683
"2008-06-11 00:00:00",707
"2008-06-12 00:00:00",791
"2008-06-13 00:00:00",569
"2008-06-14 00:00:00",410
"2008-06-15 00:00:00",471
"2008-06-16 00:00:00",866
"2008-06-17 00:00:00",772
"2008-06-18 00:00:00",724
"2008-06-19 00:00:00",556
"2008-06-20 00:00:00",493
"2008-06-21 00:00:00",388
"2008-06-22 00:00:00",493
"2008-06-23 00:00:00",654
"2008-06-24 00:00:00",573
"2008-06-25 00:00:00",638
"2008-06-26 00:00:00",599
"2008-06-27 00:00:00",505
"2008-06-28 00:00:00",398
"2008-06-29 00:00:00",454
"2008-06-30 00:00:00",603
"2008-07-01 00:00:00",599
"2008-07-02 00:00:00",535
"2008-07-03 00:00:00",505
"2008-07-04 00:00:00",456
"2008-07-05 00:00:00",355
"2008-07-06 00:00:00",357
"2008-07-07 00:00:00",576
"2008-07-08 00:00:00",457
"2008-07-09 00:00:00",474
"2008-07-10 00:00:00",455
"2008-07-11 00:00:00",374
"2008-07-12 00:00:00",300
"2008-07-13 00:00:00",342
"2008-07-14 00:00:00",469
"2008-07-15 00:00:00",450
"2008-07-16 00:00:00",513
"2008-07-17 00:00:00",566
"2008-07-18 00:00:00",425
"2008-07-19 00:00:00",396
"2008-07-20 00:00:00",425
"2008-07-21 00:00:00",572
"2008-07-22 00:00:00",547
"2008-07-23 00:00:00",558
"2008-07-24 00:00:00",481
"2008-07-25 00:00:00",419
"2008-07-26 00:00:00",315
"2008-07-27 00:00:00",348
"2008-07-28 00:00:00",622
"2008-07-29 00:00:00",563
"2008-07-30 00:00:00",566
"2008-07-31 00:00:00",568
"2008-08-01 00:00:00",480
"2008-08-02 00:00:00",326
"2008-08-03 00:00:00",364
"2008-08-04 00:00:00",490
"2008-08-05 00:00:00",581
"2008-08-06 00:00:00",584
"2008-08-07 00:00:00",528
"2008-08-08 00:00:00",442
"2008-08-09 00:00:00",317
"2008-08-10 00:00:00",351
"2008-08-11 00:00:00",572
"2008-08-12 00:00:00",558
"2008-08-13 00:00:00",477
"2008-08-14 00:00:00",440
"2008-08-15 00:00:00",381
"2008-08-16 00:00:00",292
"2008-08-17 00:00:00",433
"2008-08-18 00:00:00",587
"2008-08-19 00:00:00",542
"2008-08-20 00:00:00",601
"2008-08-21 00:00:00",501
"2008-08-22 00:00:00",557
"2008-08-23 00:00:00",291
"2008-08-24 00:00:00",498
"2008-08-25 00:00:00",533
"2008-08-26 00:00:00",558
"2008-08-27 00:00:00",545
"2008-08-28 00:00:00",512
"2008-08-29 00:00:00",411
"2008-08-30 00:00:00",365
"2008-08-31 00:00:00",450
"2008-09-01 00:00:00",503
"2008-09-02 00:00:00",563
"2008-09-03 00:00:00",609
"2008-09-04 00:00:00",639
"2008-09-05 00:00:00",536
"2008-09-06 00:00:00",378
"2008-09-07 00:00:00",478
"2008-09-08 00:00:00",620
"2008-09-09 00:00:00",685
"2008-09-10 00:00:00",563
"2008-09-11 00:00:00",631
"2008-09-12 00:00:00",560
"2008-09-13 00:00:00",379
"2008-09-14 00:00:00",507
"2008-09-15 00:00:00",724
"2008-09-16 00:00:00",755
"2008-09-17 00:00:00",728
"2008-09-18 00:00:00",585
"2008-09-19 00:00:00",622
"2008-09-20 00:00:00",418
"2008-09-21 00:00:00",546
"2008-09-22 00:00:00",707
"2008-09-23 00:00:00",684
"2008-09-24 00:00:00",727
"2008-09-25 00:00:00",631
"2008-09-26 00:00:00",489
"2008-09-27 00:00:00",345
"2008-09-28 00:00:00",498
"2008-09-29 00:00:00",697
"2008-09-30 00:00:00",618
"2008-10-01 00:00:00",688
"2008-10-02 00:00:00",540
"2008-10-03 00:00:00",510
"2008-10-04 00:00:00",422
"2008-10-05 00:00:00",496
"2008-10-06 00:00:00",810
"2008-10-07 00:00:00",745
"2008-10-08 00:00:00",781
"2008-10-09 00:00:00",824
"2008-10-10 00:00:00",613
"2008-10-11 00:00:00",472
"2008-10-12 00:00:00",581
"2008-10-13 00:00:00",804
"2008-10-14 00:00:00",780
"2008-10-15 00:00:00",746
"2008-10-16 00:00:00",825
"2008-10-17 00:00:00",700
"2008-10-18 00:00:00",427
"2008-10-19 00:00:00",666
"2008-10-20 00:00:00",992
"2008-10-21 00:00:00",418
"2008-10-22 00:00:00",530
"2008-10-23 00:00:00",784
"2008-10-24 00:00:00",585
"2008-10-25 00:00:00",504
"2008-10-26 00:00:00",584
"2008-10-27 00:00:00",712
"2008-10-28 00:00:00",784
"2008-10-29 00:00:00",753
"2008-10-30 00:00:00",741
"2008-10-31 00:00:00",610
"2008-11-01 00:00:00",419
"2008-11-02 00:00:00",592
"2008-11-03 00:00:00",898
"2008-11-04 00:00:00",741
"2008-11-05 00:00:00",732
"2008-11-06 00:00:00",748
"2008-11-07 00:00:00",676
"2008-11-08 00:00:00",479
"2008-11-09 00:00:00",623
"2008-11-10 00:00:00",892
"2008-11-11 00:00:00",802
"2008-11-12 00:00:00",901
"2008-11-13 00:00:00",905
"2008-11-14 00:00:00",850
"2008-11-15 00:00:00",489
"2008-11-16 00:00:00",811
"2008-11-17 00:00:00",974
"2008-11-18 00:00:00",995
"2008-11-19 00:00:00",843
"2008-11-20 00:00:00",882
"2008-11-21 00:00:00",672
"2008-11-22 00:00:00",454
"2008-11-23 00:00:00",575
"2008-11-24 00:00:00",811
"2008-11-25 00:00:00",712
"2008-11-26 00:00:00",719
"2008-11-27 00:00:00",639
"2008-11-28 00:00:00",529
"2008-11-29 00:00:00",462
"2008-11-30 00:00:00",613
"2008-12-01 00:00:00",804
"2008-12-02 00:00:00",852
"2008-12-03 00:00:00",901
"2008-12-04 00:00:00",830
"2008-12-05 00:00:00",684
"2008-12-06 00:00:00",472
"2008-12-07 00:00:00",512
"2008-12-08 00:00:00",647
"2008-12-09 00:00:00",878
"2008-12-10 00:00:00",734
"2008-12-11 00:00:00",753
"2008-12-12 00:00:00",679
"2008-12-13 00:00:00",454
"2008-12-14 00:00:00",575
"2008-12-15 00:00:00",652
"2008-12-16 00:00:00",702
"2008-12-17 00:00:00",660
"2008-12-18 00:00:00",636
"2008-12-19 00:00:00",470
"2008-12-20 00:00:00",364
"2008-12-21 00:00:00",374
"2008-12-22 00:00:00",482
"2008-12-23 00:00:00",387
"2008-12-24 00:00:00",319
"2008-12-25 00:00:00",296
"2008-12-26 00:00:00",316
"2008-12-27 00:00:00",246
"2008-12-28 00:00:00",345
"2008-12-29 00:00:00",427
"2008-12-30 00:00:00",500
"2008-12-31 00:00:00",393
"2009-01-01 00:00:00",330
"2009-01-02 00:00:00",361
"2009-01-03 00:00:00",348
"2009-01-04 00:00:00",455
"2009-01-05 00:00:00",655
"2009-01-06 00:00:00",714
"2009-01-07 00:00:00",837
"2009-01-08 00:00:00",664
"2009-01-09 00:00:00",654
"2009-01-10 00:00:00",491
"2009-01-11 00:00:00",566
"2009-01-12 00:00:00",683
"2009-01-13 00:00:00",784
"2009-01-14 00:00:00",796
"2009-01-15 00:00:00",733
"2009-01-16 00:00:00",593
"2009-01-17 00:00:00",435
"2009-01-18 00:00:00",1045
"2009-01-19 00:00:00",1118
"2009-01-20 00:00:00",1039
"2009-01-21 00:00:00",888
"2009-01-22 00:00:00",870
"2009-01-23 00:00:00",683
"2009-01-24 00:00:00",641
"2009-01-25 00:00:00",760
"2009-01-26 00:00:00",931
"2009-01-27 00:00:00",903
