"DateTime","Centers for Disease Control and Prevention[en]"
"2008-01-01 00:00:00",258
"2008-01-02 00:00:00",463
"2008-01-03 00:00:00",482
"2008-01-04 00:00:00",467
"2008-01-05 00:00:00",387
"2008-01-06 00:00:00",425
"2008-01-07 00:00:00",471
"2008-01-08 00:00:00",589
"2008-01-09 00:00:00",598
"2008-01-10 00:00:00",552
"2008-01-11 00:00:00",547
"2008-01-12 00:00:00",337
"2008-01-13 00:00:00",443
"2008-01-14 00:00:00",571
"2008-01-15 00:00:00",617
"2008-01-16 00:00:00",626
"2008-01-17 00:00:00",712
"2008-01-18 00:00:00",668
"2008-01-19 00:00:00",421
"2008-01-20 00:00:00",420
"2008-01-21 00:00:00",535
"2008-01-22 00:00:00",691
"2008-01-23 00:00:00",675
"2008-01-24 00:00:00",621
"2008-01-25 00:00:00",601
"2008-01-26 00:00:00",445
"2008-01-27 00:00:00",417
"2008-01-28 00:00:00",645
"2008-01-29 00:00:00",704
"2008-01-30 00:00:00",623
"2008-01-31 00:00:00",660
"2008-02-01 00:00:00",600
"2008-02-02 00:00:00",421
"2008-02-03 00:00:00",421
"2008-02-04 00:00:00",573
"2008-02-05 00:00:00",692
"2008-02-06 00:00:00",588
"2008-02-07 00:00:00",596
"2008-02-08 00:00:00",583
"2008-02-09 00:00:00",482
"2008-02-10 00:00:00",488
"2008-02-11 00:00:00",699
"2008-02-12 00:00:00",730
"2008-02-13 00:00:00",684
"2008-02-14 00:00:00",610
"2008-02-15 00:00:00",508
"2008-02-16 00:00:00",441
"2008-02-17 00:00:00",425
"2008-02-18 00:00:00",675
"2008-02-19 00:00:00",645
"2008-02-20 00:00:00",680
"2008-02-21 00:00:00",754
"2008-02-22 00:00:00",616
"2008-02-23 00:00:00",462
"2008-02-24 00:00:00",469
"2008-02-25 00:00:00",696
"2008-02-26 00:00:00",670
"2008-02-27 00:00:00",634
"2008-02-28 00:00:00",686
"2008-02-29 00:00:00",612
"2008-03-01 00:00:00",500
"2008-03-02 00:00:00",508
"2008-03-03 00:00:00",410
"2008-03-04 00:00:00",281
"2008-03-05 00:00:00",706
"2008-03-06 00:00:00",681
"2008-03-07 00:00:00",647
"2008-03-08 00:00:00",436
"2008-03-09 00:00:00",448
"2008-03-10 00:00:00",696
"2008-03-11 00:00:00",771
"2008-03-12 00:00:00",763
"2008-03-13 00:00:00",734
"2008-03-14 00:00:00",583
"2008-03-15 00:00:00",404
"2008-03-16 00:00:00",471
"2008-03-17 00:00:00",651
"2008-03-18 00:00:00",592
"2008-03-19 00:00:00",596
"2008-03-20 00:00:00",632
"2008-03-21 00:00:00",519
"2008-03-22 00:00:00",406
"2008-03-23 00:00:00",404
"2008-03-24 00:00:00",631
"2008-03-25 00:00:00",612
"2008-03-26 00:00:00",686
"2008-03-27 00:00:00",718
"2008-03-28 00:00:00",647
"2008-03-29 00:00:00",488
"2008-03-30 00:00:00",533
"2008-03-31 00:00:00",676
"2008-04-01 00:00:00",729
"2008-04-02 00:00:00",687
"2008-04-03 00:00:00",697
"2008-04-04 00:00:00",627
"2008-04-05 00:00:00",410
"2008-04-06 00:00:00",511
"2008-04-07 00:00:00",788
"2008-04-08 00:00:00",700
"2008-04-09 00:00:00",798
"2008-04-10 00:00:00",648
"2008-04-11 00:00:00",546
"2008-04-12 00:00:00",369
"2008-04-13 00:00:00",469
"2008-04-14 00:00:00",726
"2008-04-15 00:00:00",685
"2008-04-16 00:00:00",650
"2008-04-17 00:00:00",712
"2008-04-18 00:00:00",478
"2008-04-19 00:00:00",405
"2008-04-20 00:00:00",470
"2008-04-21 00:00:00",722
"2008-04-22 00:00:00",646
"2008-04-23 00:00:00",591
"2008-04-24 00:00:00",668
"2008-04-25 00:00:00",566
"2008-04-26 00:00:00",409
"2008-04-27 00:00:00",501
"2008-04-28 00:00:00",773
"2008-04-29 00:00:00",688
"2008-04-30 00:00:00",674
"2008-05-01 00:00:00",673
"2008-05-02 00:00:00",611
"2008-05-03 00:00:00",428
"2008-05-04 00:00:00",449
"2008-05-05 00:00:00",690
"2008-05-06 00:00:00",663
"2008-05-07 00:00:00",699
"2008-05-08 00:00:00",679
"2008-05-09 00:00:00",616
"2008-05-10 00:00:00",474
"2008-05-11 00:00:00",481
"2008-05-12 00:00:00",742
"2008-05-13 00:00:00",705
"2008-05-14 00:00:00",701
"2008-05-15 00:00:00",695
"2008-05-16 00:00:00",564
"2008-05-17 00:00:00",365
"2008-05-18 00:00:00",469
"2008-05-19 00:00:00",685
"2008-05-20 00:00:00",796
"2008-05-21 00:00:00",714
"2008-05-22 00:00:00",647
"2008-05-23 00:00:00",559
"2008-05-24 00:00:00",368
"2008-05-25 00:00:00",460
"2008-05-26 00:00:00",535
"2008-05-27 00:00:00",743
"2008-05-28 00:00:00",904
"2008-05-29 00:00:00",905
"2008-05-30 00:00:00",652
"2008-05-31 00:00:00",462
"2008-06-01 00:00:00",472
"2008-06-02 00:00:00",790
"2008-06-03 00:00:00",763
"2008-06-04 00:00:00",829
"2008-06-05 00:00:00",831
"2008-06-06 00:00:00",638
"2008-06-07 00:00:00",477
"2008-06-08 00:00:00",620
"2008-06-09 00:00:00",944
"2008-06-10 00:00:00",846
"2008-06-11 00:00:00",770
"2008-06-12 00:00:00",708
"2008-06-13 00:00:00",648
"2008-06-14 00:00:00",469
"2008-06-15 00:00:00",500
"2008-06-16 00:00:00",627
"2008-06-17 00:00:00",767
"2008-06-18 00:00:00",730
"2008-06-19 00:00:00",679
"2008-06-20 00:00:00",518
"2008-06-21 00:00:00",448
"2008-06-22 00:00:00",432
"2008-06-23 00:00:00",758
"2008-06-24 00:00:00",644
"2008-06-25 00:00:00",642
"2008-06-26 00:00:00",613
"2008-06-27 00:00:00",551
"2008-06-28 00:00:00",441
"2008-06-29 00:00:00",389
"2008-06-30 00:00:00",561
"2008-07-01 00:00:00",548
"2008-07-02 00:00:00",559
"2008-07-03 00:00:00",544
"2008-07-04 00:00:00",384
"2008-07-05 00:00:00",350
"2008-07-06 00:00:00",392
"2008-07-07 00:00:00",557
"2008-07-08 00:00:00",563
"2008-07-09 00:00:00",599
"2008-07-10 00:00:00",513
"2008-07-11 00:00:00",469
"2008-07-12 00:00:00",377
"2008-07-13 00:00:00",422
"2008-07-14 00:00:00",492
"2008-07-15 00:00:00",481
"2008-07-16 00:00:00",531
"2008-07-17 00:00:00",515
"2008-07-18 00:00:00",521
"2008-07-19 00:00:00",444
"2008-07-20 00:00:00",394
"2008-07-21 00:00:00",531
"2008-07-22 00:00:00",500
"2008-07-23 00:00:00",564
"2008-07-24 00:00:00",476
"2008-07-25 00:00:00",451
"2008-07-26 00:00:00",317
"2008-07-27 00:00:00",357
"2008-07-28 00:00:00",550
"2008-07-29 00:00:00",547
"2008-07-30 00:00:00",526
"2008-07-31 00:00:00",522
"2008-08-01 00:00:00",418
"2008-08-02 00:00:00",371
"2008-08-03 00:00:00",426
"2008-08-04 00:00:00",498
"2008-08-05 00:00:00",533
"2008-08-06 00:00:00",480
"2008-08-07 00:00:00",716
"2008-08-08 00:00:00",449
"2008-08-09 00:00:00",323
"2008-08-10 00:00:00",291
"2008-08-11 00:00:00",434
"2008-08-12 00:00:00",397
"2008-08-13 00:00:00",427
"2008-08-14 00:00:00",426
"2008-08-15 00:00:00",340
"2008-08-16 00:00:00",311
"2008-08-17 00:00:00",418
"2008-08-18 00:00:00",535
"2008-08-19 00:00:00",504
"2008-08-20 00:00:00",404
"2008-08-21 00:00:00",492
"2008-08-22 00:00:00",616
"2008-08-23 00:00:00",347
"2008-08-24 00:00:00",407
"2008-08-25 00:00:00",498
"2008-08-26 00:00:00",462
"2008-08-27 00:00:00",551
"2008-08-28 00:00:00",549
"2008-08-29 00:00:00",460
"2008-08-30 00:00:00",350
"2008-08-31 00:00:00",447
"2008-09-01 00:00:00",428
"2008-09-02 00:00:00",490
"2008-09-03 00:00:00",577
"2008-09-04 00:00:00",532
"2008-09-05 00:00:00",569
"2008-09-06 00:00:00",491
"2008-09-07 00:00:00",519
"2008-09-08 00:00:00",717
"2008-09-09 00:00:00",629
"2008-09-10 00:00:00",609
"2008-09-11 00:00:00",603
"2008-09-12 00:00:00",575
"2008-09-13 00:00:00",387
"2008-09-14 00:00:00",455
"2008-09-15 00:00:00",673
"2008-09-16 00:00:00",879
"2008-09-17 00:00:00",810
"2008-09-18 00:00:00",729
"2008-09-19 00:00:00",778
"2008-09-20 00:00:00",648
"2008-09-21 00:00:00",692
"2008-09-22 00:00:00",1065
"2008-09-23 00:00:00",1185
"2008-09-24 00:00:00",1315
"2008-09-25 00:00:00",2307
"2008-09-26 00:00:00",1451
"2008-09-27 00:00:00",760
"2008-09-28 00:00:00",989
"2008-09-29 00:00:00",936
"2008-09-30 00:00:00",1100
"2008-10-01 00:00:00",1207
"2008-10-02 00:00:00",1082
"2008-10-03 00:00:00",1096
"2008-10-04 00:00:00",762
"2008-10-05 00:00:00",951
"2008-10-06 00:00:00",1335
"2008-10-07 00:00:00",1436
"2008-10-08 00:00:00",1594
"2008-10-09 00:00:00",1507
"2008-10-10 00:00:00",2493
"2008-10-11 00:00:00",671
"2008-10-12 00:00:00",778
"2008-10-13 00:00:00",1036
"2008-10-14 00:00:00",816
"2008-10-15 00:00:00",760
"2008-10-16 00:00:00",824
"2008-10-17 00:00:00",689
"2008-10-18 00:00:00",554
"2008-10-19 00:00:00",631
"2008-10-20 00:00:00",831
"2008-10-21 00:00:00",333
"2008-10-22 00:00:00",483
"2008-10-23 00:00:00",761
"2008-10-24 00:00:00",683
"2008-10-25 00:00:00",459
"2008-10-26 00:00:00",534
"2008-10-27 00:00:00",771
"2008-10-28 00:00:00",785
"2008-10-29 00:00:00",785
"2008-10-30 00:00:00",672
"2008-10-31 00:00:00",624
"2008-11-01 00:00:00",455
"2008-11-02 00:00:00",550
"2008-11-03 00:00:00",738
"2008-11-04 00:00:00",774
"2008-11-05 00:00:00",615
"2008-11-06 00:00:00",639
"2008-11-07 00:00:00",635
"2008-11-08 00:00:00",500
"2008-11-09 00:00:00",491
"2008-11-10 00:00:00",756
"2008-11-11 00:00:00",754
"2008-11-12 00:00:00",745
"2008-11-13 00:00:00",723
"2008-11-14 00:00:00",713
"2008-11-15 00:00:00",579
"2008-11-16 00:00:00",569
"2008-11-17 00:00:00",763
"2008-11-18 00:00:00",830
"2008-11-19 00:00:00",747
"2008-11-20 00:00:00",710
"2008-11-21 00:00:00",652
"2008-11-22 00:00:00",468
"2008-11-23 00:00:00",605
"2008-11-24 00:00:00",758
"2008-11-25 00:00:00",777
"2008-11-26 00:00:00",582
"2008-11-27 00:00:00",492
"2008-11-28 00:00:00",497
"2008-11-29 00:00:00",426
"2008-11-30 00:00:00",536
"2008-12-01 00:00:00",887
"2008-12-02 00:00:00",807
"2008-12-03 00:00:00",851
"2008-12-04 00:00:00",729
"2008-12-05 00:00:00",655
"2008-12-06 00:00:00",456
"2008-12-07 00:00:00",495
"2008-12-08 00:00:00",676
"2008-12-09 00:00:00",654
"2008-12-10 00:00:00",642
"2008-12-11 00:00:00",597
"2008-12-12 00:00:00",505
"2008-12-13 00:00:00",483
"2008-12-14 00:00:00",460
"2008-12-15 00:00:00",669
"2008-12-16 00:00:00",566
"2008-12-17 00:00:00",576
"2008-12-18 00:00:00",532
"2008-12-19 00:00:00",454
"2008-12-20 00:00:00",315
"2008-12-21 00:00:00",334
"2008-12-22 00:00:00",442
"2008-12-23 00:00:00",378
"2008-12-24 00:00:00",308
"2008-12-25 00:00:00",226
"2008-12-26 00:00:00",283
"2008-12-27 00:00:00",263
"2008-12-28 00:00:00",309
"2008-12-29 00:00:00",414
"2008-12-30 00:00:00",433
"2008-12-31 00:00:00",304
"2009-01-01 00:00:00",264
