"DateTime","Fever[en]"
"2008-01-01 00:00:00",1612
"2008-01-02 00:00:00",2391
"2008-01-03 00:00:00",2434
"2008-01-04 00:00:00",2386
"2008-01-05 00:00:00",2067
"2008-01-06 00:00:00",2087
"2008-01-07 00:00:00",2630
"2008-01-08 00:00:00",2711
"2008-01-09 00:00:00",2624
"2008-01-10 00:00:00",2516
"2008-01-11 00:00:00",2279
"2008-01-12 00:00:00",1940
"2008-01-13 00:00:00",2122
"2008-01-14 00:00:00",2612
"2008-01-15 00:00:00",2503
"2008-01-16 00:00:00",2492
"2008-01-17 00:00:00",2472
"2008-01-18 00:00:00",2194
"2008-01-19 00:00:00",1892
"2008-01-20 00:00:00",1979
"2008-01-21 00:00:00",2572
"2008-01-22 00:00:00",2888
"2008-01-23 00:00:00",2748
"2008-01-24 00:00:00",2529
"2008-01-25 00:00:00",2507
"2008-01-26 00:00:00",2120
"2008-01-27 00:00:00",2236
"2008-01-28 00:00:00",3252
"2008-01-29 00:00:00",3108
"2008-01-30 00:00:00",3267
"2008-01-31 00:00:00",2977
"2008-02-01 00:00:00",2647
"2008-02-02 00:00:00",2224
"2008-02-03 00:00:00",2616
"2008-02-04 00:00:00",3383
"2008-02-05 00:00:00",3628
"2008-02-06 00:00:00",3662
"2008-02-07 00:00:00",3337
"2008-02-08 00:00:00",3017
"2008-02-09 00:00:00",2458
"2008-02-10 00:00:00",2775
"2008-02-11 00:00:00",3780
"2008-02-12 00:00:00",3662
"2008-02-13 00:00:00",3537
"2008-02-14 00:00:00",2982
"2008-02-15 00:00:00",2932
"2008-02-16 00:00:00",2439
"2008-02-17 00:00:00",2637
"2008-02-18 00:00:00",3417
"2008-02-19 00:00:00",3685
"2008-02-20 00:00:00",3580
"2008-02-21 00:00:00",3356
"2008-02-22 00:00:00",2865
"2008-02-23 00:00:00",2375
"2008-02-24 00:00:00",2602
"2008-02-25 00:00:00",3614
"2008-02-26 00:00:00",3403
"2008-02-27 00:00:00",3346
"2008-02-28 00:00:00",3113
"2008-02-29 00:00:00",2823
"2008-03-01 00:00:00",2316
"2008-03-02 00:00:00",2459
"2008-03-03 00:00:00",2128
"2008-03-04 00:00:00",1205
"2008-03-05 00:00:00",3276
"2008-03-06 00:00:00",3050
"2008-03-07 00:00:00",2692
"2008-03-08 00:00:00",2204
"2008-03-09 00:00:00",2441
"2008-03-10 00:00:00",3053
"2008-03-11 00:00:00",3156
"2008-03-12 00:00:00",2971
"2008-03-13 00:00:00",2869
"2008-03-14 00:00:00",2431
"2008-03-15 00:00:00",1964
"2008-03-16 00:00:00",2129
"2008-03-17 00:00:00",2765
"2008-03-18 00:00:00",2707
"2008-03-19 00:00:00",2605
"2008-03-20 00:00:00",2288
"2008-03-21 00:00:00",1928
"2008-03-22 00:00:00",1917
"2008-03-23 00:00:00",1933
"2008-03-24 00:00:00",2632
"2008-03-25 00:00:00",2829
"2008-03-26 00:00:00",2790
"2008-03-27 00:00:00",2638
"2008-03-28 00:00:00",2410
"2008-03-29 00:00:00",2047
"2008-03-30 00:00:00",2142
"2008-03-31 00:00:00",2690
"2008-04-01 00:00:00",2764
"2008-04-02 00:00:00",2733
"2008-04-03 00:00:00",2775
"2008-04-04 00:00:00",2395
"2008-04-05 00:00:00",1878
"2008-04-06 00:00:00",2146
"2008-04-07 00:00:00",2763
"2008-04-08 00:00:00",2813
"2008-04-09 00:00:00",2745
"2008-04-10 00:00:00",2490
"2008-04-11 00:00:00",2192
"2008-04-12 00:00:00",1784
"2008-04-13 00:00:00",1998
"2008-04-14 00:00:00",2839
"2008-04-15 00:00:00",2544
"2008-04-16 00:00:00",2452
