"DateTime","Influenza[en]"
"2008-01-01 00:00:00",1774
"2008-01-02 00:00:00",2724
"2008-01-03 00:00:00",3257
"2008-01-04 00:00:00",3142
"2008-01-05 00:00:00",2566
"2008-01-06 00:00:00",2598
"2008-01-07 00:00:00",3591
"2008-01-08 00:00:00",3727
"2008-01-09 00:00:00",3912
"2008-01-10 00:00:00",3792
"2008-01-11 00:00:00",3371
"2008-01-12 00:00:00",2196
"2008-01-13 00:00:00",2593
"2008-01-14 00:00:00",3560
"2008-01-15 00:00:00",3724
"2008-01-16 00:00:00",3911
"2008-01-17 00:00:00",3690
"2008-01-18 00:00:00",3142
"2008-01-19 00:00:00",2064
"2008-01-20 00:00:00",2433
"2008-01-21 00:00:00",3099
"2008-01-22 00:00:00",3805
"2008-01-23 00:00:00",3989
"2008-01-24 00:00:00",3811
"2008-01-25 00:00:00",3556
"2008-01-26 00:00:00",2543
"2008-01-27 00:00:00",2792
"2008-01-28 00:00:00",4359
"2008-01-29 00:00:00",4681
"2008-01-30 00:00:00",4921
"2008-01-31 00:00:00",4713
"2008-02-01 00:00:00",4284
"2008-02-02 00:00:00",3028
"2008-02-03 00:00:00",3444
"2008-02-04 00:00:00",5203
"2008-02-05 00:00:00",5600
"2008-02-06 00:00:00",5995
"2008-02-07 00:00:00",6056
"2008-02-08 00:00:00",5177
"2008-02-09 00:00:00",3438
"2008-02-10 00:00:00",3424
"2008-02-11 00:00:00",5259
"2008-02-12 00:00:00",5593
"2008-02-13 00:00:00",5430
"2008-02-14 00:00:00",5195
"2008-02-15 00:00:00",4739
"2008-02-16 00:00:00",4065
"2008-02-17 00:00:00",3836
"2008-02-18 00:00:00",5512
"2008-02-19 00:00:00",6154
"2008-02-20 00:00:00",6228
"2008-02-21 00:00:00",6587
"2008-02-22 00:00:00",5640
"2008-02-23 00:00:00",4219
"2008-02-24 00:00:00",4358
"2008-02-25 00:00:00",6040
"2008-02-26 00:00:00",6223
"2008-02-27 00:00:00",5903
"2008-02-28 00:00:00",6179
"2008-02-29 00:00:00",5000
"2008-03-01 00:00:00",3227
"2008-03-02 00:00:00",3623
"2008-03-03 00:00:00",3254
"2008-03-04 00:00:00",2450
"2008-03-05 00:00:00",5407
"2008-03-06 00:00:00",4882
"2008-03-07 00:00:00",4410
"2008-03-08 00:00:00",3007
"2008-03-09 00:00:00",3475
"2008-03-10 00:00:00",5018
"2008-03-11 00:00:00",5241
"2008-03-12 00:00:00",5233
"2008-03-13 00:00:00",5337
"2008-03-14 00:00:00",4332
"2008-03-15 00:00:00",2811
"2008-03-16 00:00:00",3142
"2008-03-17 00:00:00",4665
"2008-03-18 00:00:00",4337
"2008-03-19 00:00:00",4128
"2008-03-20 00:00:00",3547
"2008-03-21 00:00:00",2425
"2008-03-22 00:00:00",2036
"2008-03-23 00:00:00",2358
"2008-03-24 00:00:00",3559
"2008-03-25 00:00:00",3835
"2008-03-26 00:00:00",3945
"2008-03-27 00:00:00",3598
"2008-03-28 00:00:00",3175
"2008-03-29 00:00:00",2107
"2008-03-30 00:00:00",2702
"2008-03-31 00:00:00",4037
"2008-04-01 00:00:00",4266
"2008-04-02 00:00:00",3908
"2008-04-03 00:00:00",3601
"2008-04-04 00:00:00",3037
"2008-04-05 00:00:00",1958
"2008-04-06 00:00:00",2557
"2008-04-07 00:00:00",3745
"2008-04-08 00:00:00",3678
"2008-04-09 00:00:00",3607
"2008-04-10 00:00:00",3581
"2008-04-11 00:00:00",3022
"2008-04-12 00:00:00",2010
"2008-04-13 00:00:00",2262
"2008-04-14 00:00:00",3644
"2008-04-15 00:00:00",3580
"2008-04-16 00:00:00",3525
"2008-04-17 00:00:00",3506
"2008-04-18 00:00:00",2999
"2008-04-19 00:00:00",1988
"2008-04-20 00:00:00",2554
"2008-04-21 00:00:00",3854
"2008-04-22 00:00:00",3344
"2008-04-23 00:00:00",3262
"2008-04-24 00:00:00",3050
"2008-04-25 00:00:00",2714
"2008-04-26 00:00:00",1704
"2008-04-27 00:00:00",2197
"2008-04-28 00:00:00",3393
"2008-04-29 00:00:00",3395
"2008-04-30 00:00:00",3067
"2008-05-01 00:00:00",2975
