"DateTime","West Nile virus[en]"
"2008-01-01 00:00:00",178
"2008-01-02 00:00:00",301
"2008-01-03 00:00:00",331
"2008-01-04 00:00:00",401
"2008-01-05 00:00:00",235
"2008-01-06 00:00:00",268
"2008-01-07 00:00:00",469
"2008-01-08 00:00:00",526
"2008-01-09 00:00:00",571
"2008-01-10 00:00:00",569
"2008-01-11 00:00:00",518
"2008-01-12 00:00:00",274
"2008-01-13 00:00:00",374
"2008-01-14 00:00:00",571
"2008-01-15 00:00:00",580
"2008-01-16 00:00:00",615
"2008-01-17 00:00:00",580
"2008-01-18 00:00:00",567
"2008-01-19 00:00:00",273
"2008-01-20 00:00:00",292
"2008-01-21 00:00:00",375
"2008-01-22 00:00:00",659
"2008-01-23 00:00:00",568
"2008-01-24 00:00:00",499
"2008-01-25 00:00:00",503
"2008-01-26 00:00:00",247
"2008-01-27 00:00:00",335
"2008-01-28 00:00:00",556
"2008-01-29 00:00:00",555
"2008-01-30 00:00:00",604
"2008-01-31 00:00:00",553
"2008-02-01 00:00:00",502
"2008-02-02 00:00:00",279
"2008-02-03 00:00:00",310
"2008-02-04 00:00:00",514
"2008-02-05 00:00:00",596
"2008-02-06 00:00:00",576
"2008-02-07 00:00:00",605
"2008-02-08 00:00:00",540
"2008-02-09 00:00:00",282
"2008-02-10 00:00:00",369
"2008-02-11 00:00:00",602
"2008-02-12 00:00:00",609
"2008-02-13 00:00:00",621
"2008-02-14 00:00:00",524
"2008-02-15 00:00:00",527
"2008-02-16 00:00:00",268
"2008-02-17 00:00:00",284
"2008-02-18 00:00:00",539
"2008-02-19 00:00:00",578
"2008-02-20 00:00:00",772
"2008-02-21 00:00:00",714
"2008-02-22 00:00:00",529
"2008-02-23 00:00:00",286
"2008-02-24 00:00:00",280
"2008-02-25 00:00:00",604
"2008-02-26 00:00:00",697
"2008-02-27 00:00:00",719
"2008-02-28 00:00:00",701
"2008-02-29 00:00:00",604
"2008-03-01 00:00:00",252
"2008-03-02 00:00:00",372
"2008-03-03 00:00:00",393
"2008-03-04 00:00:00",269
"2008-03-05 00:00:00",575
"2008-03-06 00:00:00",626
"2008-03-07 00:00:00",615
"2008-03-08 00:00:00",302
"2008-03-09 00:00:00",393
"2008-03-10 00:00:00",642
"2008-03-11 00:00:00",669
"2008-03-12 00:00:00",711
"2008-03-13 00:00:00",746
"2008-03-14 00:00:00",566
"2008-03-15 00:00:00",287
"2008-03-16 00:00:00",320
"2008-03-17 00:00:00",627
"2008-03-18 00:00:00",620
"2008-03-19 00:00:00",694
"2008-03-20 00:00:00",554
"2008-03-21 00:00:00",383
"2008-03-22 00:00:00",296
"2008-03-23 00:00:00",375
"2008-03-24 00:00:00",608
"2008-03-25 00:00:00",622
