DateTime,Pandemic[en]
2008-01-31,43950
2008-02-29,44371
2008-03-31,44304
2008-04-30,49813
2008-05-31,53681
2008-06-30,45942
2008-07-31,51723
2008-08-31,47850
2008-09-30,47258
2008-10-31,69852
2008-11-30,59803
2008-12-31,52946
2009-01-31,51951
2009-02-28,50068
2009-03-31,57439
2009-04-30,643647
2009-05-31,316580
2009-06-30,223862
2009-07-31,94258
2009-08-31,97108
2009-09-30,65307
2009-10-31,129626
2009-11-30,120751
2009-12-31,70390
2010-01-31,57026
2010-02-28,54236
2010-03-31,61081
2010-04-30,51424
2010-05-31,51453
2010-06-30,36712
2010-07-31,35230
2010-08-31,54654
2010-09-30,58624
2010-10-31,67626
2010-11-30,65114
2010-12-31,63641
2011-01-31,62637
2011-02-28,48383
2011-03-31,55319
2011-04-30,48182
2011-05-31,53136
2011-06-30,44638
2011-07-31,37474
2011-08-31,47588
2011-09-30,51526
2011-10-31,58218
2011-11-30,59554
2011-12-31,48524
2012-01-31,56624
2012-02-29,57410
2012-03-31,60334
2012-04-30,47164
2012-05-31,55929
2012-06-30,54303
2012-07-31,45540
2012-08-31,42802
2012-09-30,54533
2012-10-31,70577
2012-11-30,67370
2012-12-31,64372
2013-01-31,86738
2013-02-28,77255
2013-03-31,83803
2013-04-30,75227
2013-05-31,76530
2013-06-30,61850
2013-07-31,50669
2013-08-31,41860
2013-09-30,44575
2013-10-31,58252
2013-11-30,60055
2013-12-31,48622
2014-01-31,43193
2014-02-28,42861
2014-03-31,49227
2014-04-30,49310
2014-05-31,44383
2014-06-30,35857
2014-07-31,38783
2014-08-31,50692
2014-09-30,48625
2014-10-31,110264
2014-11-30,44400
2014-12-31,32310
2015-01-31,26324
2015-02-28,26334
2015-03-31,28364
2015-04-30,25931
2015-05-31,23933
2015-06-30,17984
2015-07-31,14992
2015-08-31,15794
2015-09-30,19354
2015-10-31,21713
2015-11-30,20072
2015-12-31,19162
2016-01-31,25677
2016-02-29,36103
2016-03-31,26173
2016-04-30,25101
2016-05-31,24660
2016-06-30,19422
2016-07-31,15293
2016-08-31,16798
2016-09-30,18116
2016-10-31,17799
2016-11-30,17289
2016-12-31,16295
2017-01-31,17492
2017-02-28,18204
2017-03-31,19827
2017-04-30,16394
2017-05-31,17352
2017-06-30,14608
2017-07-31,12788
2017-08-31,13634
2017-09-30,15126
2017-10-31,19380
2017-11-30,18321
2017-12-31,14236
2018-01-31,19215
2018-02-28,15853
2018-03-31,16645
2018-04-30,14630
2018-05-31,16296
2018-06-30,13029
2018-07-31,11535
2018-08-31,12177
2018-09-30,13382
2018-10-31,14781
2018-11-30,14448
2018-12-31,14028
2019-01-31,14477
2019-02-28,12553
2019-03-31,12483
2019-04-30,12403
2019-05-31,13951
2019-06-30,10191
2019-07-31,8819
2019-08-31,9554
2019-09-30,10554
2019-10-31,14435
2019-11-30,13394
2019-12-31,10029
2020-01-31,78833
2020-02-29,229569
2020-03-31,1046253
2020-04-30,296327
2020-05-31,140080
2020-06-30,79702
2020-07-31,75995
2020-08-31,62207
2020-09-30,60318
2020-10-31,69891
2020-11-30,62976
2020-12-31,62066
2021-01-31,57928
2021-02-28,46230
2021-03-31,49235
2021-04-30,47567
2021-05-31,43577
2021-06-30,33923
2021-07-31,33258
2021-08-31,33879
2021-09-30,31950
2021-10-31,26733
2021-11-30,28061
2021-12-31,30950
2022-01-31,36194
2022-02-28,23960
2022-03-31,20368
2022-04-30,17687
2022-05-31,19485
2022-06-30,15442
2022-07-31,13513
2022-08-31,12689
2022-09-30,14159
2022-10-31,14075
2022-11-30,13510
2022-12-31,12085
2023-01-31,11648
2023-02-28,12132
2023-03-31,12838
2023-04-30,10475
2023-05-31,13984
2023-06-30,10651
2023-07-31,3286
