,state,withWikiandLogistic
0,AL,0.30392933264374733
1,AR,0.6131549663143232
2,AZ,114.68633365631104
3,CA,4.153846821188926
4,CO,10.926869827508927
5,CT,1.2476807459257544
6,DE,0.20268184755695984
7,FL,0.6729448275640607
8,GA,2.114958493039012
9,IA,1.2575161394663155
10,ID,2.661255875788629
11,IL,6.050720059871674
12,IN,0.9171850599348546
13,KS,0.6124551957007498
14,KY,0.8300744553096593
15,LA,1.3940540492534637
16,MA,0.7284126142039895
17,MD,1.3813105247914792
18,ME,0.0032026737229898573
19,MI,5.908618205785752
20,MN,2.1121257271617653
21,MO,0.7007856607437134
22,MS,0.34601952955126764
23,MT,0.5365300024859607
24,NC,0.9844107747077941
25,ND,1.7142366995569318
26,NE,4.932549193594605
27,NH,0.0015091929933987557
28,NJ,2.31163438744843
29,NM,2.959642915520817
30,NV,0.5565427713096142
31,NY,1.2709326084703207
32,OH,1.5129053354263307
33,OK,2.1487769819796085
34,OR,0.38692421577870845
35,PA,1.5358055191114546
36,RI,0.3863958965754136
37,SC,1.1326929815113544
38,SD,2.99727824665606
39,TN,2.2002770395949485
40,TX,1.3301406800746918
41,UT,5.748052068985999
42,VA,1.1909194350242616
43,VT,0.0010391268995590508
44,WA,0.8951480597257614
45,WI,0.4922366788610816
46,WV,0.0066398641560226675
47,WY,0.09697185677941889
