state,year,population
NE,2009,1772124.0
NE,2010,1799125.0
NE,2011,1813061.0
NE,2012,1827306.0
NE,2013,1841625.0
NE,2014,1855617.0
NE,2015,1869365.0
NE,2016,1881259.0
NE,2017,1893921.0
NE,2018,1904760.0
NE,2019,1914571.0
NE,2020,1923826.0
NE,2021,1951480.0
WV,2009,1811403.0
WV,2010,1840802.0
WV,2011,1846372.0
WV,2012,1850481.0
WV,2013,1853619.0
WV,2014,1853881.0
WV,2015,1851420.0
WV,2016,1846092.0
WV,2017,1836843.0
WV,2018,1829054.0
WV,2019,1817305.0
WV,2020,1807426.0
WV,2021,1801049.0
OH,2009,11511858.0
OH,2010,11512431.0
OH,2011,11525536.0
OH,2012,11533561.0
OH,2013,11549590.0
OH,2014,11560380.0
OH,2015,11575977.0
OH,2016,11586941.0
OH,2017,11609756.0
OH,2018,11641879.0
OH,2019,11655397.0
OH,2020,11675275.0
OH,2021,11769923.0
ME,2009,1316380.0
ME,2010,1327665.0
ME,2011,1328543.0
ME,2012,1329084.0
ME,2013,1328320.0
ME,2014,1328535.0
ME,2015,1329100.0
ME,2016,1329923.0
ME,2017,1330158.0
ME,2018,1332813.0
ME,2019,1335492.0
ME,2020,1340825.0
ME,2021,1357046.0
IL,2009,12785043.0
IL,2010,12745359.0
IL,2011,12790182.0
IL,2012,12823860.0
IL,2013,12848554.0
IL,2014,12868747.0
IL,2015,12873761.0
IL,2016,12851684.0
IL,2017,12854526.0
IL,2018,12821497.0
IL,2019,12770631.0
IL,2020,12716164.0
IL,2021,12821813.0
MA,2009,6511176.0
MA,2010,6477096.0
MA,2011,6512227.0
MA,2012,6560595.0
MA,2013,6605058.0
MA,2014,6657291.0
MA,2015,6705586.0
MA,2016,6742143.0
MA,2017,6789319.0
MA,2018,6830193.0
MA,2019,6850553.0
MA,2020,6873003.0
MA,2021,6991852.0
MI,2009,10039208.0
MI,2010,9952687.0
MI,2011,9920621.0
MI,2012,9897264.0
MI,2013,9886095.0
MI,2014,9889024.0
MI,2015,9900571.0
MI,2016,9909600.0
MI,2017,9925568.0
MI,2018,9957488.0
MI,2019,9965265.0
MI,2020,9973907.0
MI,2021,10062512.0
UT,2009,2651816.0
UT,2010,2657236.0
UT,2011,2715379.0
UT,2012,2766233.0
UT,2013,2813673.0
UT,2014,2858111.0
