year,month,Value
1990,1,1.17
1990,2,2.36
1990,3,3.38
1990,4,1.27
1990,5,3.79
1990,6,-1.3
1990,7,-1.61
1990,8,-1.35
1990,9,-0.19
1990,10,2.81
1990,11,-0.42
1990,12,2.71
1991,1,0.7
1991,2,-0.42
1991,3,-1.43
1991,4,6.12
1991,5,-0.22
1991,6,-1.15
1991,7,-0.94
1991,8,0.31
1991,9,-0.09
1991,10,2.97
1991,11,1.33
1991,12,1.59
1992,1,-1.19
1992,2,-1.01
1992,3,0.16
1992,4,-1.83
1992,5,-1.21
1992,6,3.19
1992,7,2.61
1992,8,1.18
1992,9,1.45
1992,10,-1.05
1992,11,0.96
1992,12,0.61
1993,1,0.78
1993,2,-0.84
1993,3,-1.24
1993,4,1.49
1993,5,0.14
1993,6,0.24
1993,7,-2.52
1993,8,-0.79
1993,9,1.44
1993,10,2.14
1993,11,1.44
1993,12,0.47
1994,1,1.41
1994,2,-0.09
1994,3,0.16
1994,4,-0.71
1994,5,-0.66
1994,6,-0.14
1994,7,3.35
1994,8,1.16
1994,9,-0.66
1994,10,0.46
1994,11,2.02
1994,12,0.41
1995,1,0.96
1995,2,-1.87
1995,3,-1.52
1995,4,1.12
1995,5,-0.2
1995,6,0.05
1995,7,0.8
1995,8,-2.18
1995,9,-0.82
1995,10,-1.27
1995,11,-1.74
1995,12,-0.58
1996,1,-0.78
1996,2,-2.27
1996,3,-0.73
1996,4,0.05
1996,5,-1.59
1996,6,0.4
1996,7,2.03
1996,8,0.6
1996,9,2.82
1996,10,1.16
1996,11,4.41
1996,12,-0.63
1997,1,-0.69
1997,2,1.74
1997,3,0.76
1997,4,3.01
1997,5,-0.66
1997,6,1.4
1997,7,-1.15
1997,8,0.04
1997,9,-0.78
1997,10,0.83
1997,11,-0.56
1997,12,-0.04
1998,1,1.83
1998,2,0.54
1998,3,0.93
1998,4,-1.22
1998,5,-2.0
1998,6,-2.41
1998,7,-2.13
1998,8,-1.01
1998,9,-0.35
1998,10,0.85
1998,11,-1.47
1998,12,-0.1
1999,1,2.37
1999,2,-2.88
1999,3,0.57
1999,4,0.34
1999,5,-0.41
1999,6,1.38
1999,7,-1.39
1999,8,-2.65
1999,9,-1.89
1999,10,-0.67
1999,11,-2.93
1999,12,-0.43
2000,1,-1.5
2000,2,-1.63
2000,3,-0.96
2000,4,-0.84
2000,5,0.89
2000,6,3.04
2000,7,-1.48
2000,8,-3.6
2000,9,-1.07
2000,10,-2.08
2000,11,3.13
2000,12,-0.17
2001,1,-0.2
2001,2,3.68
2001,3,-0.74
2001,4,-2.69
2001,5,-0.14
2001,6,-0.55
2001,7,-1.45
2001,8,-1.08
2001,9,0.07
2001,10,2.0
2001,11,0.97
2001,12,3.39
2002,1,0.03
2002,2,-1.11
2002,3,4.41
2002,4,-1.61
2002,5,0.98
2002,6,-1.24
2002,7,0.01
2002,8,0.01
2002,9,-0.96
2002,10,0.7
2002,11,-1.69
2002,12,2.49
2003,1,-2.48
2003,2,2.08
2003,3,-2.61
2003,4,-1.99
2003,5,1.2
2003,6,2.19
2003,7,0.55
2003,8,0.1
2003,9,0.33
2003,10,-1.03
2003,11,-0.01
2003,12,-1.06
2004,1,-0.51
2004,2,0.24
2004,3,-0.86
2004,4,1.25
2004,5,-0.45
2004,6,1.9
2004,7,1.99
2004,8,1.06
2004,9,-2.66
2004,10,3.56
2004,11,4.03
2004,12,-0.88
2005,1,0.99
2005,2,-1.32
2005,3,-1.2
2005,4,-0.6
2005,5,-2.45
2005,6,-2.21
2005,7,-0.82
