year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,AR,358899.0,416479.0,444052.0,169315.0,342281.0,413079.0,465099.0,228939.0,2838143.0,1388745.0,1449398.0,2228798.0,439355.0,19233.0,31120.0,2505.0,1109635.0,
2010,AR,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0400000US05
2011,AR,362913.0,420280.0,458561.0,179533.0,345298.0,418337.0,476995.0,234011.0,2895928.0,1421287.0,1474641.0,2271277.0,449283.0,17239.0,34815.0,5031.0,1121386.0,0400000US05
2012,AR,363242.0,422731.0,461406.0,183873.0,346142.0,419856.0,480812.0,238310.0,2916372.0,1431252.0,1485120.0,2285577.0,453062.0,17390.0,35744.0,5516.0,1128797.0,0400000US05
2013,AR,363126.0,426132.0,461695.0,188909.0,346838.0,420294.0,483562.0,242813.0,2933369.0,1439862.0,1493507.0,2295446.0,454903.0,17945.0,37776.0,5697.0,1129723.0,0400000US05
2014,AR,363368.0,428720.0,460648.0,194499.0,346189.0,422830.0,483106.0,247676.0,2947036.0,1447235.0,1499801.0,2306073.0,458136.0,18337.0,38409.0,6278.0,1132488.0,0400000US05
2015,AR,362087.0,429157.0,460294.0,200375.0,345734.0,424148.0,483125.0,253288.0,2958208.0,1451913.0,1506295.0,2307849.0,459748.0,18409.0,40336.0,6845.0,1138025.0,0400000US05
2016,AR,361531.0,429760.0,459752.0,205651.0,345703.0,425064.0,481675.0,259336.0,2968472.0,1456694.0,1511778.0,2307136.0,460638.0,18697.0,41539.0,6738.0,1141480.0,0400000US05
2017,AR,361220.0,431019.0,458514.0,210898.0,344498.0,426707.0,479819.0,265269.0,2977944.0,1461651.0,1516293.0,2302141.0,459969.0,19476.0,42368.0,7062.0,1147291.0,0400000US05
2018,AR,361283.0,433381.0,457344.0,216404.0,344660.0,429588.0,476879.0,271132.0,2990671.0,1468412.0,1522259.0,2302874.0,460970.0,20037.0,43988.0,7969.0,1152175.0,0400000US05
2019,AR,360119.0,434000.0,456014.0,221627.0,344149.0,429117.0,477193.0,277151.0,2999370.0,1471760.0,1527610.0,2301044.0,459542.0,20434.0,45504.0,8733.0,1158071.0,0400000US05
2020,AR,359706.0,436981.0,455269.0,226555.0,343126.0,429703.0,476971.0,283562.0,3011873.0,1478511.0,1533362.0,2269959.0,457840.0,19146.0,46130.0,10455.0,1170544.0,0400000US05
