,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-02,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-03,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-04,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-05,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-06,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-07,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-08,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-09,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-10,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-11,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2010-12,-1.723639780034208,-1.7329853971388083,-1.7139380462471832,-1.744696884161061,-1.812420322715625,0.42935560949070395,-1.6162843432935163,-1.7850851421676222,-1.6515777980361543
2011-01,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-02,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-03,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-04,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-05,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-06,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-07,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-08,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-09,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-10,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-11,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2011-12,-1.4076126408879646,-1.4038584865516468,-1.411750778503361,-1.121400971363982,-1.6058132169021568,-1.7297857674841626,-1.3506365858628646,-1.1893079271599452,-1.3514094949266309
2012-01,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-02,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-03,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-04,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-05,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-06,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-07,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-08,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-09,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-10,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-11,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2012-12,-1.0813900849246743,-1.0867813384263707,-1.076151685122473,-0.3873328092364189,-1.1863517781935558,-1.5673024398057331,-1.1782362321141693,-0.8963930872037009,-0.8651938312045617
2013-01,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-02,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-03,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-04,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-05,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-06,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-07,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-08,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-09,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-10,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-11,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2013-12,-0.7728366705964708,-0.7722100606334485,-0.7733544894489672,0.26096080129268806,-0.8482199039720021,-0.9633829401848312,-0.7836273806964374,-0.7917466976513886,-0.8076769139646327
2014-01,-0.49848422673769865,-0.4705748377932799,-0.5249957623509844,1.1090875559911593,0.07794966175217855,-0.530732386411009,-0.6557956523557051,-0.4716653497578067,-0.6399034531983135
2014-02,-0.49848422673769865,-0.4705748377932799,-0.5249957623509844,1.1090875559911593,0.07794966175217855,-0.530732386411009,-0.6557956523557051,-0.4716653497578067,-0.6399034531983135
2014-03,-0.49848422673769865,-0.4705748377932799,-0.5249957623509844,1.1090875559911593,0.07794966175217855,-0.530732386411009,-0.6557956523557051,-0.4716653497578067,-0.6399034531983135
2014-04,-0.49848422673769865,-0.4705748377932799,-0.5249957623509844,1.1090875559911593,0.07794966175217855,-0.530732386411009,-0.6557956523557051,-0.4716653497578067,-0.6399034531983135
