,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,42.2,30.5,53.9,3.41,4.6,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,44.3,33.1,55.5,1.44,1.36,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,49.2,35.6,62.8,1.03,0.38,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,56.1,41.2,70.9,0.27,0.53,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,63.1,46.9,79.2,0.06,1.23,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,11.0,75.9,59.2,92.6,0.08,1.52,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,31.0,81.8,68.4,95.1,1.97,0.63,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,9.0,11.0,0.0,0.0,3.6666666666666665,11.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,15.0,79.0,65.8,92.1,1.84,-0.81,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,1.0,31.0,11.0,0.0,14.0,20.0,11.0,-0.8660254037844384,-0.5000000000000004
2010-09,34.0,75.4,59.7,91.2,0.6,-1.94,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,1.0,15.0,31.0,11.0,19.0,-16.0,20.0,-1.0,-1.8369701987210297e-16
2010-10,14.0,62.7,49.3,76.1,1.35,0.85,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,34.0,15.0,31.0,26.666666666666668,19.0,-16.0,-0.8660254037844386,0.5
2010-11,2.0,48.3,34.2,62.4,0.19,-1.39,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,14.0,34.0,15.0,21.0,-20.0,19.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,46.7,34.5,58.9,1.67,0.31,825894.0,969253.0,935074.0,378013.0,787607.0,919105.0,976655.0,455215.0,6246816.0,3108234.0,3138582.0,4883606.0,240655.0,278336.0,166663.0,12038.0,2326468.0,0.0,2.0,14.0,34.0,16.666666666666668,-12.0,-20.0,-2.4492935982947064e-16,1.0
2011-01,0.0,41.5,27.6,55.4,0.05,-2.21,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,2.0,14.0,5.333333333333333,-2.0,-12.0,0.49999999999999994,0.8660254037844387
2011-02,0.0,41.7,27.8,55.6,1.05,-0.01,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,-2.0,0.8660254037844386,0.5000000000000001
2011-03,0.0,53.3,38.3,68.3,0.33,-2.05,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2011-04,0.0,58.9,43.8,73.9,0.41,-2.04,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2011-05,1.0,63.2,47.7,78.8,0.28,-1.45,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2011-06,2.0,75.7,58.4,93.1,0.02,-2.42,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,11.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.2246467991473532e-16,-1.0
2011-07,11.0,80.8,66.8,94.7,1.76,-0.43,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,31.0,2.0,1.0,0.0,1.0,1.0,1.0,-0.5000000000000001,-0.8660254037844386
2011-08,19.0,82.2,68.1,96.3,1.28,-2.61,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,15.0,11.0,2.0,1.0,4.666666666666667,9.0,1.0,-0.8660254037844384,-0.5000000000000004
2011-09,14.0,74.6,60.2,89.0,1.31,-0.08,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,34.0,19.0,11.0,2.0,10.666666666666666,8.0,9.0,-1.0,-1.8369701987210297e-16
2011-10,2.0,62.8,47.6,78.0,0.67,-0.85,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,14.0,14.0,19.0,11.0,14.666666666666666,-5.0,8.0,-0.8660254037844386,0.5
2011-11,0.0,49.4,36.4,62.3,0.92,0.14,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,2.0,2.0,14.0,19.0,11.666666666666666,-12.0,-5.0,-0.5000000000000004,0.8660254037844384
2011-12,0.0,39.9,28.2,51.6,1.55,0.78,830423.0,976865.0,953374.0,391677.0,792821.0,927140.0,995288.0,469785.0,6337373.0,3152339.0,3185034.0,4987541.0,252127.0,280986.0,172290.0,11933.0,2344215.0,0.0,0.0,2.0,14.0,5.333333333333333,-2.0,-12.0,-2.4492935982947064e-16,1.0
2012-01,0.0,45.3,31.2,59.4,0.26,-2.11,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,-2.0,0.49999999999999994,0.8660254037844387
2012-02,0.0,45.6,31.9,59.3,0.43,-1.63,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2012-03,1.0,51.6,36.1,67.1,0.69,-1.4,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2012-04,0.0,60.6,44.8,76.4,0.32,-2.65,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.8660254037844388,-0.4999999999999998
2012-05,0.0,69.3,52.6,86.1,0.05,-2.86,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,1.0,0.0,1.0,0.0,0.3333333333333333,-1.0,1.0,0.49999999999999994,-0.8660254037844387
2012-06,3.0,78.7,61.6,95.8,0.08,-2.82,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,2.0,0.0,0.0,1.0,0.3333333333333333,0.0,-1.0,1.2246467991473532e-16,-1.0
2012-07,10.0,80.0,66.9,93.0,2.52,1.64,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,11.0,3.0,0.0,0.0,1.0,3.0,0.0,-0.5000000000000001,-0.8660254037844386
2012-08,30.0,80.5,67.2,93.8,2.22,-0.18,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,19.0,10.0,3.0,0.0,4.333333333333333,7.0,3.0,-0.8660254037844384,-0.5000000000000004
2012-09,31.0,73.7,59.8,87.5,1.07,-0.57,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,14.0,30.0,10.0,3.0,14.333333333333334,20.0,7.0,-1.0,-1.8369701987210297e-16
2012-10,12.0,63.8,48.1,79.5,0.25,-2.02,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,2.0,31.0,30.0,10.0,23.666666666666668,1.0,20.0,-0.8660254037844386,0.5
2012-11,0.0,53.8,38.6,68.9,0.21,-2.11,830584.0,980216.0,969488.0,407638.0,794067.0,930623.0,1011491.0,486872.0,6410979.0,3187926.0,3223053.0,5085954.0,262284.0,283805.0,177598.0,12506.0,2357158.0,0.0,12.0,31.0,30.0,24.333333333333332,-19.0,1.0,-0.5000000000000004,0.8660254037844384
