,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,42.2,30.5,53.9,3.41,4.6
2010-02,0.0,44.3,33.1,55.5,1.44,1.36
2010-03,0.0,49.2,35.6,62.8,1.03,0.38
2010-04,0.0,56.1,41.2,70.9,0.27,0.53
2010-05,0.0,63.1,46.9,79.2,0.06,1.23
2010-06,11.0,75.9,59.2,92.6,0.08,1.52
2010-07,31.0,81.8,68.4,95.1,1.97,0.63
2010-08,15.0,79.0,65.8,92.1,1.84,-0.81
2010-09,34.0,75.4,59.7,91.2,0.6,-1.94
2010-10,14.0,62.7,49.3,76.1,1.35,0.85
2010-11,2.0,48.3,34.2,62.4,0.19,-1.39
2010-12,0.0,46.7,34.5,58.9,1.67,0.31
2011-01,0.0,41.5,27.6,55.4,0.05,-2.21
2011-02,0.0,41.7,27.8,55.6,1.05,-0.01
2011-03,0.0,53.3,38.3,68.3,0.33,-2.05
2011-04,0.0,58.9,43.8,73.9,0.41,-2.04
2011-05,1.0,63.2,47.7,78.8,0.28,-1.45
2011-06,2.0,75.7,58.4,93.1,0.02,-2.42
2011-07,11.0,80.8,66.8,94.7,1.76,-0.43
2011-08,19.0,82.2,68.1,96.3,1.28,-2.61
2011-09,14.0,74.6,60.2,89.0,1.31,-0.08
2011-10,2.0,62.8,47.6,78.0,0.67,-0.85
2011-11,0.0,49.4,36.4,62.3,0.92,0.14
2011-12,0.0,39.9,28.2,51.6,1.55,0.78
2012-01,0.0,45.3,31.2,59.4,0.26,-2.11
2012-02,0.0,45.6,31.9,59.3,0.43,-1.63
2012-03,1.0,51.6,36.1,67.1,0.69,-1.4
2012-04,0.0,60.6,44.8,76.4,0.32,-2.65
2012-05,0.0,69.3,52.6,86.1,0.05,-2.86
2012-06,3.0,78.7,61.6,95.8,0.08,-2.82
2012-07,10.0,80.0,66.9,93.0,2.52,1.64
2012-08,30.0,80.5,67.2,93.8,2.22,-0.18
2012-09,31.0,73.7,59.8,87.5,1.07,-0.57
2012-10,12.0,63.8,48.1,79.5,0.25,-2.02
2012-11,0.0,53.8,38.6,68.9,0.21,-2.11
2012-12,0.0,42.4,30.1,54.6,1.46,0.37
2013-01,0.0,38.6,25.6,51.7,1.3,0.62
2013-02,0.0,42.2,28.8,55.6,0.51,-0.78
2013-03,0.0,54.8,39.7,69.9,0.57,-1.74
2013-04,0.0,59.4,44.0,74.8,0.2,-2.09
2013-05,1.0,67.4,51.6,83.1,0.06,-1.75
2013-06,6.0,79.5,62.4,96.6,0.03,-2.29
2013-07,10.0,81.0,68.3,93.8,2.68,1.94
2013-08,12.0,78.5,65.4,91.5,2.39,0.43
2013-09,17.0,72.4,59.1,85.6,1.88,1.66
2013-10,4.0,58.8,43.6,74.0,0.21,-1.48
2013-11,0.0,51.3,38.5,64.0,1.86,2.04
2013-12,0.0,41.5,28.9,54.1,0.44,-1.24
2014-01,0.0,46.5,31.6,61.4,0.03,-2.84
2014-02,0.0,50.0,35.7,64.3,0.16,-3.1
2014-03,0.0,53.9,39.4,68.3,0.9,-1.97
2014-04,0.0,59.1,43.8,74.4,0.24,-2.74
2014-05,0.0,66.8,51.0,82.5,0.07,-2.78
2014-06,7.0,77.7,61.0,94.4,0.01,-3.12
2014-07,16.0,81.4,67.6,95.2,1.86,-0.33
