,XGBoost_weather,XGBoost_temporal,XGBoost_census
2010-01,0.002691254,0.31576374,2.023077
2010-02,0.002691254,0.31576374,2.023077
2010-03,0.002691254,0.31576374,2.023077
2010-04,0.002691254,0.31576374,2.023077
2010-05,0.002691254,0.36537042,2.023077
2010-06,1.991124,1.957137,2.023077
2010-07,11.990898,7.8066235,2.023077
2010-08,24.792429,23.25265,2.023077
2010-09,24.13162,23.25265,2.023077
2010-10,6.934281,6.544938,2.023077
2010-11,1.991124,1.8389878,2.023077
2010-12,0.002691254,0.3781015,2.023077
2011-01,0.002691254,0.31576374,2.9
2011-02,0.002691254,0.31576374,2.9
2011-03,0.002691254,0.31576374,2.9
2011-04,0.002691254,0.31576374,2.9
2011-05,0.002691254,0.36537042,2.9
2011-06,0.9964711,1.957137,2.9
2011-07,8.939872,7.8066235,2.9
2011-08,34.020653,23.25265,2.9
2011-09,49.91939,23.25265,2.9
2011-10,13.913864,9.532665,2.9
2011-11,0.002691254,1.837421,2.9
2011-12,0.002691254,0.3781015,2.9
2012-01,0.002691254,0.31576374,6.764
2012-02,0.002691254,0.31576374,6.764
2012-03,0.002691254,0.31576374,6.764
2012-04,0.002691254,0.31576374,6.764
2012-05,0.002691254,0.36537042,6.764
2012-06,2.981455,1.3194993,6.764
2012-07,17.540928,7.8066235,6.764
2012-08,92.95037,39.84532,6.764
2012-09,123.41437,92.45085,6.764
2012-10,51.752193,23.25265,6.764
2012-11,4.972599,2.2889717,6.764
2012-12,0.9964711,0.87518096,6.764
2013-01,0.002691254,0.31576374,6.764
2013-02,0.9964711,0.31576374,6.764
2013-03,0.002691254,0.31576374,6.764
2013-04,0.002691254,0.31576374,6.764
2013-05,0.9964711,0.63961285,6.764
2013-06,1.991124,2.5845385,6.764
2013-07,59.612694,23.612013,6.764
2013-08,60.265755,38.881165,6.764
2013-09,92.22864,39.84532,6.764
2013-10,16.85174,6.8669376,6.764
2013-11,1.991124,1.172409,6.764
2013-12,0.002691254,0.3781015,6.764
2014-01,0.002691254,0.31576374,14.108001
2014-02,0.002691254,0.31576374,14.108001
2014-03,0.9964711,0.31576374,14.108001
2014-04,0.002691254,0.31576374,14.108001
2014-05,0.9964711,0.36537042,14.108001
2014-06,10.614715,3.1040273,14.108001
2014-07,59.947807,39.84532,14.108001
2014-08,212.76266,92.45085,14.108001
2014-09,207.63246,92.45085,14.108001
2014-10,46.7953,19.76247,14.108001
2014-11,6.934281,3.2453756,14.108001
2014-12,0.002691254,0.87518096,14.108001
2015-01,0.002691254,0.31576374,14.108001
2015-02,0.002691254,0.31576374,14.108001
2015-03,0.9964711,0.31576374,14.108001
2015-04,0.002691254,0.31576374,14.108001
2015-05,0.9964711,0.36537042,14.108001
2015-06,3.9800124,2.3876963,14.108001
2015-07,38.99084,32.043594,14.108001
2015-08,146.68738,82.42967,14.108001
2015-09,212.76266,92.45085,14.108001
2015-10,142.85419,92.45085,14.108001
2015-11,26.754154,11.852167,14.108001
2015-12,1.991124,1.3251648,14.108001
2016-01,0.002691254,0.48961285,9.188
2016-02,0.002691254,0.31576374,9.188
2016-03,0.002691254,0.31576374,9.188
2016-04,0.002691254,0.31576374,9.188
2016-05,0.002691254,0.36537042,9.188
2016-06,8.939872,3.537457,9.188
2016-07,59.612694,39.84532,9.188
2016-08,156.20743,92.45085,9.188
2016-09,74.95221,71.47967,9.188
2016-10,21.747677,11.110893,9.188
2016-11,4.972599,2.416357,9.188
2016-12,4.972599,1.4173641,9.188
2017-01,0.002691254,0.49758193,9.188
2017-02,0.002691254,0.31576374,9.188
2017-03,0.9964711,0.31576374,9.188
2017-04,0.002691254,0.31576374,9.188
2017-05,0.002691254,0.36537042,9.188
2017-06,4.972599,2.3876963,9.188
2017-07,55.90222,39.84532,9.188
2017-08,147.237,92.45085,9.188
2017-09,147.237,92.45085,9.188
2017-10,24.751787,19.76247,9.188
2017-11,12.945814,7.2284985,9.188
2017-12,2.981455,1.9547417,9.188
2018-01,1.991124,0.67143106,3.9680002
2018-02,0.9964711,0.31576374,3.9680002
2018-03,0.002691254,0.31576374,3.9680002
2018-04,0.002691254,0.31576374,3.9680002
2018-05,1.991124,0.63961285,3.9680002
2018-06,0.9964711,3.537457,3.9680002
2018-07,18.660868,10.6523,3.9680002
2018-08,75.724396,39.84532,3.9680002
2018-09,38.135715,92.45085,3.9680002
2018-10,9.924058,8.169929,3.9680002
2018-11,2.981455,2.3876963,3.9680002
2018-12,1.991124,1.4173641,3.9680002
2019-01,0.9964711,0.99601495,3.9680002
2019-02,0.9964711,0.31576374,3.9680002
2019-03,0.9964711,0.31576374,3.9680002
2019-04,0.002691254,0.31576374,3.9680002
2019-05,1.991124,1.3198642,3.9680002
2019-06,1.991124,1.8389878,3.9680002
2019-07,28.737375,20.121834,3.9680002
2019-08,50.106655,39.84532,3.9680002
2019-09,45.790783,39.84532,3.9680002
2019-10,12.950724,9.532665,3.9680002
2019-11,1.991124,1.837421,3.9680002
2019-12,0.002691254,0.92028457,3.9680002
2020-01,0.002691254,0.31576374,4.4923077
2020-02,0.002691254,0.31576374,4.4923077
2020-03,0.002691254,0.31576374,4.4923077
2020-04,0.002691254,0.31576374,4.4923077
2020-05,0.9964711,1.0456218,4.4923077
2020-06,3.9800124,2.5845385,4.4923077
2020-07,21.0271,18.41068,4.4923077
2020-08,58.81743,39.84532,4.4923077
2020-09,59.947807,38.881165,4.4923077
2020-10,25.475973,11.852167,4.4923077
2020-11,4.972599,3.2453756,4.4923077
2020-12,1.991124,0.87518096,4.4923077
2021-01,0.002691254,0.31576374,0.38
2021-02,0.002691254,0.31576374,0.38
2021-03,0.002691254,0.31576374,0.38
2021-04,0.002691254,0.31576374,0.38
2021-05,0.002691254,0.36537042,0.38
2021-06,2.981455,3.537457,0.38
2021-07,18.660868,23.612013,0.38
2021-08,28.676962,39.84532,0.38
2021-09,32.652332,39.84532,0.38
2021-10,8.939872,23.25265,0.38
2021-11,0.9964711,2.8328166,0.38
2021-12,0.002691254,0.92028457,0.38
2022-01,0.002691254,0.31576374,0.38
2022-02,0.002691254,0.31576374,0.38
2022-03,0.002691254,0.31576374,0.38
2022-04,0.002691254,0.31576374,0.38
2022-05,0.002691254,0.36537042,0.38
2022-06,8.939872,1.957137,0.38
2022-07,24.185581,23.25265,0.38
2022-08,51.090363,27.668488,0.38
2022-09,27.267183,39.84532,0.38
2022-10,17.543802,9.532665,0.38
2022-11,0.9964711,1.3251648,0.38
2022-12,0.002691254,1.2952378,0.38
2023-01,6.934281,0.31576374,0.38
2023-02,16.84683,0.49758193,0.38
2023-03,21.726171,0.9475657,0.38
2023-04,21.939537,1.1214149,0.38
