,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-02,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-03,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-04,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-05,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-06,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-07,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-08,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-09,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-10,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-11,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2010-12,4773991.0,5989132.0,5705888.0,1754146.0,4551338.0,5700616.0,5855729.0,2306450.0
2011-01,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-02,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-03,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-04,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-05,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-06,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-07,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-08,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-09,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-10,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-11,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2011-12,4762950.0,6021710.0,5795711.0,1807347.0,4540568.0,5734880.0,5945548.0,2360486.0
2012-01,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-02,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-03,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-04,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-05,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-06,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-07,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-08,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-09,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-10,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-11,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2012-12,4750152.0,6067481.0,5870875.0,1872512.0,4532654.0,5776311.0,6027089.0,2427994.0
2013-01,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-02,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-03,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-04,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-05,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-06,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-07,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-08,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-09,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-10,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-11,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2013-12,4728515.0,6115573.0,5937862.0,1944518.0,4513703.0,5820786.0,6095877.0,2502347.0
2014-01,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-02,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-03,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-04,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-05,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-06,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-07,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-08,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-09,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-10,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-11,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2014-12,4708767.0,6170334.0,6006012.0,2026406.0,4503521.0,5887942.0,6172437.0,2591501.0
2015-01,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-02,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-03,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-04,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-05,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-06,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-07,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-08,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
2015-09,4687726.0,6229257.0,6058048.0,2112104.0,4486617.0,5934055.0,6228441.0,2685216.0
