year,month,Value
1990,1,26.4
1990,2,27.7
1990,3,36.6
1990,4,45.1
1990,5,50.5
1990,6,65.3
1990,7,66.0
1990,8,64.8
1990,9,61.2
1990,10,46.7
1990,11,36.6
1990,12,20.3
1991,1,21.9
1991,2,32.5
1991,3,34.9
1991,4,41.9
1991,5,53.5
1991,6,62.5
1991,7,66.5
1991,8,65.5
1991,9,57.5
1991,10,47.4
1991,11,30.5
1991,12,25.9
1992,1,24.7
1992,2,31.9
1992,3,38.1
1992,4,48.2
1992,5,54.6
1992,6,59.7
1992,7,64.4
1992,8,63.4
1992,9,58.6
1992,10,49.1
1992,11,28.4
1992,12,22.1
1993,1,23.7
1993,2,25.3
1993,3,36.1
1993,4,42.1
1993,5,52.6
1993,6,60.2
1993,7,66.0
1993,8,63.9
1993,9,55.3
1993,10,44.8
1993,11,29.2
1993,12,26.8
1994,1,26.8
1994,2,26.2
1994,3,38.3
1994,4,43.4
1994,5,55.3
1994,6,66.2
1994,7,67.5
1994,8,67.8
1994,9,59.1
1994,10,46.0
1994,11,32.1
1994,12,29.5
1995,1,27.0
1995,2,34.4
1995,3,36.2
1995,4,39.8
1995,5,47.2
1995,6,58.5
1995,7,65.5
1995,8,68.8
1995,9,57.4
1995,10,45.8
1995,11,38.0
1995,12,29.4
1996,1,24.4
1996,2,30.8
1996,3,33.8
1996,4,43.7
1996,5,55.5
1996,6,63.4
1996,7,68.1
1996,8,66.1
1996,9,55.7
1996,10,46.0
1996,11,34.6
1996,12,27.2
1997,1,24.7
1997,2,27.2
1997,3,38.3
1997,4,38.4
1997,5,52.6
1997,6,62.2
1997,7,67.2
1997,8,65.0
1997,9,59.8
1997,10,45.9
1997,11,32.2
1997,12,24.6
1998,1,28.2
1998,2,29.5
1998,3,33.7
1998,4,41.0
1998,5,54.4
1998,6,59.4
1998,7,69.0
1998,8,66.2
1998,9,62.5
1998,10,47.0
1998,11,37.6
1998,12,26.5
1999,1,29.8
1999,2,33.3
1999,3,39.3
1999,4,40.1
1999,5,50.4
1999,6,60.5
1999,7,68.3
1999,8,65.5
1999,9,55.4
1999,10,48.0
1999,11,41.2
1999,12,27.9
2000,1,29.1
2000,2,34.3
2000,3,36.6
2000,4,46.4
2000,5,56.1
2000,6,63.0
2000,7,69.8
2000,8,69.0
2000,9,59.4
2000,10,47.4
2000,11,27.2
2000,12,25.7
2001,1,24.7
2001,2,28.2
2001,3,36.0
2001,4,45.9
2001,5,53.9
2001,6,63.9
2001,7,70.2
2001,8,66.9
2001,9,60.3
2001,10,47.9
2001,11,37.9
2001,12,26.4
2002,1,25.4
2002,2,27.1
2002,3,32.0
2002,4,47.3
2002,5,53.4
2002,6,67.1
2002,7,71.0
2002,8,66.8
2002,9,58.4
2002,10,43.2
2002,11,33.7
2002,12,27.6
2003,1,31.6
2003,2,26.3
2003,3,36.6
2003,4,45.3
2003,5,53.8
2003,6,60.1
2003,7,72.4
2003,8,68.4
2003,9,56.7
2003,10,51.5
2003,11,33.0
2003,12,28.6
2004,1,26.2
2004,2,26.3
2004,3,41.8
2004,4,44.4
2004,5,54.8
2004,6,60.8
2004,7,65.9
2004,8,63.2
2004,9,57.7
2004,10,46.8
2004,11,33.8
2004,12,28.4
2005,1,30.2
2005,2,31.3
2005,3,35.2
2005,4,43.4
2005,5,53.2
2005,6,60.9
2005,7,70.0
2005,8,65.0
2005,9,60.2
2005,10,48.3
2005,11,37.5
2005,12,26.0
2006,1,29.9
2006,2,28.0
2006,3,34.9
2006,4,47.1
2006,5,55.6
2006,6,65.7
2006,7,69.6
2006,8,65.6
2006,9,53.5
2006,10,44.9
2006,11,36.5
2006,12,26.8
2007,1,19.4
2007,2,27.7
2007,3,40.5
2007,4,43.3
2007,5,53.5
2007,6,62.8
2007,7,69.7
2007,8,68.8
2007,9,59.7
2007,10,48.3
2007,11,38.0
2007,12,22.4
2008,1,20.9
2008,2,27.6
2008,3,33.9
2008,4,40.9
2008,5,51.0
2008,6,61.6
2008,7,69.2
2008,8,65.7
2008,9,57.3
2008,10,47.6
2008,11,38.3
2008,12,25.3
2009,1,28.3
2009,2,32.2
2009,3,37.1
2009,4,42.0
2009,5,54.5
2009,6,59.8
2009,7,66.9
2009,8,64.8
2009,9,57.6
2009,10,40.8
2009,11,37.8
2009,12,20.4
2010,1,26.1
2010,2,24.6
2010,3,35.2
2010,4,43.6
2010,5,50.1
2010,6,64.0
2010,7,68.6
2010,8,66.5
2010,9,61.2
2010,10,49.2
2010,11,33.6
2010,12,31.1
2011,1,24.0
2011,2,24.2
2011,3,37.7
2011,4,43.0
2011,5,49.3
2011,6,62.9
2011,7,70.0
2011,8,69.2
2011,9,58.5
2011,10,47.1
2011,11,34.9
2011,12,24.4
2012,1,29.4
2012,2,27.4
2012,3,41.9
2012,4,48.2
2012,5,55.4
2012,6,67.9
2012,7,70.6
2012,8,67.7
2012,9,59.5
2012,10,46.5
2012,11,39.4
2012,12,25.9
2013,1,22.9
2013,2,25.7
2013,3,35.0
2013,4,39.8
2013,5,52.8
2013,6,65.6
2013,7,68.5
2013,8,67.0
2013,9,60.7
2013,10,44.2
2013,11,35.2
2013,12,23.7
2014,1,26.4
2014,2,27.6
2014,3,36.3
2014,4,43.3
2014,5,52.4
2014,6,62.5
2014,7,68.4
2014,8,64.6
2014,9,60.0
2014,10,49.9
2014,11,33.4
2014,12,27.9
2015,1,29.2
2015,2,32.1
2015,3,40.6
2015,4,44.8
2015,5,49.8
2015,6,64.9
2015,7,66.6
2015,8,66.9
2015,9,62.6
2015,10,51.4
2015,11,34.6
2015,12,25.8
2016,1,25.6
2016,2,32.4
2016,3,37.9
2016,4,43.7
2016,5,50.8
2016,6,66.4
2016,7,69.2
2016,8,64.5
2016,9,59.7
2016,10,51.8
2016,11,40.2
2016,12,25.2
2017,1,25.3
2017,2,35.4
2017,3,42.5
2017,4,44.3
2017,5,51.5
2017,6,64.8
2017,7,69.4
2017,8,64.7
2017,9,59.1
2017,10,46.7
2017,11,41.3
2017,12,30.1
2018,1,29.7
2018,2,28.6
2018,3,37.8
2018,4,44.0
2018,5,57.2
2018,6,66.5
2018,7,70.0
2018,8,66.2
2018,9,61.9
2018,10,45.0
2018,11,32.5
2018,12,26.6
2019,1,26.0
2019,2,24.9
