year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,FL,2077375.0,2624061.0,2904102.0,1347708.0,1977398.0,2497712.0,3070802.0,1723262.0,18222420.0,8953246.0,9269174.0,13958847.0,2799699.0,54985.0,417740.0,9959.0,7076539.0,
2010,FL,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0,0400000US12
2011,FL,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0,0400000US12
2012,FL,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0,0400000US12
2013,FL,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0,0400000US12
2014,FL,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0,0400000US12
2015,FL,2065422.0,2737427.0,3162720.0,1634440.0,1975701.0,2676773.0,3376738.0,2016551.0,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0,0400000US12
2016,FL,2076866.0,2777464.0,3183148.0,1703784.0,1989410.0,2712380.0,3397558.0,2093841.0,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0,0400000US12
2017,FL,2100353.0,2827259.0,3219169.0,1767580.0,2011229.0,2759843.0,3433705.0,2159309.0,20278447.0,9914361.0,10364086.0,15343997.0,3270863.0,56730.0,543394.0,12342.0,7510882.0,0400000US12
2018,FL,2118618.0,2873211.0,3248646.0,1831450.0,2029934.0,2802637.0,3460717.0,2232926.0,20598139.0,10071925.0,10526214.0,15529098.0,3316376.0,58118.0,559168.0,12887.0,7621760.0,0400000US12
2019,FL,2136624.0,2911826.0,3275742.0,1896621.0,2045838.0,2838151.0,3488027.0,2308807.0,20901636.0,10220813.0,10680823.0,15702256.0,3359031.0,59320.0,571276.0,12653.0,7736311.0,0400000US12
2020,FL,2151795.0,2947910.0,3313572.0,1961317.0,2062649.0,2869719.0,3523367.0,2386595.0,21216924.0,10374594.0,10842330.0,15199588.0,3381061.0,55655.0,590668.0,13339.0,7931313.0,0400000US12
