,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,5.029539e-05,0.5692308,0.2559239
2010-02,5.029539e-05,0.5692308,0.2559239
2010-03,5.029539e-05,0.5692308,0.2559239
2010-04,5.029539e-05,0.5692308,0.2559239
2010-05,5.029539e-05,0.5692308,0.2559239
2010-06,5.029539e-05,0.5692308,0.46742186
2010-07,1.9999579,0.5692308,1.2471071
2010-08,1.9999579,0.5692308,2.1102977
2010-09,2.9999056,0.5692308,1.2227976
2010-10,1.9999579,0.5692308,1.6674405
2010-11,5.029539e-05,0.5692308,0.35382336
2010-12,5.029539e-05,0.5692308,0.2559239
2011-01,5.029539e-05,0.82307696,0.2559239
2011-02,5.029539e-05,0.82307696,0.2559239
2011-03,5.029539e-05,0.82307696,0.2559239
2011-04,5.029539e-05,0.82307696,0.2559239
2011-05,5.029539e-05,0.82307696,0.2559239
2011-06,0.9999824,0.82307696,0.46742186
2011-07,7.9995203,0.82307696,2.5087144
2011-08,4.999914,0.82307696,1.74875
2011-09,3.9999175,0.82307696,2.4491
2011-10,1.9999579,0.82307696,1.2623215
2011-11,5.029539e-05,0.82307696,0.27751738
2011-12,5.029539e-05,0.82307696,0.2559239
2012-01,5.029539e-05,1.5615385,0.2559239
2012-02,5.029539e-05,1.5615385,0.2559239
2012-03,5.029539e-05,1.5615385,0.2559239
2012-04,5.029539e-05,1.5615385,0.2559239
2012-05,5.029539e-05,1.5615385,0.2559239
2012-06,1.9999579,1.5615385,0.91625005
2012-07,7.9995203,1.5615385,2.9515715
2012-08,20.998648,1.5615385,6.9565625
2012-09,11.999802,1.5615385,6.9565625
2012-10,6.999883,1.5615385,2.8400002
2012-11,1.9999579,1.5615385,0.96250004
2012-12,5.029539e-05,1.5615385,0.2540391
2013-01,5.029539e-05,0.47692308,0.2559239
2013-02,5.029539e-05,0.47692308,0.2559239
2013-03,5.029539e-05,0.47692308,0.2559239
2013-04,5.029539e-05,0.47692308,0.2559239
2013-05,5.029539e-05,0.47692308,0.2559239
2013-06,5.029539e-05,0.47692308,0.32
2013-07,5.029539e-05,0.47692308,0.61188775
2013-08,0.9999824,0.47692308,0.61188775
2013-09,1.9999579,0.47692308,0.8051786
2013-10,0.9999824,0.47692308,0.8051786
2013-11,0.9999824,0.47692308,0.5863234
2013-12,5.029539e-05,0.47692308,0.2540391
2014-01,5.029539e-05,0.644,0.2559239
2014-02,5.029539e-05,0.644,0.2559239
2014-03,5.029539e-05,0.644,0.2559239
2014-04,5.029539e-05,0.644,0.2559239
2014-05,5.029539e-05,0.644,0.2559239
2014-06,5.029539e-05,0.644,0.46742186
2014-07,5.029539e-05,0.644,1.2471071
2014-08,6.999883,0.644,2.0123215
2014-09,2.9999056,0.644,1.4441
2014-10,1.9999579,0.644,1.6674405
2014-11,5.029539e-05,0.644,0.27751738
2014-12,5.029539e-05,0.644,0.2559239
2015-01,5.029539e-05,0.644,0.2559239
2015-02,5.029539e-05,0.644,0.2559239
2015-03,5.029539e-05,0.644,0.2559239
2015-04,5.029539e-05,0.644,0.2559239
2015-05,5.029539e-05,0.644,0.2559239
2015-06,1.9999579,0.644,0.46742186
2015-07,3.9999175,0.644,2.9515715
2015-08,0.9999824,0.644,0.70517856
2015-09,1.9999579,0.644,0.8051786
2015-10,1.9999579,0.644,1.2623215
2015-11,0.9999824,0.644,0.69
2015-12,5.029539e-05,0.644,0.2540391
2016-01,5.029539e-05,0.5,0.2559239
2016-02,5.029539e-05,0.5,0.2559239
2016-03,5.029539e-05,0.5,0.2559239
2016-04,5.029539e-05,0.5,0.2559239
2016-05,5.029539e-05,0.5,0.2559239
2016-06,5.029539e-05,0.5,0.32
2016-07,1.9999579,0.5,0.61188775
2016-08,2.9999056,0.5,2.1102977
2016-09,5.029539e-05,0.5,0.8176786
