,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-02,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-03,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-04,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-05,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-06,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-07,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-08,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-09,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-10,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-11,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2010-12,2053383.0,2601392.0,3006147.0,1389233.0,1959707.0,2559126.0,3197760.0,1744872.0
2011-01,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-02,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-03,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-04,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-05,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-06,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-07,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-08,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-09,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-10,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-11,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2011-12,2049468.0,2621860.0,3043857.0,1423634.0,1956365.0,2569794.0,3240990.0,1782819.0
2012-01,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-02,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-03,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-04,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-05,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-06,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-07,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-08,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-09,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-10,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-11,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2012-12,2046206.0,2643031.0,3075652.0,1467403.0,1956167.0,2591336.0,3275196.0,1830161.0
2013-01,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-02,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-03,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-04,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-05,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-06,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-07,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-08,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-09,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-10,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-11,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2013-12,2049017.0,2663799.0,3104312.0,1515461.0,1957778.0,2608225.0,3308100.0,1884464.0
2014-01,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-02,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-03,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-04,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-05,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-06,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-07,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-08,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-09,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-10,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-11,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2014-12,2056104.0,2700149.0,3136314.0,1572084.0,1964873.0,2643091.0,3342701.0,1946476.0
2015-01,2065422.0,2737427.0,3162720.0,1634440.0,1975701.0,2676773.0,3376738.0,2016551.0
