year,month,Value
1990,1,0.88
1990,2,0.67
1990,3,4.3
1990,4,2.26
1990,5,5.73
1990,6,7.96
1990,7,6.37
1990,8,4.32
1990,9,1.39
1990,10,1.88
1990,11,1.65
1990,12,1.5
1991,1,0.77
1991,2,0.3
1991,3,4.19
1991,4,5.83
1991,5,5.19
1991,6,4.14
1991,7,2.32
1991,8,3.45
1991,9,2.79
1991,10,2.92
1991,11,4.36
1991,12,1.48
1992,1,1.0
1992,2,1.29
1992,3,2.21
1992,4,3.6
1992,5,1.75
1992,6,1.89
1992,7,8.55
1992,8,2.55
1992,9,5.58
1992,10,1.63
1992,11,4.38
1992,12,1.78
1993,1,1.18
1993,2,1.15
1993,3,2.75
1993,4,3.65
1993,5,5.6
1993,6,8.0
1993,7,10.45
1993,8,8.25
1993,9,3.69
1993,10,1.31
1993,11,1.09
1993,12,0.76
1994,1,1.06
1994,2,1.18
1994,3,0.2
1994,4,2.41
1994,5,2.05
1994,6,6.23
1994,7,3.89
1994,8,3.62
1994,9,3.58
1994,10,1.93
1994,11,2.21
1994,12,1.19
1995,1,0.82
1995,2,0.32
1995,3,2.57
1995,4,4.9
1995,5,5.88
1995,6,3.73
1995,7,3.46
1995,8,3.52
1995,9,2.96
1995,10,2.0
1995,11,1.7
1995,12,0.4
1996,1,1.84
1996,2,0.27
1996,3,1.38
1996,4,1.63
1996,5,7.34
1996,6,5.07
1996,7,3.2
1996,8,3.79
1996,9,2.88
1996,10,2.74
1996,11,2.65
1996,12,0.87
1997,1,0.96
1997,2,1.68
1997,3,1.32
1997,4,2.63
1997,5,4.03
1997,6,4.38
1997,7,2.95
1997,8,2.76
1997,9,3.11
1997,10,3.37
1997,11,1.02
1997,12,1.0
1998,1,1.05
1998,2,1.63
1998,3,3.65
1998,4,3.94
1998,5,4.3
1998,6,7.91
1998,7,3.16
1998,8,5.01
1998,9,2.06
1998,10,4.83
1998,11,1.61
1998,12,0.42
1999,1,1.29
1999,2,0.91
1999,3,0.98
1999,4,6.26
1999,5,4.89
1999,6,5.29
1999,7,5.21
1999,8,3.11
1999,9,1.84
1999,10,0.77
1999,11,1.02
1999,12,0.71
2000,1,0.73
2000,2,1.37
2000,3,1.0
2000,4,2.03
2000,5,3.6
2000,6,6.56
2000,7,4.09
2000,8,2.62
2000,9,2.11
2000,10,1.8
2000,11,2.15
2000,12,1.67
2001,1,1.42
2001,2,2.16
2001,3,1.3
2001,4,3.6
2001,5,7.04
2001,6,4.07
2001,7,3.12
2001,8,2.97
2001,9,4.07
2001,10,2.46
2001,11,1.55
2001,12,0.83
2002,1,0.4
2002,2,0.89
2002,3,1.16
2002,4,3.62
2002,5,4.1
2002,6,3.51
2002,7,4.24
2002,8,5.81
2002,9,1.71
2002,10,3.58
2002,11,0.22
2002,12,0.24
2003,1,0.39
2003,2,0.82
2003,3,1.15
2003,4,3.25
2003,5,4.61
2003,6,4.48
2003,7,4.11
2003,8,1.03
2003,9,3.11
2003,10,1.0
2003,11,3.46
2003,12,1.28
2004,1,0.96
2004,2,1.17
2004,3,3.75
2004,4,1.85
2004,5,7.74
2004,6,3.55
2004,7,4.33
2004,8,4.56
2004,9,2.66
2004,10,2.05
2004,11,2.21
2004,12,0.58
2005,1,1.31
2005,2,1.52
2005,3,1.05
2005,4,3.45
2005,5,3.85
2005,6,5.25
2005,7,3.27
2005,8,3.02
2005,9,3.29
2005,10,0.91
2005,11,1.75
2005,12,1.17
2006,1,0.99
2006,2,0.32
2006,3,3.17
2006,4,4.3
2006,5,2.44
2006,6,2.49
2006,7,3.22
2006,8,5.75
2006,9,4.22
2006,10,1.64
2006,11,1.77
2006,12,2.09
2007,1,0.91
2007,2,1.68
2007,3,2.86
2007,4,4.57
2007,5,5.35
2007,6,3.38
2007,7,3.38
2007,8,9.69
2007,9,2.87
2007,10,5.1
2007,11,0.18
2007,12,2.44
2008,1,0.68
2008,2,1.71
2008,3,1.26
2008,4,5.86
2008,5,5.67
2008,6,8.88
2008,7,5.88
2008,8,1.96
2008,9,4.16
2008,10,3.26
2008,11,1.72
2008,12,1.88
2009,1,0.68
2009,2,0.79
2009,3,2.97
2009,4,3.6
2009,5,3.64
2009,6,5.29
2009,7,4.62
2009,8,5.75
2009,9,1.73
2009,10,6.35
2009,11,1.19
2009,12,2.54
2010,1,1.3
2010,2,0.96
2010,3,1.72
2010,4,3.7
2010,5,4.19
2010,6,10.28
2010,7,7.89
2010,8,4.83
2010,9,5.4
2010,10,0.91
2010,11,1.64
2010,12,1.23
2011,1,0.94
2011,2,1.39
2011,3,1.5
2011,4,3.81
2011,5,5.0
2011,6,6.19
2011,7,3.4
2011,8,3.02
2011,9,1.68
2011,10,0.74
2011,11,2.08
2011,12,2.08
2012,1,0.57
2012,2,1.68
2012,3,1.91
2012,4,3.9
2012,5,3.51
2012,6,2.81
2012,7,1.17
2012,8,2.88
2012,9,1.62
2012,10,2.98
2012,11,1.05
2012,12,1.53
2013,1,0.95
2013,2,1.27
2013,3,2.09
2013,4,6.43
2013,5,8.65
2013,6,4.89
2013,7,1.74
2013,8,1.49
2013,9,1.94
2013,10,2.78
2013,11,1.59
2013,12,0.62
2014,1,0.43
2014,2,1.5
2014,3,0.81
2014,4,4.65
2014,5,3.04
2014,6,9.66
2014,7,3.3
2014,8,5.92
2014,9,4.35
2014,10,3.17
2014,11,0.76
2014,12,1.1
2015,1,0.52
2015,2,1.11
2015,3,0.56
2015,4,3.37
2015,5,5.06
2015,6,6.38
2015,7,5.51
2015,8,5.29
2015,9,4.18
2015,10,1.76
2015,11,4.08
2015,12,4.71
2016,1,0.59
2016,2,0.88
2016,3,2.28
2016,4,3.19
2016,5,4.36
2016,6,3.7
2016,7,5.92
2016,8,6.14
2016,9,6.12
2016,10,2.01
2016,11,1.39
2016,12,1.52
2017,1,1.56
2017,2,0.99
2017,3,2.57
2017,4,3.8
2017,5,4.8
2017,6,3.5
2017,7,2.94
2017,8,3.83
2017,9,2.31
2017,10,5.26
2017,11,0.41
2017,12,0.39
2018,1,1.02
2018,2,1.54
2018,3,2.28
2018,4,1.54
2018,5,4.7
2018,6,7.55
2018,7,3.39
2018,8,6.42
2018,9,8.1
2018,10,4.63
2018,11,1.81
2018,12,2.1
2019,1,1.28
2019,2,2.34
2019,3,2.19
2019,4,3.03
2019,5,8.21
2019,6,3.91
2019,7,3.38
2019,8,3.53
2019,9,6.21
2019,10,4.78
2019,11,1.49
2019,12,1.28
2020,1,1.41
2020,2,0.43
2020,3,2.91
2020,4,1.65
2020,5,4.57
2020,6,4.95
2020,7,2.93
2020,8,1.23
2020,9,4.07
2020,10,1.9
2020,11,2.09
2020,12,1.14
2021,1,1.24
2021,2,0.79
2021,3,2.78
2021,4,1.51
2021,5,3.85
2021,6,3.35
2021,7,4.01
2021,8,4.65
2021,9,1.81
2021,10,5.0
2021,11,0.98
2021,12,0.87
2022,1,0.78
2022,2,0.28
2022,3,2.65
2022,4,3.22
2022,5,3.59
2022,6,3.53
2022,7,3.23
2022,8,3.49
2022,9,1.9
2022,10,0.92
2022,11,2.04
2022,12,1.68
