,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-02,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-03,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-04,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-05,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-06,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-07,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-08,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-09,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-10,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-11,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2010-12,3016267.0,1488998.0,1527269.0,2773410.0,82682.0,9825.0,50363.0,961.0,1215954.0
2011-01,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-02,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-03,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-04,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-05,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-06,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-07,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-08,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-09,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-10,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-11,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2011-12,3032266.0,1498400.0,1533866.0,2782349.0,85714.0,9958.0,52881.0,1112.0,1219137.0
2012-01,3047646.0,1507335.0,1540311.0,2793432.0,88664.0,9708.0,54262.0,1308.0,1223509.0
2012-02,3047646.0,1507335.0,1540311.0,2793432.0,88664.0,9708.0,54262.0,1308.0,1223509.0
2012-03,3047646.0,1507335.0,1540311.0,2793432.0,88664.0,9708.0,54262.0,1308.0,1223509.0
2012-04,3047646.0,1507335.0,1540311.0,2793432.0,88664.0,9708.0,54262.0,1308.0,1223509.0
