,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,36.6,6.9,30.4,1.3,1.06
2010-02,0.0,37.5,8.5,33.0,0.96,0.43
2010-03,0.0,37.2,29.1,54.0,1.72,-0.55
2010-04,0.0,39.0,42.7,70.2,3.7,0.14
2010-05,0.0,44.0,48.6,74.8,4.19,0.43
2010-06,0.0,55.1,60.6,84.3,10.28,6.75
2010-07,0.0,61.2,65.0,86.9,7.89,5.47
2010-08,1.0,58.2,64.0,87.2,4.83,1.54
2010-09,1.0,54.9,52.0,80.5,5.4,3.05
2010-10,1.0,49.1,39.7,70.0,0.91,-1.24
2010-11,0.0,37.6,27.9,54.6,1.64,0.46
2010-12,0.0,37.7,11.2,31.4,1.23,0.78
2011-01,0.0,34.6,6.6,31.0,0.94,0.42
2011-02,0.0,32.3,14.0,39.5,1.39,1.22
2011-03,0.0,38.6,25.6,50.8,1.5,-0.48
2011-04,0.0,41.1,37.2,63.8,3.81,1.52
2011-05,0.0,44.8,47.8,72.2,5.0,1.57
2011-06,0.0,53.3,59.9,82.7,6.19,1.95
2011-07,0.0,60.0,68.2,89.6,3.4,-0.7
2011-08,2.0,59.8,60.9,85.0,3.02,-1.07
2011-09,3.0,57.3,48.6,73.6,1.68,-1.96
2011-10,0.0,48.4,39.8,66.1,0.74,-2.65
2011-11,0.0,37.5,28.8,55.7,2.08,-0.92
2011-12,0.0,30.6,20.4,44.1,2.08,0.75
2012-01,0.0,34.4,16.7,41.1,0.57,-0.9
2012-02,0.0,35.0,20.8,43.9,1.68,1.22
2012-03,0.0,37.3,40.2,66.7,1.91,-2.3
2012-04,0.0,43.1,40.3,65.3,3.9,0.88
2012-05,0.0,49.2,52.5,80.4,3.51,-1.28
2012-06,0.0,54.3,59.8,85.0,2.81,-2.49
2012-07,1.0,59.7,67.1,92.8,1.17,-4.6
2012-08,4.0,62.7,57.6,84.8,2.88,-2.28
2012-09,6.0,57.8,47.3,75.5,1.62,-3.21
2012-10,0.0,48.9,37.0,62.3,2.98,0.16
2012-11,0.0,41.4,28.1,50.8,1.05,-2.6
2012-12,0.0,34.3,18.7,45.3,1.53,-0.81
2013-01,0.0,31.0,12.2,38.6,0.95,-1.02
2013-02,0.0,33.1,15.8,38.1,1.27,-0.32
2013-03,0.0,41.0,20.8,42.8,2.09,-0.23
2013-04,0.0,44.7,33.1,62.0,6.43,5.69
2013-05,0.0,50.1,48.5,75.4,8.65,6.13
2013-06,0.0,57.6,59.4,81.0,4.89,0.48
2013-07,1.0,63.4,61.2,82.0,1.74,-2.05
2013-08,4.0,59.8,60.4,82.6,1.49,-3.1
2013-09,18.0,55.6,54.5,79.3,1.94,-2.94
2013-10,1.0,44.5,39.3,65.3,2.78,0.01
2013-11,0.0,40.2,23.9,48.4,1.59,-1.02
2013-12,0.0,32.0,8.1,37.6,0.62,-1.67
2014-01,0.0,37.2,2.8,29.1,0.43,-1.63
2014-02,0.0,39.0,3.2,31.2,1.5,0.27
2014-03,0.0,41.6,19.3,45.3,0.81,-1.85
2014-04,0.0,44.4,35.2,64.4,4.65,2.48
2014-05,0.0,50.5,48.4,74.1,3.04,-1.02
2014-06,0.0,56.6,60.2,82.6,9.66,6.08
2014-07,0.0,64.0,58.5,80.1,3.3,0.38
