,fips,state,year,month,count
2000-01,16,ID,2000,1,0
2000-02,16,ID,2000,2,0
2000-03,16,ID,2000,3,0
2000-04,16,ID,2000,4,0
2000-05,16,ID,2000,5,0
2000-06,16,ID,2000,6,0
2000-07,16,ID,2000,7,0
2000-08,16,ID,2000,8,0
2000-09,16,ID,2000,9,0
2000-10,16,ID,2000,10,0
2000-11,16,ID,2000,11,0
2000-12,16,ID,2000,12,0
2001-01,16,ID,2001,1,0
2001-02,16,ID,2001,2,0
2001-03,16,ID,2001,3,0
2001-04,16,ID,2001,4,0
2001-05,16,ID,2001,5,0
2001-06,16,ID,2001,6,0
2001-07,16,ID,2001,7,0
2001-08,16,ID,2001,8,0
2001-09,16,ID,2001,9,0
2001-10,16,ID,2001,10,0
2001-11,16,ID,2001,11,0
2001-12,16,ID,2001,12,0
2002-01,16,ID,2002,1,0
2002-02,16,ID,2002,2,0
2002-03,16,ID,2002,3,0
2002-04,16,ID,2002,4,0
2002-05,16,ID,2002,5,0
2002-06,16,ID,2002,6,0
2002-07,16,ID,2002,7,0
2002-08,16,ID,2002,8,0
2002-09,16,ID,2002,9,0
2002-10,16,ID,2002,10,0
2002-11,16,ID,2002,11,0
2002-12,16,ID,2002,12,0
2003-01,16,ID,2003,1,0
2003-02,16,ID,2003,2,0
2003-03,16,ID,2003,3,0
2003-04,16,ID,2003,4,0
2003-05,16,ID,2003,5,0
2003-06,16,ID,2003,6,0
2003-07,16,ID,2003,7,0
2003-08,16,ID,2003,8,0
2003-09,16,ID,2003,9,0
2003-10,16,ID,2003,10,0
2003-11,16,ID,2003,11,0
2003-12,16,ID,2003,12,0
2004-01,16,ID,2004,1,0
2004-02,16,ID,2004,2,0
2004-03,16,ID,2004,3,0
2004-04,16,ID,2004,4,0
2004-05,16,ID,2004,5,0
2004-06,16,ID,2004,6,0
2004-07,16,ID,2004,7,0
2004-08,16,ID,2004,8,0
2004-09,16,ID,2004,9,1
2004-10,16,ID,2004,10,0
2004-11,16,ID,2004,11,0
2004-12,16,ID,2004,12,0
2005-01,16,ID,2005,1,0
2005-02,16,ID,2005,2,0
2005-03,16,ID,2005,3,0
2005-04,16,ID,2005,4,0
2005-05,16,ID,2005,5,0
2005-06,16,ID,2005,6,0
2005-07,16,ID,2005,7,0
2005-08,16,ID,2005,8,3
2005-09,16,ID,2005,9,0
2005-10,16,ID,2005,10,0
2005-11,16,ID,2005,11,0
2005-12,16,ID,2005,12,0
2006-01,16,ID,2006,1,0
2006-02,16,ID,2006,2,0
2006-03,16,ID,2006,3,0
2006-04,16,ID,2006,4,0
2006-05,16,ID,2006,5,0
2006-06,16,ID,2006,6,1
2006-07,16,ID,2006,7,36
2006-08,16,ID,2006,8,92
2006-09,16,ID,2006,9,9
2006-10,16,ID,2006,10,1
2006-11,16,ID,2006,11,0
2006-12,16,ID,2006,12,0
2007-01,16,ID,2007,1,0
2007-02,16,ID,2007,2,0
2007-03,16,ID,2007,3,0
2007-04,16,ID,2007,4,0
2007-05,16,ID,2007,5,0
2007-06,16,ID,2007,6,0
2007-07,16,ID,2007,7,1
2007-08,16,ID,2007,8,4
2007-09,16,ID,2007,9,6
2007-10,16,ID,2007,10,0
2007-11,16,ID,2007,11,0
2007-12,16,ID,2007,12,0
2008-01,16,ID,2008,1,0
2008-02,16,ID,2008,2,0
2008-03,16,ID,2008,3,0
2008-04,16,ID,2008,4,1
2008-05,16,ID,2008,5,0
2008-06,16,ID,2008,6,0
2008-07,16,ID,2008,7,1
2008-08,16,ID,2008,8,1
2008-09,16,ID,2008,9,1
2008-10,16,ID,2008,10,0
2008-11,16,ID,2008,11,0
2008-12,16,ID,2008,12,0
2009-01,16,ID,2009,1,0
2009-02,16,ID,2009,2,0
2009-03,16,ID,2009,3,0
2009-04,16,ID,2009,4,0
2009-05,16,ID,2009,5,0
2009-06,16,ID,2009,6,1
2009-07,16,ID,2009,7,0
2009-08,16,ID,2009,8,6
2009-09,16,ID,2009,9,2
2009-10,16,ID,2009,10,0
2009-11,16,ID,2009,11,0
2009-12,16,ID,2009,12,0
2010-01,16,ID,2010,1,0
2010-02,16,ID,2010,2,0
2010-03,16,ID,2010,3,0
2010-04,16,ID,2010,4,0
2010-05,16,ID,2010,5,0
2010-06,16,ID,2010,6,0
2010-07,16,ID,2010,7,0
2010-08,16,ID,2010,8,0
2010-09,16,ID,2010,9,0
2010-10,16,ID,2010,10,0
2010-11,16,ID,2010,11,0
2010-12,16,ID,2010,12,0
2011-01,16,ID,2011,1,0
2011-02,16,ID,2011,2,0
2011-03,16,ID,2011,3,0
2011-04,16,ID,2011,4,0
2011-05,16,ID,2011,5,0
2011-06,16,ID,2011,6,0
2011-07,16,ID,2011,7,0
2011-08,16,ID,2011,8,1
2011-09,16,ID,2011,9,0
2011-10,16,ID,2011,10,0
2011-11,16,ID,2011,11,0
2011-12,16,ID,2011,12,0
2012-01,16,ID,2012,1,0
2012-02,16,ID,2012,2,0
2012-03,16,ID,2012,3,0
2012-04,16,ID,2012,4,0
2012-05,16,ID,2012,5,0
2012-06,16,ID,2012,6,0
2012-07,16,ID,2012,7,1
2012-08,16,ID,2012,8,2
2012-09,16,ID,2012,9,1
2012-10,16,ID,2012,10,1
2012-11,16,ID,2012,11,0
2012-12,16,ID,2012,12,0
2013-01,16,ID,2013,1,0
2013-02,16,ID,2013,2,0
2013-03,16,ID,2013,3,0
2013-04,16,ID,2013,4,0
2013-05,16,ID,2013,5,0
2013-06,16,ID,2013,6,0
2013-07,16,ID,2013,7,1
2013-08,16,ID,2013,8,8
2013-09,16,ID,2013,9,4
2013-10,16,ID,2013,10,1
2013-11,16,ID,2013,11,0
2013-12,16,ID,2013,12,0
2014-01,16,ID,2014,1,0
2014-02,16,ID,2014,2,0
2014-03,16,ID,2014,3,0
2014-04,16,ID,2014,4,0
2014-05,16,ID,2014,5,0
2014-06,16,ID,2014,6,0
2014-07,16,ID,2014,7,0
2014-08,16,ID,2014,8,5
2014-09,16,ID,2014,9,1
2014-10,16,ID,2014,10,0
2014-11,16,ID,2014,11,0
2014-12,16,ID,2014,12,0
2015-01,16,ID,2015,1,0
2015-02,16,ID,2015,2,0
2015-03,16,ID,2015,3,0
2015-04,16,ID,2015,4,0
2015-05,16,ID,2015,5,0
