year,month,Value
1990,1,34.2
1990,2,35.1
1990,3,47.8
1990,4,58.4
1990,5,59.2
1990,6,71.0
1990,7,82.1
1990,8,79.5
1990,9,77.8
1990,10,54.6
1990,11,42.1
1990,12,24.1
1991,1,29.7
1991,2,44.5
1991,3,43.0
1991,4,50.0
1991,5,57.5
1991,6,68.0
1991,7,82.5
1991,8,83.1
1991,9,72.2
1991,10,57.6
1991,11,36.9
1991,12,34.1
1992,1,34.7
1992,2,43.9
1992,3,53.4
1992,4,58.3
1992,5,70.2
1992,6,74.4
1992,7,77.0
1992,8,81.2
1992,9,69.0
1992,10,59.8
1992,11,35.4
1992,12,27.8
1993,1,27.7
1993,2,31.9
1993,3,44.2
1993,4,49.5
1993,5,67.1
1993,6,65.6
1993,7,69.0
1993,8,74.3
1993,9,70.2
1993,10,57.1
1993,11,37.5
1993,12,32.8
1994,1,36.2
1994,2,34.6
1994,3,50.2
1994,4,55.8
1994,5,65.7
1994,6,73.5
1994,7,83.8
1994,8,84.1
1994,9,75.1
1994,10,53.8
1994,11,32.9
1994,12,31.6
1995,1,33.6
1995,2,43.1
1995,3,43.3
1995,4,50.8
1995,5,59.7
1995,6,66.6
1995,7,78.3
1995,8,79.0
1995,9,71.9
1995,10,53.4
1995,11,45.0
1995,12,34.4
1996,1,31.7
1996,2,36.8
1996,3,45.4
1996,4,52.7
1996,5,57.3
1996,6,73.4
1996,7,83.6
1996,8,81.4
1996,9,66.6
1996,10,55.4
1996,11,41.8
1996,12,31.9
1997,1,31.8
1997,2,36.2
1997,3,45.4
1997,4,49.5
1997,5,66.2
1997,6,69.8
1997,7,77.5
1997,8,80.5
1997,9,71.0
1997,10,54.2
1997,11,43.1
1997,12,31.7
1998,1,35.1
1998,2,38.0
1998,3,44.1
1998,4,53.0
1998,5,60.6
1998,6,65.5
1998,7,84.8
1998,8,83.6
1998,9,74.3
1998,10,55.4
1998,11,41.1
1998,12,30.1
1999,1,34.3
1999,2,35.5
1999,3,45.0
1999,4,50.5
1999,5,59.1
1999,6,68.6
1999,7,80.5
1999,8,80.9
1999,9,70.5
1999,10,60.7
1999,11,49.2
1999,12,33.5
2000,1,32.9
2000,2,40.2
2000,3,45.7
2000,4,58.2
2000,5,62.5
2000,6,73.6
2000,7,83.1
2000,8,83.2
2000,9,68.1
2000,10,55.2
2000,11,34.5
2000,12,32.1
2001,1,31.8
2001,2,34.5
2001,3,47.2
2001,4,51.5
2001,5,67.5
2001,6,71.9
2001,7,80.5
2001,8,85.3
2001,9,75.4
2001,10,56.9
2001,11,45.4
2001,12,29.7
2002,1,30.4
2002,2,34.9
2002,3,40.2
2002,4,53.3
2002,5,61.8
2002,6,73.0
2002,7,85.2
2002,8,77.7
2002,9,70.6
2002,10,54.2
2002,11,42.5
2002,12,35.8
2003,1,38.6
2003,2,36.6
2003,3,45.9
2003,4,51.6
2003,5,62.8
2003,6,74.1
2003,7,87.7
2003,8,83.7
2003,9,71.9
2003,10,62.2
2003,11,37.0
2003,12,35.0
2004,1,30.5
2004,2,35.2
2004,3,51.4
2004,4,57.3
2004,5,60.6
2004,6,72.5
2004,7,81.9
2004,8,78.5
2004,9,67.0
2004,10,55.4
2004,11,41.6
2004,12,35.8
2005,1,34.4
2005,2,40.0
2005,3,46.8
2005,4,53.6
2005,5,61.6
2005,6,67.1
2005,7,83.3
2005,8,81.4
2005,9,69.2
2005,10,57.5
2005,11,40.7
2005,12,30.8
2006,1,35.1
2006,2,35.0
2006,3,42.2
2006,4,54.1
2006,5,66.0
2006,6,75.0
2006,7,86.6
2006,8,80.4
2006,9,70.0
2006,10,55.0
2006,11,41.7
2006,12,34.0
2007,1,30.8
2007,2,39.6
2007,3,50.7
2007,4,55.3
2007,5,66.3
2007,6,74.7
2007,7,88.7
2007,8,81.7
2007,9,69.4
2007,10,54.0
2007,11,43.8
2007,12,30.4
2008,1,28.6
2008,2,36.7
2008,3,40.6
2008,4,48.9
2008,5,61.7
2008,6,70.4
2008,7,83.2
2008,8,81.1
2008,9,71.3
2008,10,57.1
2008,11,45.7
2008,12,30.9
2009,1,33.7
2009,2,37.5
2009,3,41.4
2009,4,52.4
2009,5,64.7
2009,6,68.5
2009,7,81.6
2009,8,78.9
2009,9,76.4
2009,10,49.6
2009,11,43.0
2009,12,28.1
2010,1,35.6
2010,2,37.8
2010,3,46.3
2010,4,51.7
2010,5,55.3
2010,6,67.6
2010,7,80.2
2010,8,78.4
2010,9,71.6
2010,10,59.3
2010,11,38.9
2010,12,33.7
2011,1,31.9
2011,2,33.6
2011,3,42.3
2011,4,46.8
2011,5,57.2
2011,6,66.9
2011,7,80.2
2011,8,82.5
2011,9,75.7
2011,10,56.1
2011,11,40.0
2011,12,34.7
2012,1,36.0
2012,2,37.4
2012,3,46.5
2012,4,57.2
2012,5,62.2
2012,6,71.6
2012,7,84.5
2012,8,84.2
2012,9,74.9
2012,10,56.1
2012,11,44.4
2012,12,32.6
2013,1,29.1
2013,2,36.6
2013,3,46.4
2013,4,52.0
2013,5,64.4
2013,6,74.1
2013,7,86.2
2013,8,83.8
2013,9,69.2
2013,10,54.2
2013,11,43.3
2013,12,29.8
2014,1,36.7
2014,2,36.3
2014,3,46.8
2014,4,53.8
2014,5,65.2
2014,6,70.4
2014,7,85.3
2014,8,77.4
2014,9,71.9
2014,10,61.0
2014,11,40.3
2014,12,36.2
2015,1,36.7
2015,2,44.8
2015,3,53.5
2015,4,55.3
2015,5,63.8
2015,6,80.0
2015,7,79.6
2015,8,81.4
2015,9,71.9
2015,10,62.6
2015,11,38.7
2015,12,31.5
2016,1,33.2
2016,2,41.2
2016,3,46.6
2016,4,59.7
2016,5,63.0
2016,6,76.4
2016,7,80.6
2016,8,81.3
2016,9,67.8
2016,10,55.4
2016,11,48.2
2016,12,27.6
2017,1,27.3
2017,2,37.2
2017,3,47.8
2017,4,50.9
2017,5,64.1
2017,6,73.2
2017,7,86.4
2017,8,82.9
2017,9,69.0
2017,10,53.9
2017,11,43.1
2017,12,33.5
2018,1,38.1
2018,2,35.1
2018,3,43.7
2018,4,53.8
2018,5,66.5
2018,6,71.2
2018,7,84.9
2018,8,80.8
2018,9,71.7
2018,10,55.4
2018,11,41.3
2018,12,32.0
2019,1,34.9
2019,2,31.2
2019,3,43.9
2019,4,53.2
2019,5,61.7
2019,6,71.0
2019,7,80.7
2019,8,81.8
2019,9,67.6
2019,10,48.7
2019,11,45.0
2019,12,33.4
2020,1,34.2
2020,2,36.7
2020,3,45.6
2020,4,54.4
2020,5,63.5
2020,6,68.8
2020,7,80.7
2020,8,83.0
2020,9,74.8
2020,10,58.4
2020,11,42.3
2020,12,35.2
2021,1,34.6
2021,2,33.6
2021,3,46.9
2021,4,55.3
2021,5,63.0
2021,6,80.9
2021,7,88.0
2021,8,78.8
2021,9,72.9
2021,10,55.8
2021,11,45.4
2021,12,33.7
2022,1,32.6
2022,2,35.1
2022,3,46.9
2022,4,48.5
2022,5,57.7
2022,6,70.6
2022,7,85.8
2022,8,85.2
2022,9,76.4
2022,10,61.4
2022,11,35.6
2022,12,30.2
