year,month,Value
1990,1,27.2
1990,2,26.5
1990,3,35.3
1990,4,39.8
1990,5,49.2
1990,6,61.3
1990,7,64.1
1990,8,62.0
1990,9,56.8
1990,10,40.2
1990,11,36.1
1990,12,21.4
1991,1,16.3
1991,2,25.7
1991,3,33.9
1991,4,45.2
1991,5,58.5
1991,6,63.9
1991,7,64.9
1991,8,62.9
1991,9,54.5
1991,10,44.2
1991,11,28.9
1991,12,25.4
1992,1,23.9
1992,2,29.1
1992,3,32.7
1992,4,40.1
1992,5,48.9
1992,6,56.8
1992,7,63.8
1992,8,57.2
1992,9,53.0
1992,10,41.2
1992,11,34.7
1992,12,23.2
1993,1,20.5
1993,2,18.8
1993,3,28.8
1993,4,39.2
1993,5,52.2
1993,6,60.1
1993,7,67.6
1993,8,65.0
1993,9,52.0
1993,10,40.2
1993,11,31.5
1993,12,25.0
1994,1,12.2
1994,2,18.1
1994,3,30.4
1994,4,41.3
1994,5,48.0
1994,6,62.3
1994,7,63.2
1994,8,59.2
1994,9,53.7
1994,10,45.1
1994,11,37.1
1994,12,28.3
1995,1,18.9
1995,2,20.3
1995,3,32.8
1995,4,38.7
1995,5,50.3
1995,6,61.2
1995,7,65.7
1995,8,68.7
1995,9,51.2
1995,10,42.8
1995,11,26.1
1995,12,19.9
1996,1,15.6
1996,2,20.6
1996,3,24.0
1996,4,36.6
1996,5,51.8
1996,6,61.4
1996,7,61.6
1996,8,62.6
1996,9,52.9
1996,10,42.9
1996,11,27.5
1996,12,22.9
1997,1,12.2
1997,2,26.7
1997,3,32.4
1997,4,36.2
1997,5,46.1
1997,6,60.6
1997,7,64.0
1997,8,60.8
1997,9,54.6
1997,10,43.3
1997,11,31.4
1997,12,26.3
1998,1,25.3
1998,2,33.2
1998,3,32.9
1998,4,42.5
1998,5,57.0
1998,6,62.0
1998,7,65.8
1998,8,64.7
1998,9,59.0
1998,10,45.4
1998,11,36.2
1998,12,26.1
1999,1,16.8
1999,2,29.1
1999,3,28.0
1999,4,44.5
1999,5,52.8
1999,6,62.1
1999,7,68.0
1999,8,60.2
1999,9,50.6
1999,10,41.2
1999,11,36.1
1999,12,24.0
2000,1,18.6
2000,2,28.4
2000,3,34.8
2000,4,39.3
2000,5,54.3
2000,6,60.1
2000,7,63.4
2000,8,64.2
2000,9,54.0
2000,10,46.3
2000,11,30.7
2000,12,9.3
2001,1,18.0
2001,2,22.2
2001,3,27.4
2001,4,45.5
2001,5,53.6
2001,6,59.3
2001,7,65.3
2001,8,63.7
2001,9,52.5
2001,10,43.1
2001,11,38.7
2001,12,27.9
2002,1,24.6
2002,2,25.5
2002,3,27.9
2002,4,42.7
2002,5,48.2
2002,6,63.1
2002,7,67.3
2002,8,64.4
2002,9,56.5
2002,10,42.2
2002,11,30.8
2002,12,23.5
2003,1,14.3
2003,2,18.0
2003,3,30.4
2003,4,41.6
2003,5,50.4
2003,6,56.8
2003,7,64.1
2003,8,64.0
2003,9,52.2
2003,10,42.1
2003,11,35.7
2003,12,26.2
2004,1,16.6
2004,2,21.2
2004,3,35.7
2004,4,42.2
2004,5,55.2
2004,6,59.5
2004,7,63.1
2004,8,57.6
2004,9,54.6
2004,10,44.9
2004,11,37.7
2004,12,22.5
2005,1,21.8
2005,2,28.3
2005,3,29.0
2005,4,43.4
2005,5,48.4
2005,6,63.4
2005,7,65.1
2005,8,64.8
2005,9,58.5
2005,10,44.3
2005,11,34.4
2005,12,19.1
2006,1,30.6
2006,2,20.7
2006,3,32.3
2006,4,44.4
2006,5,52.0
2006,6,60.2
2006,7,66.6
2006,8,64.7
2006,9,52.9
2006,10,40.4
2006,11,35.2
2006,12,27.0
2007,1,22.7
2007,2,13.5
2007,3,37.5
2007,4,38.8
2007,5,55.7
2007,6,61.5
2007,7,62.1
2007,8,67.1
2007,9,56.5
2007,10,48.4
2007,11,32.0
2007,12,23.0
2008,1,17.2
2008,2,18.4
2008,3,29.5
2008,4,40.9
2008,5,47.9
2008,6,62.6
2008,7,64.1
2008,8,60.8
2008,9,56.4
2008,10,42.8
2008,11,32.0
2008,12,17.0
2009,1,11.9
2009,2,22.8
2009,3,32.8
2009,4,40.7
2009,5,52.0
2009,6,62.3
2009,7,60.8
2009,8,60.7
2009,9,55.4
2009,10,41.7
2009,11,37.9
2009,12,22.2
2010,1,14.8
2010,2,18.0
2010,3,34.1
2010,4,46.1
2010,5,53.9
2010,6,64.8
2010,7,67.6
2010,8,65.6
2010,9,55.4
2010,10,42.4
2010,11,32.6
2010,12,16.8
2011,1,15.2
2011,2,22.0
2011,3,32.6
2011,4,42.5
2011,5,51.8
2011,6,62.8
2011,7,69.7
2011,8,63.2
2011,9,52.7
2011,10,42.5
2011,11,37.2
2011,12,28.4
2012,1,22.7
2012,2,27.1
2012,3,44.2
2012,4,42.4
2012,5,55.7
2012,6,59.8
2012,7,69.2
2012,8,60.3
2012,9,52.9
2012,10,41.9
2012,11,30.8
2012,12,29.0
2013,1,20.0
2013,2,21.8
2013,3,26.4
2013,4,39.3
2013,5,53.1
2013,6,61.4
2013,7,63.2
2013,8,61.8
2013,9,56.1
2013,10,43.3
2013,11,29.1
2013,12,17.4
2014,1,9.2
2014,2,9.9
2014,3,23.4
2014,4,40.8
2014,5,52.9
2014,6,63.2
2014,7,59.6
2014,8,64.3
2014,9,53.1
2014,10,44.0
2014,11,25.7
2014,12,27.9
2015,1,17.6
2015,2,9.8
2015,3,27.7
2015,4,42.3
2015,5,54.5
2015,6,62.5
2015,7,64.8
2015,8,61.3
2015,9,58.8
2015,10,44.6
2015,11,36.8
2015,12,33.9
2016,1,19.0
2016,2,25.4
2016,3,37.6
2016,4,41.6
2016,5,51.5
2016,6,63.3
2016,7,66.4
2016,8,66.5
2016,9,60.1
2016,10,49.2
2016,11,37.7
2016,12,21.8
2017,1,24.9
2017,2,30.2
2017,3,33.5
2017,4,45.5
2017,5,51.3
2017,6,61.0
2017,7,65.4
2017,8,59.5
2017,9,55.9
2017,10,48.0
2017,11,32.1
2017,12,20.8
2018,1,14.6
2018,2,22.0
2018,3,30.0
2018,4,33.3
2018,5,59.0
2018,6,64.6
2018,7,64.7
2018,8,64.6
2018,9,59.6
2018,10,43.7
2018,11,28.5
2018,12,26.6
2019,1,17.5
2019,2,20.8
2019,3,27.9
2019,4,41.7
2019,5,52.6
2019,6,60.8
2019,7,67.2
2019,8,62.5
2019,9,61.1
2019,10,43.0
2019,11,27.2
2019,12,26.6
2020,1,25.0
2020,2,24.0
2020,3,35.6
2020,4,38.3
2020,5,50.9
2020,6,62.3
2020,7,67.3
2020,8,61.9
2020,9,54.6
2020,10,40.8
2020,11,36.4
2020,12,24.3
2021,1,23.3
2021,2,12.8
2021,3,35.6
2021,4,41.4
2021,5,50.7
2021,6,63.6
2021,7,65.3
