,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,26.6,17.6,36.0,2.54,-0.99,,,,,,,,,,,,,,,,,
2000-02,0.0,36.7,27.6,46.4,3.46,0.93,,,,,,,,,,,,,,,,,
2000-03,0.0,45.4,33.8,57.5,2.2,-2.34,,,,,,,,,,,,,,,,,
2000-04,0.0,50.4,38.4,63.7,3.23,-0.59,,,,,,,,,,,,,,,,,
2000-05,0.0,64.2,53.3,75.8,4.53,0.0,,,,,,,,,,,,,,,,,
2000-06,0.0,70.4,60.0,80.4,6.21,2.78,,,,,,,,,,,,,,,,,
2000-07,0.0,71.8,61.6,82.9,3.89,0.63,,,,,,,,,,,,,,,,,
2000-08,0.0,72.0,61.4,85.0,4.41,1.92,,,,,,,,,,,,,,,,,
2000-09,0.0,64.4,52.6,78.6,4.61,2.59,,,,,,,,,,,,,,,,,
2000-10,0.0,57.2,45.2,69.6,2.33,0.25,,,,,,,,,,,,,,,,,
2000-11,0.0,40.3,31.9,47.1,2.98,1.31,,,,,,,,,,,,,,,,,
2000-12,0.0,19.2,10.8,25.9,3.01,0.73,,,,,,,,,,,,,,,,,
2001-01,0.0,26.9,19.3,33.3,1.02,-1.53,,,,,,,,,,,,,,,,,
2001-02,0.0,33.5,25.0,39.6,2.86,0.9,,,,,,,,,,,,,,,,,
2001-03,0.0,37.2,27.6,46.8,0.97,-2.97,,,,,,,,,,,,,,,,,
2001-04,0.0,56.5,44.5,69.8,2.75,-2.07,,,,,,,,,,,,,,,,,
2001-05,0.0,64.0,52.3,75.9,4.32,-0.2,,,,,,,,,,,,,,,,,
2001-06,0.0,69.1,58.6,80.4,4.09,0.36,,,,,,,,,,,,,,,,,
2001-07,0.0,73.7,62.7,86.6,5.46,2.33,,,,,,,,,,,,,,,,,
2001-08,0.0,73.8,63.2,85.6,4.02,1.25,,,,,,,,,,,,,,,,,
2001-09,0.0,63.6,51.7,76.4,3.76,1.56,,,,,,,,,,,,,,,,,
2001-10,0.0,53.7,42.9,64.6,7.75,7.03,,,,,,,,,,,,,,,,,
2001-11,0.0,49.0,37.2,61.1,3.34,1.17,,,,,,,,,,,,,,,,,
2001-12,0.0,36.9,29.2,43.8,3.62,1.19,,,,,,,,,,,,,,,,,
2002-01,0.0,34.1,25.5,42.6,2.24,-0.25,,,,,,,,,,,,,,,,,
2002-02,0.0,35.2,25.6,43.7,2.32,0.06,,,,,,,,,,,,,,,,,
2002-03,0.0,38.3,28.6,47.7,4.38,1.32,,,,,,,,,,,,,,,,,
2002-04,0.0,53.5,42.6,64.3,5.59,1.81,,,,,,,,,,,,,,,,,
2002-05,0.0,58.4,47.3,69.9,7.09,3.67,,,,,,,,,,,,,,,,,
2002-06,0.0,72.9,61.8,84.7,3.28,-1.24,,,,,,,,,,,,,,,,,
2002-07,2.0,77.0,65.7,89.1,2.64,-2.09,,,,,,,,,,,,,,,,,
2002-08,73.0,74.8,64.0,85.5,2.82,-1.75,,,,,,,,,,,,,,,,,
2002-09,89.0,69.2,56.2,82.1,3.75,-0.2,,,,,,,,,,,,,,,,,
2002-10,15.0,52.4,42.6,62.0,2.87,-0.41,,,,,,,,,,,,,,,,,
2002-11,1.0,39.9,31.7,48.4,2.35,-1.77,,,,,,,,,,,,,,,,,
2002-12,0.0,31.7,24.3,40.8,2.86,-0.6,,,,,,,,,,,,,,,,,
2003-01,0.0,21.6,13.5,31.2,1.42,-1.12,,,,,,,,,,,,,,,,,
2003-02,0.0,25.7,17.9,34.9,2.74,0.81,,,,,,,,,,,,,,,,,
2003-03,0.0,42.1,30.7,52.8,2.16,-1.97,,,,,,,,,,,,,,,,,
2003-04,0.0,53.2,41.3,65.3,3.0,-1.27,,,,,,,,,,,,,,,,,
2003-05,0.0,60.5,50.3,71.7,6.56,2.79,,,,,,,,,,,,,,,,,
2003-06,1.0,67.1,56.2,78.9,3.26,-0.35,,,,,,,,,,,,,,,,,
2003-07,2.0,73.0,62.5,85.4,8.18,5.86,,,,,,,,,,,,,,,,,
2003-08,4.0,73.8,63.2,86.5,3.54,0.63,,,,,,,,,,,,,,,,,
2003-09,7.0,63.4,52.0,75.9,6.2,4.81,,,,,,,,,,,,,,,,,
2003-10,1.0,52.9,41.0,66.9,2.4,1.03,,,,,,,,,,,,,,,,,
2003-11,0.0,46.0,36.9,53.9,4.26,2.5,,,,,,,,,,,,,,,,,
2003-12,0.0,33.5,26.4,41.3,2.68,0.29,,,,,,,,,,,,,,,,,
2004-01,0.0,24.5,16.6,32.7,3.48,1.23,,,,,,,,,,,,,,,,,
2004-02,0.0,29.9,21.1,38.9,0.83,-1.78,,,,,,,,,,,,,,,,,
2004-03,0.0,44.3,34.6,55.0,3.46,-0.57,,,,,,,,,,,,,,,,,
2004-04,0.0,53.3,41.7,66.0,1.83,-2.7,,,,,,,,,,,,,,,,,
2004-05,0.0,65.9,55.6,76.2,7.17,2.5,,,,,,,,,,,,,,,,,
2004-06,0.0,69.5,59.0,80.4,4.43,0.72,,,,,,,,,,,,,,,,,
2004-07,2.0,72.0,62.2,82.6,5.19,2.24,,,,,,,,,,,,,,,,,
2004-08,0.0,68.6,58.1,79.5,4.85,3.13,,,,,,,,,,,,,,,,,
2004-09,5.0,67.1,54.4,80.8,0.72,-2.42,,,,,,,,,,,,,,,,,
2004-10,1.0,54.8,43.9,65.9,4.14,1.97,,,,,,,,,,,,,,,,,
2004-11,0.0,45.9,37.9,53.4,4.73,2.68,,,,,,,,,,,,,,,,,
2004-12,0.0,30.8,22.3,39.6,2.57,0.22,,,,,,,,,,,,,,,,,
2005-01,0.0,29.9,22.6,36.5,7.11,5.32,,,,,,,,,,,,,,,,,
2005-02,0.0,34.8,26.9,43.9,2.25,-0.01,,,,,,,,,,,,,,,,,
2005-03,0.0,37.3,27.7,48.9,2.12,-1.5,,,,,,,,,,,,,,,,,
2005-04,0.0,54.0,41.9,67.4,3.04,-1.34,,,,,,,,,,,,,,,,,
2005-05,1.0,59.2,46.7,73.4,2.57,-1.39,,,,,,,,,,,,,,,,,
2005-06,0.0,73.4,62.4,86.6,3.21,-1.48,,,,,,,,,,,,,,,,,
2005-07,0.0,75.0,64.2,87.6,4.43,0.33,,,,,,,,,,,,,,,,,
2005-08,6.0,74.9,64.4,86.5,4.76,1.31,,,,,,,,,,,,,,,,,
2005-09,3.0,69.2,56.9,82.9,4.1,0.75,,,,,,,,,,,,,,,,,
2005-10,1.0,55.2,44.7,67.1,1.24,-2.02,,,,,,,,,,,,,,,,,
2005-11,0.0,44.6,33.9,54.6,3.91,-0.15,,,,,,,,,,,,,,,,,
2005-12,0.0,26.7,20.0,32.9,2.15,-0.78,,,,,,,,,,,,,,,,,
2006-01,0.0,39.1,31.3,45.6,3.28,0.59,,,,,,,,,,,,,,,,,
2006-02,0.0,31.7,22.4,41.1,1.62,-0.71,,,,,,,,,,,,,,,,,
2006-03,0.0,40.7,31.2,51.2,5.14,2.04,,,,,,,,,,,,,,,,,
2006-04,0.0,55.7,43.2,69.7,4.27,-0.12,,,,,,,,,,,,,,,,,
2006-05,1.0,60.1,49.4,72.6,5.25,1.41,,,,,,,,,,,,,,,,,
2006-06,0.0,69.8,58.7,82.6,4.2,0.39,,,,,,,,,,,,,,,,,
2006-07,1.0,75.4,65.3,87.6,4.85,1.3,,,,,,,,,,,,,,,,,
2006-08,14.0,73.6,63.6,84.7,4.76,2.1,,,,,,,,,,,,,,,,,
2006-09,10.0,62.5,52.2,74.6,4.56,2.71,,,,,,,,,,,,,,,,,
2006-10,1.0,51.1,40.6,62.2,5.01,4.25,,,,,,,,,,,,,,,,,
2006-11,0.0,44.1,35.3,53.6,3.25,1.53,,,,,,,,,,,,,,,,,
2006-12,0.0,37.3,28.7,43.6,4.83,2.59,,,,,,,,,,,,,,,,,
2007-01,0.0,32.2,25.2,37.9,4.75,2.66,,,,,,,,,,,,,,,,,
2007-02,0.0,20.2,11.7,29.9,2.43,0.39,,,,,,,,,,,,,,,,,
2007-03,0.0,47.0,36.1,58.5,3.54,-0.82,,,,,,,,,,,,,,,,,
2007-04,0.0,49.4,38.4,61.6,4.15,0.67,,,,,,,,,,,,,,,,,
2007-05,0.0,66.2,53.3,79.4,1.75,-3.36,,,,,,,,,,,,,,,,,
2007-06,0.0,72.1,60.2,83.9,3.28,-1.58,,,,,,,,,,,,,,,,,
2007-07,0.0,71.9,60.2,84.4,3.17,-1.1,,,,,,,,,,,,,,,,,
2007-08,5.0,76.8,65.1,89.4,4.55,0.26,,,,,,,,,,,,,,,,,
2007-09,8.0,69.0,55.8,83.1,2.53,-1.63,,,,,,,,,,,,,,,,,
2007-10,1.0,60.2,49.1,71.3,3.81,-0.27,,,,,,,,,,,,,,,,,
2007-11,0.0,41.9,32.2,52.3,2.77,-1.45,,,,,,,,,,,,,,,,,
2007-12,0.0,32.5,25.7,37.4,5.06,2.09,,,,,,,,,,,,,,,,,
2008-01,0.0,27.7,18.6,36.6,3.23,0.95,,,,,,,,,,,,,,,,,
