year,month,Value
1990,1,0.3
1990,2,0.72
1990,3,1.18
1990,4,-0.13
1990,5,2.92
1990,6,-0.92
1990,7,0.83
1990,8,0.4
1990,9,-1.62
1990,10,-1.36
1990,11,-0.35
1990,12,-0.68
1991,1,-0.7
1991,2,-2.51
1991,3,-1.62
1991,4,-0.22
1991,5,-1.12
1991,6,-2.5
1991,7,-2.32
1991,8,-1.49
1991,9,-2.04
1991,10,-1.28
1991,11,1.58
1991,12,1.38
1992,1,0.54
1992,2,-0.39
1992,3,0.34
1992,4,-1.48
1992,5,-1.7
1992,6,2.41
1992,7,4.64
1992,8,2.95
1992,9,0.19
1992,10,0.7
1992,11,4.29
1992,12,2.83
1993,1,2.65
1993,2,3.19
1993,3,1.56
1993,4,0.47
1993,5,3.63
1993,6,1.09
1993,7,7.7
1993,8,3.34
1993,9,2.7
1993,10,0.28
1993,11,1.01
1993,12,0.81
1994,1,0.96
1994,2,0.93
1994,3,-1.62
1994,4,3.37
1994,5,-2.61
1994,6,-1.42
1994,7,1.84
1994,8,-0.56
1994,9,-1.76
1994,10,0.14
1994,11,1.2
1994,12,0.07
1995,1,0.44
1995,2,-1.25
1995,3,0.3
1995,4,1.14
1995,5,7.84
1995,6,1.83
1995,7,1.32
1995,8,0.62
1995,9,-0.04
1995,10,-2.04
1995,11,-1.53
1995,12,-0.6
1996,1,-0.86
1996,2,-1.82
1996,3,-0.87
1996,4,-1.55
1996,5,0.38
1996,6,-0.33
1996,7,0.96
1996,8,3.23
1996,9,2.53
1996,10,-0.04
1996,11,2.86
1996,12,-0.54
1997,1,-0.29
1997,2,2.95
1997,3,-1.51
1997,4,1.53
1997,5,0.41
1997,6,0.98
1997,7,1.23
1997,8,3.16
1997,9,0.46
1997,10,2.0
1997,11,0.16
1997,12,2.91
1998,1,0.77
1998,2,0.83
1998,3,3.08
1998,4,0.35
1998,5,-2.48
1998,6,-1.04
1998,7,3.16
1998,8,-0.97
1998,9,-0.38
1998,10,2.78
1998,11,4.22
1998,12,0.32
1999,1,2.18
1999,2,-0.39
1999,3,0.63
1999,4,4.2
1999,5,1.41
1999,6,2.25
1999,7,0.59
1999,8,0.82
1999,9,1.15
1999,10,-1.64
1999,11,-1.62
1999,12,0.23
2000,1,-0.74
2000,2,0.63
2000,3,2.71
2000,4,-1.25
2000,5,-1.6
2000,6,0.65
2000,7,1.0
2000,8,-3.52
2000,9,-2.88
2000,10,2.06
2000,11,0.27
2000,12,-0.65
2001,1,1.06
2001,2,3.23
2001,3,0.26
2001,4,-1.29
2001,5,1.96
2001,6,0.45
2001,7,1.18
2001,8,-0.69
2001,9,0.98
2001,10,-1.12
2001,11,-1.93
2001,12,-1.71
2002,1,0.03
2002,2,-1.34
2002,3,-1.99
2002,4,-0.72
2002,5,-0.46
2002,6,-2.38
2002,7,-3.01
2002,8,-1.05
2002,9,-2.29
2002,10,3.67
2002,11,-1.36
