,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-02,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-03,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-04,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-05,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-06,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-07,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-08,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-09,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-10,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-11,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2010-12,366033.0,422284.0,445931.0,156762.0,349508.0,404426.0,453330.0,211055.0
2011-01,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-02,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-03,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-04,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-05,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-06,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-07,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-08,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-09,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-10,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-11,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2011-12,367923.0,426295.0,449737.0,159237.0,350662.0,408383.0,455941.0,212807.0
2012-01,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-02,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-03,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-04,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-05,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-06,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-07,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-08,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-09,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-10,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-11,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2012-12,369483.0,429085.0,453176.0,163137.0,352271.0,409488.0,459412.0,215131.0
2013-01,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-02,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-03,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-04,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-05,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-06,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-07,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-08,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-09,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-10,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-11,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2013-12,370778.0,433171.0,453450.0,167650.0,353984.0,411834.0,458638.0,218602.0
2014-01,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-02,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-03,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-04,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-05,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-06,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-07,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-08,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-09,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-10,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-11,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2014-12,370669.0,437037.0,453266.0,172271.0,354302.0,414356.0,458257.0,222788.0
2015-01,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-02,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-03,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-04,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-05,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-06,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-07,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-08,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-09,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-10,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-11,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2015-12,369782.0,442272.0,450579.0,177229.0,353735.0,416004.0,456320.0,227066.0
2016-01,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-02,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-03,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-04,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-05,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-06,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-07,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-08,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-09,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-10,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-11,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2016-12,368999.0,441357.0,448112.0,183444.0,352348.0,416827.0,455122.0,232083.0
2017-01,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-02,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-03,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-04,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-05,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-06,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-07,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-08,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-09,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-10,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-11,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2017-12,367079.0,444935.0,445065.0,188901.0,351195.0,416960.0,452313.0,237372.0
2018-01,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-02,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-03,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-04,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-05,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-06,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-07,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-08,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-09,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-10,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-11,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2018-12,366056.0,445666.0,442664.0,195027.0,349489.0,416629.0,450495.0,242750.0
2019-01,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-02,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-03,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-04,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-05,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-06,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
2019-07,363937.0,446614.0,439350.0,200796.0,347133.0,419343.0,444948.0,248531.0
