,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,29.8,22.1,36.9,3.52,-0.32,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,30.6,22.8,38.8,2.25,-1.28,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,46.5,35.9,55.5,2.69,-2.25,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,59.9,45.8,71.0,3.19,-1.73,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,67.3,56.5,73.9,8.21,3.42,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,77.0,66.2,89.1,4.25,-0.44,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,78.4,67.6,90.9,4.58,-0.3,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,0.0,78.3,66.6,93.0,3.44,-0.96,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,2.0,70.0,56.0,84.5,1.81,-2.11,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,58.2,43.2,74.3,1.69,-1.88,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,2.0,0.0,0.0,0.6666666666666666,2.0,0.0,-0.8660254037844386,0.5
2010-11,0.0,47.1,34.6,56.8,4.9,0.01,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,2.0,0.0,0.6666666666666666,-2.0,2.0,-0.5000000000000004,0.8660254037844384
2010-12,0.0,29.0,21.8,44.0,3.01,-0.92,524415.0,633905.0,710220.0,236943.0,495498.0,623847.0,737909.0,323091.0,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,-2.0,-2.4492935982947064e-16,1.0
2011-01,0.0,30.2,22.0,39.4,2.16,-1.56,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2011-02,0.0,39.1,28.6,43.4,4.88,1.12,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2011-03,0.0,47.9,37.9,56.2,5.51,0.55,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2011-04,0.0,58.8,46.9,69.1,12.07,8.66,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2011-05,0.0,64.2,53.7,75.8,6.75,2.42,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2011-06,0.0,74.2,63.1,90.6,5.36,1.27,524086.0,636325.0,716833.0,242857.0,497302.0,625054.0,745584.0,327999.0,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
