year,month,Value
1990,1,3.99
1990,2,1.35
1990,3,0.91
1990,4,-0.88
1990,5,0.45
1990,6,-0.7
1990,7,-2.21
1990,8,-2.74
1990,9,-1.28
1990,10,-0.48
1990,11,-0.72
1990,12,0.14
1991,1,4.69
1991,2,0.77
1991,3,-0.83
1991,4,6.03
1991,5,5.03
1991,6,0.87
1991,7,0.42
1991,8,1.54
1991,9,0.5
1991,10,0.86
1991,11,-0.33
1991,12,-0.23
1992,1,2.85
1992,2,1.43
1992,3,0.27
1992,4,-0.36
1992,5,-1.32
1992,6,2.64
1992,7,0.07
1992,8,2.51
1992,9,0.82
1992,10,-0.34
1992,11,3.39
1992,12,-0.24
1993,1,1.77
1993,2,-1.46
1993,3,1.22
1993,4,2.57
1993,5,-0.01
1993,6,2.2
1993,7,-1.23
1993,8,-1.72
1993,9,-1.78
1993,10,1.08
1993,11,0.74
1993,12,-1.42
1994,1,0.97
1994,2,-0.84
1994,3,-0.67
1994,4,-0.11
1994,5,1.44
1994,6,0.56
1994,7,1.78
1994,8,0.23
1994,9,-0.39
1994,10,3.11
1994,11,-1.52
1994,12,-0.57
1995,1,0.8
1995,2,-1.74
1995,3,3.25
1995,4,2.87
1995,5,0.83
1995,6,-1.3
1995,7,0.34
1995,8,-0.97
1995,9,-1.88
1995,10,-0.28
1995,11,0.12
1995,12,0.53
1996,1,-0.97
1996,2,-2.88
1996,3,-1.18
1996,4,0.55
1996,5,-2.96
1996,6,0.86
1996,7,-0.37
1996,8,1.85
1996,9,1.84
1996,10,1.84
1996,11,-0.24
1996,12,-0.92
1997,1,0.32
1997,2,3.36
1997,3,-0.89
1997,4,2.85
1997,5,1.17
1997,6,1.06
1997,7,-0.63
1997,8,-0.87
1997,9,-1.9
1997,10,0.53
1997,11,0.84
1997,12,0.55
1998,1,5.65
1998,2,1.17
1998,3,0.26
1998,4,-0.43
1998,5,-4.51
1998,6,-3.34
1998,7,-3.25
1998,8,-1.16
1998,9,5.03
1998,10,-0.12
1998,11,0.55
1998,12,0.02
1999,1,2.55
