year,month,Value
1990,1,4.66
1990,2,3.86
1990,3,2.57
1990,4,4.57
1990,5,7.12
1990,6,1.99
1990,7,3.57
1990,8,7.37
1990,9,1.91
1990,10,6.93
1990,11,2.58
1990,12,4.88
1991,1,3.07
1991,2,1.99
1991,3,4.76
1991,4,3.51
1991,5,3.84
1991,6,2.48
1991,7,2.63
1991,8,7.33
1991,9,6.79
1991,10,3.62
1991,11,4.92
1991,12,3.29
1992,1,2.73
1992,2,2.14
1992,3,3.89
1992,4,2.9
1992,5,1.86
1992,6,5.25
1992,7,3.65
1992,8,5.65
1992,9,3.34
1992,10,2.37
1992,11,4.98
1992,12,6.03
1993,1,2.45
1993,2,3.54
1993,3,6.59
1993,4,5.04
1993,5,1.18
1993,6,2.28
1993,7,2.68
1993,8,2.04
1993,9,4.95
1993,10,3.87
1993,11,4.28
1993,12,5.55
1994,1,5.17
1994,2,2.51
1994,3,6.38
1994,4,2.86
1994,5,4.43
1994,6,2.58
1994,7,3.66
1994,8,5.55
1994,9,4.5
1994,10,0.94
1994,11,4.15
1994,12,5.08
1995,1,3.75
1995,2,2.74
1995,3,2.49
1995,4,2.31
1995,5,2.69
1995,6,2.45
1995,7,3.12
1995,8,2.12
1995,9,3.13
1995,10,8.4
1995,11,5.81
1995,12,2.48
1996,1,6.6
1996,2,3.06
1996,3,2.95
1996,4,6.83
1996,5,4.02
1996,6,2.96
1996,7,6.46
1996,8,2.48
1996,9,7.5
1996,10,7.69
1996,11,3.1
1996,12,6.96
1997,1,3.41
1997,2,2.08
1997,3,4.37
1997,4,5.15
1997,5,3.43
1997,6,1.35
1997,7,3.23
1997,8,4.63
1997,9,1.75
1997,10,2.08
1997,11,6.47
1997,12,3.17
1998,1,5.81
1998,2,4.48
1998,3,5.09
1998,4,3.67
1998,5,4.96
1998,6,9.21
1998,7,2.88
1998,8,2.82
1998,9,2.34
1998,10,4.99
1998,11,2.33
1998,12,1.58
1999,1,6.4
1999,2,3.59
1999,3,4.89
1999,4,1.12
1999,5,3.91
1999,6,1.44
1999,7,2.92
1999,8,2.9
1999,9,9.03
1999,10,4.58
1999,11,2.98
1999,12,2.28
2000,1,3.52
2000,2,3.37
2000,3,4.42
2000,4,5.87
2000,5,3.94
2000,6,6.2
2000,7,5.37
2000,8,3.63
2000,9,3.57
2000,10,2.47
2000,11,3.53
2000,12,4.3
2001,1,2.2
2001,2,2.78
2001,3,8.75
2001,4,1.75
2001,5,3.06
2001,6,5.89
2001,7,3.29
2001,8,3.36
2001,9,3.54
2001,10,1.1
2001,11,1.22
2001,12,3.04
2002,1,2.63
2002,2,2.25
2002,3,4.24
2002,4,3.77
2002,5,5.43
2002,6,4.59
2002,7,1.98
2002,8,2.85
2002,9,4.19
2002,10,4.16
2002,11,5.88
2002,12,5.26
2003,1,2.83
2003,2,4.05
2003,3,4.42
2003,4,4.09
2003,5,4.17
2003,6,5.52
2003,7,2.67
2003,8,5.75
2003,9,5.34
2003,10,5.7
2003,11,3.03
2003,12,5.72
2004,1,1.52
2004,2,1.77
2004,3,2.47
2004,4,7.32
2004,5,3.8
2004,6,2.21
2004,7,3.94
2004,8,5.6
2004,9,7.42
2004,10,2.19
2004,11,3.78
2004,12,4.48
2005,1,5.02
2005,2,2.74
2005,3,4.97
2005,4,4.86
2005,5,4.62
2005,6,2.46
2005,7,3.38
2005,8,3.21
2005,9,2.74
2005,10,14.03
2005,11,5.08
2005,12,3.9
2006,1,5.61
2006,2,2.41
2006,3,0.66
2006,4,2.95
2006,5,8.37
2006,6,9.49
2006,7,3.41
2006,8,4.34
2006,9,2.84
2006,10,5.75
2006,11,5.54
2006,12,2.33
2007,1,3.35
2007,2,2.15
2007,3,5.16
2007,4,7.6
2007,5,3.29
2007,6,3.07
2007,7,4.59
2007,8,1.43
2007,9,2.54
2007,10,3.61
2007,11,3.63
2007,12,5.07
2008,1,2.57
2008,2,8.5
2008,3,5.52
2008,4,3.91
2008,5,2.21
2008,6,4.46
2008,7,6.81
2008,8,3.76
2008,9,8.24
2008,10,2.84
2008,11,3.81
2008,12,7.07
2009,1,3.8
2009,2,1.79
2009,3,3.02
2009,4,4.16
2009,5,3.83
2009,6,5.6
2009,7,8.58
2009,8,4.72
2009,9,2.11
2009,10,5.98
2009,11,3.25
2009,12,4.87
2010,1,3.35
2010,2,4.45
2010,3,10.53
2010,4,1.6
2010,5,2.74
2010,6,3.35
2010,7,2.95
2010,8,3.86
2010,9,2.43
2010,10,6.49
2010,11,3.82
2010,12,4.06
2011,1,3.55
2011,2,4.18
2011,3,3.89
2011,4,5.36
2011,5,3.67
2011,6,5.45
2011,7,2.51
2011,8,9.49
2011,9,7.26
2011,10,7.26
2011,11,3.76
2011,12,4.45
2012,1,3.22
2012,2,1.08
2012,3,1.66
2012,4,2.9
2012,5,4.79
2012,6,4.07
2012,7,2.67
2012,8,4.8
2012,9,5.34
2012,10,4.66
2012,11,1.14
2012,12,5.45
2013,1,1.92
