,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,23.5,13.6,42.0,3.52,-0.17,,,,,,,,,,,,,,,,,
2000-02,0.0,30.1,20.8,49.3,3.37,0.2,,,,,,,,,,,,,,,,,
2000-03,0.0,40.6,29.9,60.0,4.42,-0.04,,,,,,,,,,,,,,,,,
2000-04,0.0,45.1,35.9,63.0,5.87,2.33,,,,,,,,,,,,,,,,,
2000-05,0.0,56.4,45.2,76.1,3.94,0.1,,,,,,,,,,,,,,,,,
2000-06,0.0,65.1,54.5,82.4,6.2,2.7,,,,,,,,,,,,,,,,,
2000-07,0.0,67.0,57.0,81.6,5.37,2.81,,,,,,,,,,,,,,,,,
2000-08,0.0,67.0,57.3,81.7,3.63,0.59,,,,,,,,,,,,,,,,,
2000-09,0.0,60.2,49.3,75.7,3.57,0.26,,,,,,,,,,,,,,,,,
2000-10,0.0,50.2,39.3,69.4,2.47,-0.64,,,,,,,,,,,,,,,,,
2000-11,0.0,40.0,32.4,53.3,3.53,-0.4,,,,,,,,,,,,,,,,,
2000-12,0.0,25.0,16.0,37.9,4.3,0.58,,,,,,,,,,,,,,,,,
2001-01,0.0,24.6,14.8,40.7,2.2,-1.63,,,,,,,,,,,,,,,,,
2001-02,0.0,27.8,18.2,48.0,2.78,-0.61,,,,,,,,,,,,,,,,,
2001-03,0.0,32.5,24.8,50.0,8.75,5.72,,,,,,,,,,,,,,,,,
2001-04,0.0,45.9,34.1,66.4,1.75,-2.73,,,,,,,,,,,,,,,,,
2001-05,0.0,57.8,45.6,74.0,3.06,-1.02,,,,,,,,,,,,,,,,,
2001-06,0.0,67.5,56.3,82.8,5.89,2.02,,,,,,,,,,,,,,,,,
2001-07,0.0,67.2,55.7,83.0,3.29,0.26,,,,,,,,,,,,,,,,,
2001-08,0.0,71.7,61.0,85.8,3.36,-0.55,,,,,,,,,,,,,,,,,
2001-09,1.0,61.9,50.4,76.7,3.54,-0.39,,,,,,,,,,,,,,,,,
2001-10,1.0,51.9,39.6,69.2,1.1,-2.93,,,,,,,,,,,,,,,,,
2001-11,1.0,44.4,33.8,63.1,1.22,-4.15,,,,,,,,,,,,,,,,,
2001-12,0.0,35.9,27.2,52.2,3.04,-2.16,,,,,,,,,,,,,,,,,
2002-01,0.0,32.4,24.1,48.4,2.63,-1.18,,,,,,,,,,,,,,,,,
2002-02,0.0,32.4,22.0,51.5,2.25,-1.36,,,,,,,,,,,,,,,,,
2002-03,0.0,37.1,27.2,56.2,4.24,0.16,,,,,,,,,,,,,,,,,
2002-04,0.0,48.5,37.3,68.3,3.77,-0.68,,,,,,,,,,,,,,,,,
2002-05,0.0,54.6,43.3,74.0,5.43,1.92,,,,,,,,,,,,,,,,,
2002-06,0.0,64.0,52.8,84.3,4.59,1.08,,,,,,,,,,,,,,,,,
2002-07,0.0,71.4,60.0,88.6,1.98,-1.83,,,,,,,,,,,,,,,,,
2002-08,7.0,71.4,59.9,88.3,2.85,-1.7,,,,,,,,,,,,,,,,,
2002-09,10.0,64.4,53.5,80.3,4.19,-0.35,,,,,,,,,,,,,,,,,
2002-10,2.0,48.4,38.7,64.6,4.16,0.54,,,,,,,,,,,,,,,,,
2002-11,0.0,39.0,31.0,53.5,5.88,1.82,,,,,,,,,,,,,,,,,
2002-12,0.0,28.5,19.9,42.9,5.26,1.61,,,,,,,,,,,,,,,,,
2003-01,0.0,19.0,10.2,36.2,2.83,-0.93,,,,,,,,,,,,,,,,,
2003-02,0.0,22.8,13.7,38.8,4.05,1.12,,,,,,,,,,,,,,,,,
2003-03,0.0,34.5,22.7,55.5,4.42,0.63,,,,,,,,,,,,,,,,,
