,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-02,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-03,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-04,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-05,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-06,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-07,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-08,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-09,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-10,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-11,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2010-12,6477096.0,3132249.0,3344847.0,5289078.0,422303.0,12584.0,335906.0,2281.0,2512552.0
2011-01,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-02,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-03,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-04,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-05,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-06,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-07,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-08,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-09,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-10,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-11,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2011-12,6512227.0,3150111.0,3362116.0,5294754.0,431907.0,12238.0,345422.0,1711.0,2522409.0
2012-01,6560595.0,3174988.0,3385607.0,5310948.0,446347.0,12908.0,357354.0,1576.0,2525694.0
