,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,4.0723844e-05,0.75384617,0.35914636
2010-02,4.0723844e-05,0.75384617,0.35914636
2010-03,4.0723844e-05,0.75384617,0.35914636
2010-04,4.0723844e-05,0.75384617,0.35914636
2010-05,4.0723844e-05,0.75384617,0.35914636
2010-06,4.0723844e-05,0.75384617,0.35914636
2010-07,0.999937,0.75384617,0.82500005
2010-08,6.9983764,0.75384617,2.4250002
2010-09,6.0001316,0.75384617,1.5125
2010-10,2.9999418,0.75384617,0.90000004
2010-11,4.0723844e-05,0.75384617,0.36666667
2010-12,4.0723844e-05,0.75384617,0.35914636
2011-01,4.0723844e-05,0.60800004,0.35914636
2011-02,4.0723844e-05,0.60800004,0.35914636
2011-03,4.0723844e-05,0.60800004,0.35914636
2011-04,4.0723844e-05,0.60800004,0.35914636
2011-05,4.0723844e-05,0.60800004,0.35914636
2011-06,4.0723844e-05,0.60800004,0.35914636
2011-07,0.999937,0.60800004,0.6125
2011-08,2.9999418,0.60800004,1.2750001
2011-09,6.0001316,0.60800004,1.5125
2011-10,4.0723844e-05,0.60800004,0.38
2011-11,4.0723844e-05,0.60800004,0.36666667
2011-12,4.0723844e-05,0.60800004,0.35914636
2012-01,4.0723844e-05,0.93846154,0.35914636
2012-02,4.0723844e-05,0.93846154,0.35914636
2012-03,4.0723844e-05,0.93846154,0.35914636
2012-04,4.0723844e-05,0.93846154,0.35914636
2012-05,4.0723844e-05,0.93846154,0.35914636
2012-06,4.0723844e-05,0.93846154,0.35914636
2012-07,1.9998671,0.93846154,0.6125
2012-08,11.99985,0.93846154,2.4250002
2012-09,11.000544,0.93846154,3.14
2012-10,4.0723844e-05,0.93846154,0.425
2012-11,4.0723844e-05,0.93846154,0.36666667
2012-12,4.0723844e-05,0.93846154,0.35914636
2013-01,4.0723844e-05,0.60800004,0.35914636
2013-02,4.0723844e-05,0.60800004,0.35914636
2013-03,4.0723844e-05,0.60800004,0.35914636
