,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-02,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-03,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-04,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-05,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-06,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-07,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-08,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-09,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-10,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-11,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2010-12,695122.0,830541.0,943529.0,284866.0,666970.0,851131.0,1031850.0,392414.0
2011-01,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-02,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-03,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-04,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-05,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-06,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-07,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-08,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-09,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-10,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-11,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2011-12,691946.0,835556.0,953913.0,293370.0,663778.0,854253.0,1042481.0,401248.0
2012-01,689011.0,843860.0,962360.0,303644.0,661692.0,861245.0,1051602.0,412082.0
2012-02,689011.0,843860.0,962360.0,303644.0,661692.0,861245.0,1051602.0,412082.0
2012-03,689011.0,843860.0,962360.0,303644.0,661692.0,861245.0,1051602.0,412082.0
2012-04,689011.0,843860.0,962360.0,303644.0,661692.0,861245.0,1051602.0,412082.0
