,fips,state,year,month,count
2000-01,24,MD,2000,1,0
2000-02,24,MD,2000,2,0
2000-03,24,MD,2000,3,0
2000-04,24,MD,2000,4,0
2000-05,24,MD,2000,5,0
2000-06,24,MD,2000,6,0
2000-07,24,MD,2000,7,0
2000-08,24,MD,2000,8,0
2000-09,24,MD,2000,9,0
2000-10,24,MD,2000,10,0
2000-11,24,MD,2000,11,0
2000-12,24,MD,2000,12,0
2001-01,24,MD,2001,1,0
2001-02,24,MD,2001,2,0
2001-03,24,MD,2001,3,0
2001-04,24,MD,2001,4,0
2001-05,24,MD,2001,5,0
2001-06,24,MD,2001,6,0
2001-07,24,MD,2001,7,0
2001-08,24,MD,2001,8,2
2001-09,24,MD,2001,9,4
2001-10,24,MD,2001,10,0
2001-11,24,MD,2001,11,0
2001-12,24,MD,2001,12,0
2002-01,24,MD,2002,1,0
2002-02,24,MD,2002,2,0
2002-03,24,MD,2002,3,0
2002-04,24,MD,2002,4,0
2002-05,24,MD,2002,5,0
2002-06,24,MD,2002,6,0
2002-07,24,MD,2002,7,1
2002-08,24,MD,2002,8,13
2002-09,24,MD,2002,9,7
2002-10,24,MD,2002,10,1
2002-11,24,MD,2002,11,0
2002-12,24,MD,2002,12,0
2003-01,24,MD,2003,1,0
2003-02,24,MD,2003,2,0
2003-03,24,MD,2003,3,0
2003-04,24,MD,2003,4,0
2003-05,24,MD,2003,5,0
2003-06,24,MD,2003,6,0
2003-07,24,MD,2003,7,0
2003-08,24,MD,2003,8,19
2003-09,24,MD,2003,9,27
2003-10,24,MD,2003,10,3
2003-11,24,MD,2003,11,0
2003-12,24,MD,2003,12,0
2004-01,24,MD,2004,1,0
2004-02,24,MD,2004,2,0
2004-03,24,MD,2004,3,0
2004-04,24,MD,2004,4,0
2004-05,24,MD,2004,5,0
2004-06,24,MD,2004,6,0
2004-07,24,MD,2004,7,0
2004-08,24,MD,2004,8,6
2004-09,24,MD,2004,9,2
2004-10,24,MD,2004,10,2
2004-11,24,MD,2004,11,0
2004-12,24,MD,2004,12,0
2005-01,24,MD,2005,1,0
2005-02,24,MD,2005,2,0
2005-03,24,MD,2005,3,0
2005-04,24,MD,2005,4,0
2005-05,24,MD,2005,5,0
2005-06,24,MD,2005,6,0
2005-07,24,MD,2005,7,0
2005-08,24,MD,2005,8,3
2005-09,24,MD,2005,9,1
2005-10,24,MD,2005,10,0
2005-11,24,MD,2005,11,0
2005-12,24,MD,2005,12,0
2006-01,24,MD,2006,1,0
2006-02,24,MD,2006,2,0
2006-03,24,MD,2006,3,0
2006-04,24,MD,2006,4,0
2006-05,24,MD,2006,5,0
2006-06,24,MD,2006,6,0
2006-07,24,MD,2006,7,0
2006-08,24,MD,2006,8,6
2006-09,24,MD,2006,9,4
