year,month,Value
1990,1,29.7
1990,2,27.8
1990,3,39.6
1990,4,48.1
1990,5,56.4
1990,6,70.3
1990,7,72.3
1990,8,71.7
1990,9,66.2
1990,10,50.4
1990,11,41.2
1990,12,19.8
1991,1,13.4
1991,2,29.2
1991,3,39.2
1991,4,51.4
1991,5,64.2
1991,6,73.0
1991,7,73.6
1991,8,71.6
1991,9,62.4
1991,10,49.7
1991,11,28.2
1991,12,27.1
1992,1,27.2
1992,2,32.0
1992,3,39.0
1992,4,46.0
1992,5,60.1
1992,6,67.4
1992,7,68.3
1992,8,65.7
1992,9,60.8
1992,10,50.6
1992,11,33.0
1992,12,24.0
1993,1,17.6
1993,2,18.9
1993,3,31.0
1993,4,45.0
1993,5,59.2
1993,6,66.9
1993,7,71.9
1993,8,71.6
1993,9,57.4
1993,10,49.2
1993,11,33.8
1993,12,25.5
1994,1,10.5
1994,2,17.2
1994,3,38.0
1994,4,49.2
1994,5,60.6
1994,6,70.9
1994,7,70.3
1994,8,68.6
1994,9,64.3
1994,10,53.5
1994,11,39.4
1994,12,27.0
1995,1,18.3
1995,2,25.4
1995,3,37.0
1995,4,44.8
1995,5,56.5
1995,6,69.9
1995,7,73.9
1995,8,76.2
1995,9,60.2
1995,10,50.7
1995,11,30.3
1995,12,23.9
1996,1,15.8
1996,2,23.2
1996,3,29.9
1996,4,45.7
1996,5,56.4
1996,6,69.5
1996,7,70.5
1996,8,70.0
1996,9,60.7
1996,10,51.7
1996,11,29.0
1996,12,19.6
1997,1,14.6
1997,2,25.0
1997,3,37.2
1997,4,44.3
1997,5,54.2
1997,6,70.4
1997,7,73.4
1997,8,69.5
1997,9,64.2
1997,10,52.1
1997,11,32.9
1997,12,27.4
1998,1,23.5
1998,2,34.8
1998,3,32.8
1998,4,49.7
1998,5,65.0
1998,6,67.1
1998,7,73.8
1998,8,72.9
1998,9,68.2
1998,10,53.1
1998,11,40.7
1998,12,29.4
1999,1,17.0
1999,2,32.9
1999,3,36.3
1999,4,50.0
1999,5,60.5
1999,6,68.9
1999,7,76.8
1999,8,70.0
1999,9,61.3
1999,10,50.9
1999,11,44.3
1999,12,27.0
2000,1,21.6
2000,2,32.5
2000,3,43.1
2000,4,49.4
2000,5,62.8
2000,6,67.7
2000,7,72.2
2000,8,72.7
2000,9,64.6
2000,10,54.8
2000,11,32.2
2000,12,10.0
2001,1,20.8
2001,2,18.1
2001,3,30.2
2001,4,52.7
2001,5,60.9
2001,6,68.3
2001,7,75.1
2001,8,72.5
2001,9,61.2
2001,10,50.2
2001,11,48.0
2001,12,30.7
2002,1,28.6
2002,2,29.8
2002,3,31.0
2002,4,48.9
2002,5,56.8
2002,6,72.4
2002,7,76.5
2002,8,70.9
2002,9,65.3
2002,10,46.2
2002,11,34.7
2002,12,28.9
2003,1,19.1
2003,2,20.4
2003,3,35.1
2003,4,50.4
2003,5,57.9
2003,6,67.3
2003,7,73.1
2003,8,74.1
2003,9,61.1
2003,10,52.4
2003,11,35.9
2003,12,28.2
2004,1,17.7
2004,2,22.7
2004,3,40.8
2004,4,51.1
2004,5,60.7
2004,6,67.0
2004,7,70.5
2004,8,66.2
2004,9,66.4
2004,10,51.9
2004,11,40.6
2004,12,26.6
2005,1,18.9
2005,2,31.2
2005,3,36.0
2005,4,53.4
2005,5,57.8
2005,6,72.6
2005,7,74.7
2005,8,71.5
2005,9,67.6
2005,10,52.6
2005,11,39.6
2005,12,19.5
2006,1,32.4
2006,2,25.1
2006,3,36.5
2006,4,53.8
2006,5,60.6
2006,6,70.0
2006,7,75.9
2006,8,72.1
2006,9,60.0
2006,10,47.9
2006,11,39.3
2006,12,31.1
2007,1,21.6
2007,2,15.5
2007,3,41.8
2007,4,46.7
2007,5,64.7
2007,6,70.4
2007,7,73.7
2007,8,74.2
2007,9,64.7
2007,10,55.9
2007,11,37.2
2007,12,20.3
2008,1,16.6
2008,2,17.0
2008,3,32.6
2008,4,46.0
2008,5,57.4
2008,6,69.3
2008,7,73.1
2008,8,69.9
2008,9,63.5
2008,10,50.7
2008,11,37.3
2008,12,17.6
2009,1,13.2
2009,2,26.7
2009,3,37.1
2009,4,47.0
2009,5,59.8
2009,6,68.9
2009,7,68.0
2009,8,68.3
2009,9,63.3
2009,10,44.9
2009,11,43.4
2009,12,19.8
2010,1,13.6
2010,2,17.3
2010,3,38.4
2010,4,55.2
2010,5,59.9
2010,6,70.8
2010,7,74.6
2010,8,74.4
2010,9,63.1
2010,10,53.9
2010,11,38.0
2010,12,19.1
2011,1,14.8
2011,2,22.6
2011,3,35.1
2011,4,47.6
2011,5,59.1
2011,6,69.6
2011,7,78.0
2011,8,72.0
2011,9,60.2
2011,10,53.4
2011,11,39.4
2011,12,29.1
2012,1,26.5
2012,2,29.6
2012,3,51.6
2012,4,52.4
2012,5,65.0
2012,6,71.4
2012,7,79.6
2012,8,71.0
2012,9,62.1
2012,10,48.8
2012,11,39.2
2012,12,27.7
2013,1,22.0
2013,2,24.2
2013,3,29.0
2013,4,43.8
2013,5,59.0
2013,6,68.9
2013,7,72.3
2013,8,71.9
2013,9,67.0
2013,10,50.5
2013,11,33.9
2013,12,17.4
2014,1,14.2
2014,2,13.2
2014,3,29.7
2014,4,47.5
2014,5,60.0
2014,6,70.2
2014,7,68.8
2014,8,71.2
2014,9,62.0
2014,10,51.2
2014,11,29.3
2014,12,28.2
2015,1,21.6
2015,2,14.5
2015,3,37.3
2015,4,51.1
2015,5,60.0
2015,6,69.4
2015,7,72.0
2015,8,68.9
2015,9,68.4
2015,10,53.0
2015,11,42.0
2015,12,33.0
2016,1,19.6
2016,2,28.6
2016,3,42.4
2016,4,50.1
2016,5,59.5
2016,6,73.0
2016,7,72.8
2016,8,72.0
2016,9,67.3
2016,10,55.3
2016,11,45.1
2016,12,22.9
2017,1,24.2
2017,2,34.5
2017,3,37.5
2017,4,51.1
2017,5,58.5
2017,6,71.1
2017,7,74.7
2017,8,67.8
2017,9,66.7
2017,10,53.3
2017,11,36.2
2017,12,24.4
2018,1,17.8
2018,2,20.5
2018,3,35.2
2018,4,39.3
2018,5,67.0
2018,6,73.1
2018,7,73.1
2018,8,71.8
2018,9,65.9
2018,10,48.2
2018,11,30.0
2018,12,28.0
2019,1,18.7
2019,2,15.3
2019,3,31.1
2019,4,49.2
2019,5,56.6
2019,6,69.3
2019,7,75.1
2019,8,69.6
2019,9,68.2
2019,10,47.1
2019,11,32.4
2019,12,29.2
2020,1,23.1
2020,2,24.9
2020,3,40.3
2020,4,46.7
2020,5,57.6
2020,6,72.9
2020,7,75.3
2020,8,71.9
2020,9,61.9
2020,10,46.0
2020,11,42.0
2020,12,27.2
2021,1,23.9
2021,2,12.5
2021,3,42.3
2021,4,49.3
2021,5,59.0
2021,6,73.5
2021,7,73.4
2021,8,72.9
2021,9,66.6
2021,10,55.5
2021,11,39.2
2021,12,31.9
2022,1,14.8
2022,2,21.2
2022,3,37.0
2022,4,43.8
2022,5,61.3
2022,6,71.6
2022,7,74.2
2022,8,72.0
2022,9,65.1
2022,10,50.4
2022,11,37.1
2022,12,21.3
