,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-02,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-03,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-04,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-05,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-06,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-07,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-08,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-09,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-10,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-11,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2010-12,1239556.0,1408409.0,1674152.0,562321.0,1181418.0,1400535.0,1731625.0,754671.0
2011-01,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-02,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-03,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-04,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-05,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-06,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-07,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-08,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-09,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-10,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-11,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2011-12,1217610.0,1395751.0,1678453.0,575815.0,1160542.0,1387398.0,1739345.0,765707.0
2012-01,1196994.0,1387144.0,1678766.0,592457.0,1141418.0,1376589.0,1744128.0,779768.0
