year,month,Value
1990,1,-2.41
1990,2,-2.04
1990,3,-0.14
1990,4,0.88
1990,5,-0.48
1990,6,2.99
1990,7,0.79
1990,8,-0.86
1990,9,-1.92
1990,10,0.9
1990,11,-1.67
1990,12,-0.21
1991,1,-0.76
1991,2,0.24
1991,3,1.16
1991,4,1.91
1991,5,1.55
1991,6,0.58
1991,7,2.28
1991,8,-1.61
1991,9,3.57
1991,10,0.46
1991,11,3.96
1991,12,0.53
1992,1,0.52
1992,2,0.52
1992,3,0.51
1992,4,0.24
1992,5,-2.41
1992,6,-0.02
1992,7,2.15
1992,8,2.29
1992,9,0.92
1992,10,-0.36
1992,11,1.58
1992,12,1.43
1993,1,1.24
1993,2,-0.34
1993,3,-0.23
1993,4,0.92
1993,5,2.48
1993,6,3.76
1993,7,5.63
1993,8,3.12
1993,9,0.66
1993,10,-0.2
1993,11,2.14
1993,12,0.72
1994,1,1.24
1994,2,0.32
1994,3,-0.97
1994,4,2.21
1994,5,-2.5
1994,6,0.81
1994,7,1.96
1994,8,0.87
1994,9,0.79
1994,10,1.45
1994,11,1.12
1994,12,-0.14
1995,1,0.52
1995,2,0.18
1995,3,2.38
1995,4,0.77
1995,5,0.07
1995,6,-3.59
1995,7,3.16
1995,8,1.49
1995,9,0.7
1995,10,3.53
1995,11,1.07
1995,12,1.27
1996,1,2.85
1996,2,0.69
1996,3,-0.27
1996,4,-0.87
1996,5,0.53
1996,6,-0.65
1996,7,0.59
1996,8,-1.53
1996,9,-0.23
1996,10,2.23
1996,11,4.29
1996,12,1.99
1997,1,2.71
1997,2,-0.34
1997,3,0.58
1997,4,-0.56
1997,5,-0.53
1997,6,-0.28
1997,7,3.14
1997,8,-0.14
1997,9,-0.64
1997,10,0.86
1997,11,-0.09
1997,12,-0.82
1998,1,0.79
1998,2,1.58
1998,3,1.3
1998,4,-2.03
1998,5,-0.04
1998,6,2.55
1998,7,-0.09
1998,8,-0.91
1998,9,-2.65
1998,10,3.21
1998,11,1.38
1998,12,0.37
1999,1,1.68
1999,2,0.0
1999,3,0.35
1999,4,0.73
1999,5,2.8
1999,6,0.48
1999,7,3.64
1999,8,1.71
1999,9,1.84
1999,10,-0.12
1999,11,-1.48
1999,12,-0.49
2000,1,0.28
2000,2,1.46
2000,3,-0.66
2000,4,-1.3
2000,5,0.56
2000,6,2.16
2000,7,1.02
2000,8,0.19
2000,9,-1.71
2000,10,-0.34
2000,11,4.1
2000,12,1.13
2001,1,0.94
2001,2,2.13
2001,3,-1.15
2001,4,5.62
2001,5,1.3
2001,6,-0.32
2001,7,-0.1
2001,8,-1.39
2001,9,-1.07
2001,10,-0.05
2001,11,-0.21
2001,12,-0.83
2002,1,-1.48
2002,2,-0.62
