,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-02,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-03,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-04,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-05,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-06,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-07,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-08,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-09,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-10,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-11,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2010-12,-0.8837005558956792,-1.326148054308212,-2.0383941551661104,-1.5390151405673465,-0.43755357563777875,-1.409420470676658,-1.9307019641244454,-1.5272044944819674
2011-01,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-02,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-03,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-04,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-05,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-06,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-07,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-08,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-09,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-10,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
2011-11,-0.9064133241085229,-1.2574253591981528,-1.0377412625778497,-1.3458753117801203,-0.9787082973864405,-1.2738550808922644,-0.7204201190303441,-1.3395243540628574
