year,month,Value
1990,1,39.3
1990,2,39.7
1990,3,46.9
1990,4,53.6
1990,5,60.7
1990,6,73.9
1990,7,76.5
1990,8,75.0
1990,9,71.1
1990,10,54.9
1990,11,50.1
1990,12,32.7
1991,1,26.5
1991,2,39.9
1991,3,48.2
1991,4,57.8
1991,5,69.1
1991,6,75.4
1991,7,78.1
1991,8,76.3
1991,9,67.6
1991,10,57.6
1991,11,39.0
1991,12,37.3
1992,1,35.4
1992,2,41.1
1992,3,47.0
1992,4,54.8
1992,5,62.3
1992,6,69.9
1992,7,75.6
1992,8,69.9
1992,9,65.9
1992,10,56.1
1992,11,42.0
1992,12,34.2
1993,1,29.6
1993,2,30.7
1993,3,40.6
1993,4,51.2
1993,5,63.4
1993,6,72.0
1993,7,78.4
1993,8,77.4
1993,9,63.3
1993,10,53.5
1993,11,40.4
1993,12,35.2
1994,1,26.2
1994,2,32.5
1994,3,45.6
1994,4,55.5
1994,5,62.3
1994,6,75.1
1994,7,75.2
1994,8,73.7
1994,9,65.8
1994,10,58.0
1994,11,48.1
1994,12,38.2
1995,1,29.4
1995,2,36.0
1995,3,46.2
1995,4,53.6
1995,5,60.9
1995,6,71.6
1995,7,77.1
1995,8,79.9
1995,9,64.8
1995,10,57.4
1995,11,40.5
1995,12,32.8
1996,1,27.7
1996,2,35.4
1996,3,38.2
1996,4,52.3
1996,5,65.7
1996,6,72.8
1996,7,74.9
1996,8,74.8
1996,9,64.8
1996,10,56.6
1996,11,38.1
1996,12,34.0
1997,1,26.4
1997,2,37.4
1997,3,47.0
1997,4,50.0
1997,5,59.8
1997,6,71.5
1997,7,77.7
1997,8,73.8
1997,9,68.4
1997,10,56.9
1997,11,41.2
1997,12,34.1
1998,1,35.3
1998,2,41.2
1998,3,41.1
1998,4,54.0
1998,5,69.2
1998,6,73.6
1998,7,78.0
1998,8,76.8
1998,9,73.4
1998,10,58.6
1998,11,48.4
1998,12,36.4
1999,1,30.6
1999,2,42.4
1999,3,42.3
1999,4,56.9
1999,5,63.8
1999,6,72.6
1999,7,80.0
