year,month,Value
1990,1,2.79
1990,2,4.41
1990,3,5.06
1990,4,3.67
1990,5,8.99
1990,6,4.89
1990,7,3.92
1990,8,2.97
1990,9,2.35
1990,10,3.62
1990,11,3.13
1990,12,4.65
1991,1,2.02
1991,2,0.71
1991,3,2.76
1991,4,5.38
1991,5,5.26
1991,6,2.21
1991,7,3.4
1991,8,2.26
1991,9,3.71
1991,10,4.28
1991,11,4.29
1991,12,2.84
1992,1,0.98
1992,2,2.07
1992,3,2.91
1992,4,3.53
1992,5,2.43
1992,6,2.93
1992,7,7.13
1992,8,2.37
1992,9,4.78
1992,10,1.44
1992,11,7.72
1992,12,3.46
1993,1,3.26
1993,2,1.97
1993,3,2.69
1993,4,4.36
1993,5,4.97
1993,6,6.35
1993,7,8.92
1993,8,4.25
1993,9,11.31
1993,10,2.33
1993,11,4.41
1993,12,1.79
1994,1,1.54
1994,2,2.11
1994,3,2.04
1994,4,9.41
1994,5,2.48
1994,6,3.73
1994,7,3.08
1994,8,3.67
1994,9,2.48
1994,10,3.17
1994,11,6.43
1994,12,1.94
1995,1,3.13
1995,2,1.43
1995,3,1.93
1995,4,5.14
1995,5,9.78
1995,6,5.4
1995,7,3.89
1995,8,3.49
1995,9,2.33
1995,10,1.81
1995,11,1.67
1995,12,2.05
1996,1,2.48
1996,2,0.55
1996,3,2.78
1996,4,4.5
1996,5,6.82
1996,6,3.94
1996,7,4.8
1996,8,2.85
1996,9,5.73
1996,10,2.94
1996,11,5.15
1996,12,1.14
1997,1,1.86
1997,2,4.26
1997,3,3.03
1997,4,3.74
1997,5,5.06
1997,6,4.02
1997,7,2.21
1997,8,4.13
1997,9,3.21
1997,10,3.42
1997,11,2.39
1997,12,2.48
1998,1,2.49
1998,2,2.96
1998,3,5.83
1998,4,4.09
1998,5,3.2
1998,6,7.27
1998,7,6.44
1998,8,2.38
1998,9,4.65
1998,10,5.66
1998,11,3.21
1998,12,1.69
1999,1,3.28
1999,2,2.27
1999,3,2.75
1999,4,6.01
1999,5,4.65
1999,6,4.78
1999,7,1.93
1999,8,2.2
1999,9,2.56
1999,10,1.53
1999,11,1.14
1999,12,3.75
2000,1,1.37
2000,2,2.74
2000,3,2.55
2000,4,1.23
2000,5,4.16
2000,6,6.94
2000,7,4.05
2000,8,2.69
2000,9,2.83
2000,10,2.81
2000,11,2.88
2000,12,1.45
2001,1,1.98
2001,2,4.39
2001,3,1.71
2001,4,2.97
2001,5,5.5
2001,6,5.91
2001,7,4.87
2001,8,2.98
2001,9,3.48
2001,10,4.36
2001,11,2.55
2001,12,2.91
2002,1,2.64
2002,2,1.42
2002,3,3.51
2002,4,4.6
2002,5,9.6
2002,6,2.95
2002,7,3.11
2002,8,3.74
2002,9,1.94
2002,10,3.54
2002,11,0.84
2002,12,2.32
2003,1,0.59
2003,2,2.46
2003,3,2.3
2003,4,4.04
2003,5,4.9
2003,6,4.72
2003,7,2.47
2003,8,3.74
2003,9,5.19
2003,10,2.24
2003,11,4.08
2003,12,3.3
2004,1,2.16
2004,2,0.93
2004,3,4.98
2004,4,3.43
2004,5,5.65
2004,6,3.47
2004,7,5.65
2004,8,5.21
2004,9,1.14
2004,10,4.76
2004,11,5.71
2004,12,1.44
2005,1,4.94
2005,2,2.37
2005,3,1.62
2005,4,3.35
2005,5,2.16
2005,6,3.9
2005,7,2.92
2005,8,5.54
2005,9,3.94
2005,10,1.71
2005,11,3.13
2005,12,0.83
2006,1,2.09
2006,2,0.53
2006,3,3.84
2006,4,3.74
2006,5,3.62
2006,6,3.12
2006,7,3.56
2006,8,4.46
2006,9,2.84
2006,10,3.71
2006,11,3.5
2006,12,3.0
2007,1,2.86
2007,2,2.37
2007,3,2.69
2007,4,3.77
2007,5,5.15
2007,6,5.11
2007,7,2.31
2007,8,3.24
2007,9,3.0
2007,10,3.95
2007,11,1.16
2007,12,3.97
2008,1,1.52
2008,2,4.47
2008,3,6.81
2008,4,6.6
2008,5,5.42
2008,6,6.98
2008,7,6.34
2008,8,2.54
2008,9,8.15
2008,10,2.52
2008,11,1.61
2008,12,3.14
2009,1,0.89
2009,2,1.89
2009,3,3.97
2009,4,5.23
2009,5,5.86
2009,6,5.77
2009,7,4.46
2009,8,4.77
2009,9,3.76
2009,10,9.87
2009,11,2.27
2009,12,2.97
2010,1,2.12
2010,2,1.73
2010,3,3.35
2010,4,3.94
2010,5,6.77
2010,6,4.79
2010,7,6.77
2010,8,2.53
2010,9,7.86
2010,10,0.73
2010,11,3.08
2010,12,0.9
2011,1,1.02
2011,2,3.52
2011,3,3.47
2011,4,7.6
2011,5,6.36
2011,6,4.08
2011,7,2.48
2011,8,3.92
2011,9,2.58
2011,10,1.21
2011,11,5.72
2011,12,3.74
2012,1,1.3
2012,2,2.3
2012,3,4.17
2012,4,3.74
2012,5,2.16
2012,6,1.9
2012,7,1.7
2012,8,2.44
2012,9,4.9
2012,10,3.17
2012,11,1.57
2012,12,1.68
2013,1,3.33
2013,2,3.19
2013,3,3.48
2013,4,6.21
2013,5,6.84
2013,6,4.46
2013,7,3.07
2013,8,4.08
2013,9,2.5
2013,10,3.61
2013,11,2.44
2013,12,2.5
2014,1,1.09
2014,2,1.22
2014,3,1.7
2014,4,5.09
2014,5,3.19
2014,6,6.1
2014,7,2.59
2014,8,4.34
2014,9,3.85
2014,10,6.23
2014,11,1.72
2014,12,2.2
2015,1,1.19
2015,2,1.7
2015,3,3.24
2015,4,3.53
2015,5,7.3
2015,6,7.36
