,fips,state,year,month,count
2000-01,29,MO,2000,1,0
2000-02,29,MO,2000,2,0
2000-03,29,MO,2000,3,0
2000-04,29,MO,2000,4,0
2000-05,29,MO,2000,5,0
2000-06,29,MO,2000,6,0
2000-07,29,MO,2000,7,0
2000-08,29,MO,2000,8,0
2000-09,29,MO,2000,9,0
2000-10,29,MO,2000,10,0
2000-11,29,MO,2000,11,0
2000-12,29,MO,2000,12,0
2001-01,29,MO,2001,1,0
2001-02,29,MO,2001,2,0
2001-03,29,MO,2001,3,0
2001-04,29,MO,2001,4,0
2001-05,29,MO,2001,5,0
2001-06,29,MO,2001,6,0
2001-07,29,MO,2001,7,0
2001-08,29,MO,2001,8,0
2001-09,29,MO,2001,9,0
2001-10,29,MO,2001,10,0
2001-11,29,MO,2001,11,0
2001-12,29,MO,2001,12,0
2002-01,29,MO,2002,1,0
2002-02,29,MO,2002,2,0
2002-03,29,MO,2002,3,0
2002-04,29,MO,2002,4,0
2002-05,29,MO,2002,5,0
2002-06,29,MO,2002,6,0
2002-07,29,MO,2002,7,2
2002-08,29,MO,2002,8,83
2002-09,29,MO,2002,9,30
2002-10,29,MO,2002,10,11
2002-11,29,MO,2002,11,0
2002-12,29,MO,2002,12,0
2003-01,29,MO,2003,1,0
2003-02,29,MO,2003,2,0
2003-03,29,MO,2003,3,0
2003-04,29,MO,2003,4,0
2003-05,29,MO,2003,5,0
2003-06,29,MO,2003,6,0
2003-07,29,MO,2003,7,0
2003-08,29,MO,2003,8,13
2003-09,29,MO,2003,9,22
2003-10,29,MO,2003,10,4
2003-11,29,MO,2003,11,0
2003-12,29,MO,2003,12,0
2004-01,29,MO,2004,1,0
2004-02,29,MO,2004,2,0
2004-03,29,MO,2004,3,0
2004-04,29,MO,2004,4,0
2004-05,29,MO,2004,5,0
2004-06,29,MO,2004,6,1
2004-07,29,MO,2004,7,4
2004-08,29,MO,2004,8,15
2004-09,29,MO,2004,9,7
2004-10,29,MO,2004,10,0
2004-11,29,MO,2004,11,0
2004-12,29,MO,2004,12,0
2005-01,29,MO,2005,1,0
2005-02,29,MO,2005,2,0
2005-03,29,MO,2005,3,0
2005-04,29,MO,2005,4,0
2005-05,29,MO,2005,5,0
2005-06,29,MO,2005,6,1
2005-07,29,MO,2005,7,1
2005-08,29,MO,2005,8,6
2005-09,29,MO,2005,9,8
2005-10,29,MO,2005,10,1
2005-11,29,MO,2005,11,0
2005-12,29,MO,2005,12,0
2006-01,29,MO,2006,1,0
2006-02,29,MO,2006,2,0
2006-03,29,MO,2006,3,0
2006-04,29,MO,2006,4,0
2006-05,29,MO,2006,5,0
2006-06,29,MO,2006,6,3
2006-07,29,MO,2006,7,9
2006-08,29,MO,2006,8,32
2006-09,29,MO,2006,9,6
2006-10,29,MO,2006,10,1
2006-11,29,MO,2006,11,0
2006-12,29,MO,2006,12,0
2007-01,29,MO,2007,1,0
2007-02,29,MO,2007,2,0
2007-03,29,MO,2007,3,0
2007-04,29,MO,2007,4,0
2007-05,29,MO,2007,5,0
2007-06,29,MO,2007,6,0
2007-07,29,MO,2007,7,5
2007-08,29,MO,2007,8,29
2007-09,29,MO,2007,9,22
2007-10,29,MO,2007,10,5
2007-11,29,MO,2007,11,0
2007-12,29,MO,2007,12,0
2008-01,29,MO,2008,1,0
2008-02,29,MO,2008,2,0
2008-03,29,MO,2008,3,0
2008-04,29,MO,2008,4,0
2008-05,29,MO,2008,5,0
2008-06,29,MO,2008,6,0
2008-07,29,MO,2008,7,1
2008-08,29,MO,2008,8,4
2008-09,29,MO,2008,9,6
2008-10,29,MO,2008,10,1
2008-11,29,MO,2008,11,0
2008-12,29,MO,2008,12,0
2009-01,29,MO,2009,1,0
2009-02,29,MO,2009,2,0
2009-03,29,MO,2009,3,0
2009-04,29,MO,2009,4,0
2009-05,29,MO,2009,5,0
2009-06,29,MO,2009,6,1
2009-07,29,MO,2009,7,0
2009-08,29,MO,2009,8,2
2009-09,29,MO,2009,9,1
2009-10,29,MO,2009,10,0
2009-11,29,MO,2009,11,0
2009-12,29,MO,2009,12,0
2010-01,29,MO,2010,1,0
2010-02,29,MO,2010,2,0
2010-03,29,MO,2010,3,0
2010-04,29,MO,2010,4,0
2010-05,29,MO,2010,5,0
2010-06,29,MO,2010,6,0
2010-07,29,MO,2010,7,1
2010-08,29,MO,2010,8,1
2010-09,29,MO,2010,9,1
2010-10,29,MO,2010,10,0
2010-11,29,MO,2010,11,0
2010-12,29,MO,2010,12,0
2011-01,29,MO,2011,1,1
2011-02,29,MO,2011,2,0
2011-03,29,MO,2011,3,0
2011-04,29,MO,2011,4,0
2011-05,29,MO,2011,5,0
2011-06,29,MO,2011,6,0
2011-07,29,MO,2011,7,0
2011-08,29,MO,2011,8,2
2011-09,29,MO,2011,9,3
2011-10,29,MO,2011,10,0
2011-11,29,MO,2011,11,0
2011-12,29,MO,2011,12,0
2012-01,29,MO,2012,1,0
2012-02,29,MO,2012,2,0
2012-03,29,MO,2012,3,0
2012-04,29,MO,2012,4,0
2012-05,29,MO,2012,5,0
2012-06,29,MO,2012,6,1
2012-07,29,MO,2012,7,4
2012-08,29,MO,2012,8,7
2012-09,29,MO,2012,9,5
2012-10,29,MO,2012,10,0
2012-11,29,MO,2012,11,0
2012-12,29,MO,2012,12,0
2013-01,29,MO,2013,1,0
2013-02,29,MO,2013,2,0
2013-03,29,MO,2013,3,0
2013-04,29,MO,2013,4,0
2013-05,29,MO,2013,5,0
2013-06,29,MO,2013,6,0
2013-07,29,MO,2013,7,0
2013-08,29,MO,2013,8,2
2013-09,29,MO,2013,9,16
2013-10,29,MO,2013,10,5
2013-11,29,MO,2013,11,1
2013-12,29,MO,2013,12,0
2014-01,29,MO,2014,1,0
2014-02,29,MO,2014,2,0
2014-03,29,MO,2014,3,0
2014-04,29,MO,2014,4,0
2014-05,29,MO,2014,5,1
2014-06,29,MO,2014,6,0
2014-07,29,MO,2014,7,0
2014-08,29,MO,2014,8,3
2014-09,29,MO,2014,9,5
2014-10,29,MO,2014,10,1
2014-11,29,MO,2014,11,0
2014-12,29,MO,2014,12,0
2015-01,29,MO,2015,1,0
2015-02,29,MO,2015,2,0
2015-03,29,MO,2015,3,0
2015-04,29,MO,2015,4,0
2015-05,29,MO,2015,5,0
2015-06,29,MO,2015,6,0
2015-07,29,MO,2015,7,2
2015-08,29,MO,2015,8,12
2015-09,29,MO,2015,9,9
2015-10,29,MO,2015,10,0
2015-11,29,MO,2015,11,0
2015-12,29,MO,2015,12,0
2016-01,29,MO,2016,1,0
2016-02,29,MO,2016,2,0
2016-03,29,MO,2016,3,0
2016-04,29,MO,2016,4,0
2016-05,29,MO,2016,5,0
2016-06,29,MO,2016,6,0
2016-07,29,MO,2016,7,0
2016-08,29,MO,2016,8,3
2016-09,29,MO,2016,9,6
2016-10,29,MO,2016,10,0
2016-11,29,MO,2016,11,0
2016-12,29,MO,2016,12,0
2017-01,29,MO,2017,1,0
2017-02,29,MO,2017,2,0
2017-03,29,MO,2017,3,0
2017-04,29,MO,2017,4,0
2017-05,29,MO,2017,5,0
2017-06,29,MO,2017,6,2
2017-07,29,MO,2017,7,3
2017-08,29,MO,2017,8,7
2017-09,29,MO,2017,9,4
2017-10,29,MO,2017,10,1
2017-11,29,MO,2017,11,0
2017-12,29,MO,2017,12,0
2018-01,29,MO,2018,1,0
2018-02,29,MO,2018,2,0
2018-03,29,MO,2018,3,0
2018-04,29,MO,2018,4,0
2018-05,29,MO,2018,5,0
2018-06,29,MO,2018,6,0
2018-07,29,MO,2018,7,3
2018-08,29,MO,2018,8,8
2018-09,29,MO,2018,9,6
2018-10,29,MO,2018,10,0
2018-11,29,MO,2018,11,0
