year,month,Value
1990,1,2.9
1990,2,3.04
1990,3,-0.22
1990,4,-0.71
1990,5,1.96
1990,6,-0.14
1990,7,-1.66
1990,8,-2.69
1990,9,-1.82
1990,10,-0.54
1990,11,-0.81
1990,12,2.02
1991,1,0.76
1991,2,2.34
1991,3,-0.14
1991,4,6.57
1991,5,4.72
1991,6,0.22
1991,7,-1.22
1991,8,-0.03
1991,9,0.38
1991,10,-0.61
1991,11,-0.56
1991,12,0.96
1992,1,0.03
1992,2,-0.4
1992,3,-1.19
1992,4,-1.33
1992,5,-2.17
1992,6,2.64
1992,7,0.31
1992,8,4.61
1992,9,0.68
1992,10,-0.38
1992,11,2.48
1992,12,-0.43
1993,1,0.95
1993,2,-1.44
1993,3,-0.36
1993,4,0.58
1993,5,0.79
1993,6,0.52
1993,7,-0.87
1993,8,0.25
1993,9,-0.29
1993,10,1.01
1993,11,0.45
1993,12,-0.82
1994,1,1.68
1994,2,-0.06
1994,3,0.35
1994,4,-0.77
1994,5,-0.1
1994,6,2.14
1994,7,3.35
1994,8,-0.11
1994,9,-0.01
1994,10,2.46
1994,11,-0.85
1994,12,-0.72
1995,1,-0.23
1995,2,-1.21
1995,3,0.89
1995,4,1.7
1995,5,0.33
1995,6,-0.56
1995,7,-0.28
1995,8,-0.28
1995,9,-1.75
1995,10,0.78
1995,11,0.52
1995,12,0.65
1996,1,0.64
1996,2,-2.02
1996,3,0.24
1996,4,0.71
1996,5,-2.49
1996,6,0.34
1996,7,-0.38
1996,8,1.01
1996,9,1.12
1996,10,0.43
1996,11,-0.1
1996,12,-0.46
1997,1,1.01
1997,2,1.72
1997,3,-1.12
1997,4,1.91
1997,5,2.49
1997,6,3.63
1997,7,-0.3
1997,8,0.4
1997,9,-0.95
1997,10,1.5
1997,11,0.1
1997,12,-0.12
1998,1,3.1
1998,2,0.65
1998,3,-0.21
1998,4,0.3
1998,5,-2.44
1998,6,-2.76
1998,7,0.06
1998,8,-1.75
1998,9,0.18
1998,10,-1.88
1998,11,-0.98
1998,12,0.27
1999,1,3.34
1999,2,-2.93
1999,3,0.61
1999,4,-1.79
1999,5,-0.7
1999,6,1.07
1999,7,-1.01
1999,8,-2.57
1999,9,-1.14
1999,10,-0.02
1999,11,-2.24
1999,12,-1.67
2000,1,-2.0
2000,2,-3.2
2000,3,-1.22
2000,4,1.43
2000,5,-2.43
2000,6,0.06
2000,7,-3.42
2000,8,-3.4
2000,9,-1.41
2000,10,-2.15
2000,11,3.7
2000,12,-0.65
2001,1,0.72
2001,2,0.22
2001,3,1.71
2001,4,-1.62
2001,5,-1.2
2001,6,2.7
2001,7,0.05
2001,8,2.91
2001,9,2.19
2001,10,3.21
2001,11,1.42
2001,12,0.19
2002,1,0.54
2002,2,-1.36
2002,3,1.09
2002,4,-2.08
2002,5,-0.05
2002,6,-0.52
2002,7,0.16
2002,8,0.31
2002,9,5.56
2002,10,5.1
2002,11,0.16
2002,12,1.32
2003,1,-2.65
2003,2,3.31
2003,3,-2.26
2003,4,-0.11
2003,5,0.74
2003,6,4.18
2003,7,1.68
2003,8,2.33
2003,9,1.24
2003,10,0.03
2003,11,0.3
2003,12,-1.52
2004,1,-0.81
2004,2,3.03
2004,3,-3.11
2004,4,-0.66
2004,5,2.12
2004,6,5.62
2004,7,0.2
2004,8,1.55
2004,9,-1.48
2004,10,1.32
2004,11,2.64
2004,12,0.32
2005,1,-1.61
2005,2,0.03
2005,3,-1.43
2005,4,1.44
2005,5,-0.95
2005,6,-0.39
2005,7,0.83
2005,8,3.19
2005,9,-0.29
2005,10,-2.46
2005,11,-1.5
2005,12,-0.94
2006,1,0.35
2006,2,1.02
2006,3,-2.1
2006,4,-1.81
2006,5,-0.83
2006,6,-2.07
2006,7,-2.59
2006,8,-1.38
2006,9,0.14
2006,10,3.53
2006,11,-0.63
2006,12,0.45
2007,1,-0.34
2007,2,-2.21
2007,3,-5.0
2007,4,-1.39
2007,5,-2.04
2007,6,-1.28
2007,7,1.99
2007,8,-2.11
2007,9,-0.25
2007,10,1.17
2007,11,-1.87
2007,12,-1.57
2008,1,-0.83
2008,2,0.24
2008,3,-1.63
2008,4,0.37
2008,5,1.31
2008,6,-1.42
2008,7,-2.4
2008,8,4.72
2008,9,2.89
2008,10,0.46
2008,11,-0.72
2008,12,2.06
2009,1,-1.25
2009,2,-1.72
2009,3,1.67
2009,4,-1.12
2009,5,3.42
2009,6,-2.54
2009,7,1.41
2009,8,0.04
2009,9,3.9
2009,10,6.91
2009,11,-1.88
2009,12,2.79
2010,1,0.1
2010,2,-0.35
2010,3,-1.54
2010,4,-1.94
2010,5,0.55
2010,6,-1.3
2010,7,-1.49
2010,8,0.08
2010,9,-3.2
2010,10,-1.42
2010,11,0.62
2010,12,-2.9
2011,1,-0.54
2011,2,-2.2
2011,3,0.38
2011,4,0.49
2011,5,-2.15
2011,6,-1.88
2011,7,-0.47
2011,8,-2.65
2011,9,4.22
2011,10,-0.89
2011,11,-0.45
2011,12,0.46
2012,1,-1.14
2012,2,0.22
2012,3,-0.55
2012,4,-1.56
2012,5,-1.74
2012,6,-0.71
2012,7,1.17
2012,8,5.42
2012,9,1.48
2012,10,0.99
2012,11,-1.55
2012,12,1.09
2013,1,2.89
2013,2,1.69
2013,3,-1.29
2013,4,1.26
2013,5,1.63
2013,6,0.19
2013,7,-0.04
2013,8,-0.2
2013,9,1.33
2013,10,-0.63
2013,11,0.74
2013,12,-0.02
2014,1,-2.32
2014,2,0.87
2014,3,-0.05
2014,4,2.86
2014,5,0.54
2014,6,2.9
2014,7,0.31
2014,8,0.86
2014,9,-0.96
2014,10,0.97
2014,11,-0.69
2014,12,0.0
2015,1,-0.38
2015,2,-0.59
2015,3,0.05
2015,4,0.3
2015,5,1.19
2015,6,0.05
2015,7,-0.84
2015,8,-0.88
2015,9,-2.33
2015,10,1.62
2015,11,1.93
2015,12,0.75
2016,1,-1.27
2016,2,0.05
2016,3,3.49
2016,4,0.24
2016,5,-1.68
2016,6,-0.94
2016,7,-0.86
2016,8,1.34
2016,9,-2.44
2016,10,-2.91
2016,11,-1.38
2016,12,-0.75
2017,1,0.72
2017,2,-2.66
2017,3,-2.13
2017,4,-0.12
2017,5,1.92
2017,6,5.47
2017,7,0.36
2017,8,4.26
2017,9,-0.05
2017,10,0.17
2017,11,-2.67
2017,12,-0.5
2018,1,-1.08
2018,2,3.73
2018,3,-0.58
2018,4,1.58
2018,5,-1.61
2018,6,-0.89
2018,7,-1.03
2018,8,0.29
2018,9,2.15
2018,10,-0.49
2018,11,1.8
2018,12,2.27
2019,1,0.7
2019,2,1.77
2019,3,-2.23
2019,4,2.72
2019,5,0.69
2019,6,1.31
2019,7,1.99
2019,8,2.58
2019,9,-3.18
2019,10,6.04
2019,11,-1.03
2019,12,-0.2
2020,1,2.55
2020,2,3.71
2020,3,-0.94
2020,4,1.61
2020,5,-0.58
2020,6,2.36
2020,7,1.3
2020,8,1.93
2020,9,0.46
2020,10,2.17
2020,11,-1.53
2020,12,-0.55
2021,1,-1.28
2021,2,0.2
2021,3,0.89
2021,4,1.55
2021,5,0.48
2021,6,5.46
2021,7,2.61
2021,8,5.16
2021,9,2.19
2021,10,0.6
2021,11,-2.32
2021,12,-2.3
2022,1,-1.11
2022,2,-0.07
2022,3,0.56
2022,4,0.71
2022,5,-0.48
2022,6,-1.6
2022,7,-0.57
2022,8,5.2
2022,9,-1.3
2022,10,-0.49
2022,11,0.75
2022,12,0.34
