year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,28,,0,10.3,36.7,20.8,3.14,-2.0,,,,,,,,,,,,,,,,,
2000,2,2000-02,28,,0,22.8,39.8,33.0,1.88,-3.2,,,,,,,,,,,,,,,,,
2000,3,2000-03,28,,0,36.4,47.3,47.4,5.15,-1.22,,,,,,,,,,,,,,,,,
2000,4,2000-04,28,,0,42.2,49.1,53.9,6.73,1.43,,,,,,,,,,,,,,,,,
2000,5,2000-05,28,,0,56.7,63.2,68.9,2.36,-2.43,,,,,,,,,,,,,,,,,
2000,6,2000-06,28,,0,61.5,66.9,72.6,4.51,0.06,,,,,,,,,,,,,,,,,
2000,7,2000-07,28,,0,68.6,69.5,79.4,1.88,-3.42,,,,,,,,,,,,,,,,,
2000,8,2000-08,28,,0,67.6,69.8,78.8,1.95,-3.4,,,,,,,,,,,,,,,,,
2000,9,2000-09,28,,0,56.6,63.1,69.1,2.67,-1.41,,,,,,,,,,,,,,,,,
2000,10,2000-10,28,,0,48.2,50.3,59.3,0.99,-2.15,,,,,,,,,,,,,,,,,
2000,11,2000-11,28,,0,28.4,41.6,34.7,9.17,3.7,,,,,,,,,,,,,,,,,
2000,12,2000-12,28,,0,2.5,27.9,11.4,4.21,-0.65,,,,,,,,,,,,,,,,,
2001,1,2001-01,28,,0,16.0,30.6,25.1,5.91,0.72,,,,,,,,,,,,,,,,,
2001,2,2001-02,28,,0,6.7,41.3,17.7,5.71,0.22,,,,,,,,,,,,,,,,,
2001,3,2001-03,28,,0,24.2,41.3,34.0,7.71,1.71,,,,,,,,,,,,,,,,,
2001,4,2001-04,28,,0,43.4,55.3,53.4,3.48,-1.62,,,,,,,,,,,,,,,,,
2001,5,2001-05,28,,0,56.6,59.2,68.0,3.29,-1.2,,,,,,,,,,,,,,,,,
2001,6,2001-06,28,,0,65.1,66.2,76.2,6.58,2.7,,,,,,,,,,,,,,,,,
2001,7,2001-07,28,,0,70.4,70.8,81.9,4.5,0.05,,,,,,,,,,,,,,,,,
2001,8,2001-08,28,,0,69.3,69.9,81.4,5.86,2.91,,,,,,,,,,,,,,,,,
2001,9,2001-09,28,,0,57.4,62.3,68.3,5.06,2.19,,,,,,,,,,,,,,,,,
2001,10,2001-10,28,,0,44.5,47.2,54.9,5.61,3.21,,,,,,,,,,,,,,,,,
2001,11,2001-11,28,,0,40.7,44.0,50.2,6.59,1.42,,,,,,,,,,,,,,,,,
2001,12,2001-12,28,,0,22.3,39.6,29.8,5.98,0.19,,,,,,,,,,,,,,,,,
2002,1,2002-01,28,,0,18.1,36.5,27.0,6.06,0.54,,,,,,,,,,,,,,,,,
2002,2,2002-02,28,,0,23.8,33.9,34.3,3.42,-1.36,,,,,,,,,,,,,,,,,
2002,3,2002-03,28,,0,19.5,42.7,29.3,7.3,1.09,,,,,,,,,,,,,,,,,
2002,4,2002-04,28,,0,40.4,55.6,50.9,2.84,-2.08,,,,,,,,,,,,,,,,,
2002,5,2002-05,28,,0,49.8,59.2,62.4,4.66,-0.05,,,,,,,,,,,,,,,,,
2002,6,2002-06,28,,2,67.0,66.8,78.2,3.23,-0.52,,,,,,,,,,,,,,,,,
2002,7,2002-07,28,,50,72.2,70.8,83.3,5.36,0.16,,,,,,,,,,,,,,,,,
2002,8,2002-08,28,,76,66.5,69.7,76.9,4.02,0.31,,,,,,,,,,,,,,,,,
2002,9,2002-09,28,,27,60.5,67.6,71.6,9.69,5.56,,,,,,,,,,,,,,,,,
2002,10,2002-10,28,,5,37.7,58.7,45.6,8.05,5.1,,,,,,,,,,,,,,,,,
2002,11,2002-11,28,,0,27.8,40.5,36.3,4.32,0.16,,,,,,,,,,,,,,,,,
2002,12,2002-12,28,,2,21.2,35.8,29.7,7.13,1.32,,,,,,,,,,,,,,,,,
2003,1,2003-01,28,,0,10.1,29.2,19.2,1.75,-2.65,,,,,,,,,,,,,,,,,
2003,2,2003-02,28,,0,9.9,37.1,21.1,8.83,3.31,,,,,,,,,,,,,,,,,
