,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-02,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-03,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-04,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-05,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-06,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-07,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-08,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-09,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-10,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-11,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2010-12,2941991.0,1427843.0,1514148.0,1761910.0,1088270.0,13610.0,24691.0,636.0,1081052.0
2011-01,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-02,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-03,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-04,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-05,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-06,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-07,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-08,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-09,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-10,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-11,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2011-12,2956700.0,1434572.0,1522128.0,1767875.0,1094596.0,13775.0,25807.0,579.0,1085062.0
2012-01,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-02,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-03,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-04,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-05,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-06,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-07,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-08,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-09,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-10,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-11,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2012-12,2967620.0,1439787.0,1527833.0,1768530.0,1101849.0,13344.0,26403.0,345.0,1087791.0
2013-01,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-02,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-03,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-04,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-05,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-06,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-07,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-08,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-09,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-10,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-11,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2013-12,2976872.0,1445356.0,1531516.0,1769766.0,1106982.0,13030.0,27646.0,274.0,1088073.0
2014-01,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-02,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-03,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-04,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-05,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-06,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-07,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-08,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-09,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-10,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-11,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2014-12,2984345.0,1448840.0,1535505.0,1769693.0,1113652.0,13056.0,28067.0,365.0,1092627.0
2015-01,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-02,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-03,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-04,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-05,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-06,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-07,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-08,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-09,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-10,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-11,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2015-12,2988081.0,1451723.0,1536358.0,1768174.0,1116457.0,12896.0,28900.0,409.0,1096593.0
2016-01,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-02,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-03,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-04,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-05,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-06,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-07,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-08,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-09,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-10,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-11,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2016-12,2989192.0,1450269.0,1538923.0,1764038.0,1121327.0,13072.0,28562.0,492.0,1098803.0
2017-01,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-02,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-03,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-04,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-05,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-06,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-07,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-08,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
2017-09,2986220.0,1448717.0,1537503.0,1755471.0,1122576.0,13258.0,28859.0,597.0,1103514.0
