year,month,Value
1990,1,3.83
1990,2,4.43
1990,3,4.8
1990,4,2.75
1990,5,6.47
1990,6,1.41
1990,7,3.83
1990,8,5.81
1990,9,1.31
1990,10,8.26
1990,11,2.19
1990,12,3.51
1991,1,5.15
1991,2,1.95
1991,3,6.24
1991,4,4.16
1991,5,3.14
1991,6,3.96
1991,7,7.06
1991,8,5.76
1991,9,3.06
1991,10,1.66
1991,11,2.12
1991,12,3.61
1992,1,3.9
1992,2,2.95
1992,3,3.76
1992,4,3.33
1992,5,4.35
1992,6,5.8
1992,7,3.42
1992,8,8.03
1992,9,3.06
1992,10,4.09
1992,11,6.35
1992,12,3.57
1993,1,5.81
1993,2,2.82
1993,3,6.72
1993,4,4.38
1993,5,2.97
1993,6,2.5
1993,7,3.73
1993,8,3.03
1993,9,3.88
1993,10,3.64
1993,11,2.9
1993,12,3.76
1994,1,5.06
1994,2,3.5
1994,3,6.96
1994,4,2.17
1994,5,2.73
1994,6,5.23
1994,7,6.01
1994,8,5.59
1994,9,3.61
1994,10,3.85
1994,11,3.01
1994,12,2.39
1995,1,5.4
1995,2,4.94
1995,3,3.32
1995,4,1.07
1995,5,4.02
1995,6,9.74
1995,7,4.29
1995,8,5.13
1995,9,3.31
1995,10,7.07
1995,11,4.18
1995,12,1.88
1996,1,5.26
1996,2,2.79
1996,3,4.57
1996,4,3.26
1996,5,3.73
1996,6,4.03
1996,7,6.7
1996,8,5.85
1996,9,9.14
1996,10,3.97
1996,11,3.54
1996,12,3.95
1997,1,3.63
1997,2,3.77
1997,3,4.3
1997,4,4.86
1997,5,2.15
1997,6,3.91
1997,7,5.78
1997,8,1.9
1997,9,5.0
1997,10,3.09
1997,11,3.77
1997,12,3.93
1998,1,7.68
1998,2,6.56
1998,3,5.13
1998,4,5.6
1998,5,4.58
1998,6,3.58
1998,7,4.02
1998,8,5.03
1998,9,3.22
1998,10,1.76
1998,11,2.1
1998,12,4.57
1999,1,5.73
1999,2,2.56
1999,3,3.09
1999,4,3.68
1999,5,2.78
1999,6,3.8
1999,7,4.35
1999,8,4.22
1999,9,13.22
1999,10,4.77
1999,11,2.37
1999,12,1.9
2000,1,4.92
2000,2,2.01
2000,3,3.36
2000,4,4.97
2000,5,2.7
2000,6,4.49
2000,7,5.23
2000,8,5.18
2000,9,6.36
2000,10,0.08
2000,11,3.14
2000,12,1.92
2001,1,2.02
2001,2,2.76
2001,3,5.25
2001,4,1.68
2001,5,3.27
2001,6,5.94
2001,7,5.35
2001,8,4.19
2001,9,2.99
2001,10,1.21
2001,11,1.15
2001,12,2.0
2002,1,4.97
2002,2,1.64
2002,3,4.64
2002,4,1.88
2002,5,2.79
2002,6,2.97
2002,7,4.48
2002,8,4.97
2002,9,4.65
2002,10,5.46
2002,11,4.51
2002,12,4.57
2003,1,2.2
2003,2,5.19
2003,3,5.95
2003,4,6.42
2003,5,7.46
2003,6,5.53
2003,7,7.7
2003,8,6.39
2003,9,5.63
2003,10,3.76
2003,11,2.79
2003,12,4.14
2004,1,1.57
2004,2,3.89
2004,3,1.93
2004,4,3.02
2004,5,3.99
2004,6,5.34
2004,7,5.14
2004,8,7.62
2004,9,7.97
2004,10,1.95
2004,11,4.0
2004,12,2.73
2005,1,2.58
2005,2,2.74
2005,3,4.02
2005,4,3.33
2005,5,3.58
2005,6,5.09
2005,7,6.27
2005,8,4.07
2005,9,2.06
2005,10,5.72
2005,11,3.71
2005,12,4.41
2006,1,3.31
2006,2,1.82
2006,3,1.44
2006,4,3.71
2006,5,3.23
2006,6,7.63
2006,7,4.47
2006,8,4.85
2006,9,6.6
2006,10,4.04
2006,11,6.75
2006,12,3.32
2007,1,3.64
2007,2,2.25
2007,3,2.94
2007,4,3.25
2007,5,1.75
2007,6,3.82
2007,7,3.6
2007,8,2.05
2007,9,2.08
2007,10,4.33
2007,11,0.91
2007,12,4.13
2008,1,1.87
2008,2,3.99
2008,3,3.87
2008,4,4.98
2008,5,2.94
2008,6,2.28
2008,7,5.13
2008,8,5.97
2008,9,5.44
2008,10,1.92
2008,11,3.49
2008,12,3.93
2009,1,2.83
2009,2,1.69
2009,3,5.38
2009,4,2.51
2009,5,5.87
2009,6,4.42
2009,7,4.16
2009,8,5.04
2009,9,4.39
2009,10,2.93
2009,11,6.89
2009,12,7.09
2010,1,5.0
2010,2,3.77
2010,3,4.06
2010,4,1.56
2010,5,4.68
2010,6,3.65
2010,7,4.05
2010,8,4.52
2010,9,7.81
2010,10,2.71
2010,11,1.59
2010,12,2.87
2011,1,1.95
2011,2,2.56
2011,3,5.23
2011,4,3.63
2011,5,3.14
2011,6,3.14
2011,7,4.34
2011,8,6.98
2011,9,5.36
2011,10,2.88
2011,11,4.33
2011,12,2.45
2012,1,2.86
2012,2,2.22
2012,3,4.14
2012,4,3.22
2012,5,6.24
2012,6,2.85
2012,7,6.13
2012,8,5.92
2012,9,4.43
2012,10,3.32
2012,11,0.93
2012,12,4.36
2013,1,4.69
2013,2,4.09
2013,3,2.68
2013,4,4.68
2013,5,3.96
2013,6,9.0
2013,7,8.41
2013,8,4.79
2013,9,2.79
2013,10,2.22
2013,11,3.53
2013,12,5.61
2014,1,3.29
2014,2,3.11
2014,3,4.61
2014,4,4.91
2014,5,3.62
2014,6,4.18
2014,7,5.25
2014,8,5.22
2014,9,5.47
2014,10,2.89
2014,11,3.77
2014,12,3.76
2015,1,3.95
2015,2,3.5
2015,3,3.43
2015,4,4.35
2015,5,2.62
2015,6,5.2
2015,7,4.38
2015,8,4.0
2015,9,5.31
2015,10,7.07
2015,11,7.2
2015,12,7.31
2016,1,2.8
2016,2,5.81
2016,3,2.14
2016,4,2.78
2016,5,5.57
2016,6,4.32
2016,7,5.18
2016,8,4.49
2016,9,7.59
2016,10,5.63
2016,11,1.11
2016,12,3.19
2017,1,3.96
2017,2,1.19
2017,3,3.64
2017,4,6.5
2017,5,5.95
2017,6,4.7
2017,7,4.49
2017,8,5.15
2017,9,3.86
2017,10,4.37
2017,11,1.3
2017,12,2.85
2018,1,3.79
2018,2,3.08
2018,3,4.11
2018,4,5.16
2018,5,6.79
2018,6,3.98
2018,7,6.36
2018,8,6.61
2018,9,10.4
2018,10,4.68
2018,11,6.33
2018,12,7.06
2019,1,3.85
2019,2,4.99
2019,3,3.22
2019,4,5.19
2019,5,2.28
2019,6,5.82
2019,7,4.75
2019,8,5.14
2019,9,3.09
2019,10,4.9
2019,11,3.34
2019,12,4.57
2020,1,4.37
2020,2,7.01
2020,3,3.31
2020,4,5.32
2020,5,7.62
2020,6,5.04
2020,7,4.19
2020,8,7.98
2020,9,6.8
2020,10,4.21
2020,11,6.15
2020,12,4.55
2021,1,4.63
2021,2,6.54
2021,3,4.13
2021,4,1.95
2021,5,2.47
2021,6,6.25
2021,7,5.88
2021,8,6.06
2021,9,3.21
2021,10,3.26
2021,11,0.91
2021,12,2.31
2022,1,4.8
2022,2,2.97
2022,3,3.97
2022,4,2.94
2022,5,4.73
2022,6,2.19
2022,7,6.6
2022,8,4.58
2022,9,4.04
2022,10,2.32
2022,11,4.13
2022,12,3.36
