year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,37,,0,38.8,28.4,28.9,4.92,1.43,,,,,,,,,,,,,,,,,
2000,2,2000-02,37,,0,45.6,33.0,35.4,2.01,-2.39,,,,,,,,,,,,,,,,,
2000,3,2000-03,37,,0,53.4,40.4,48.4,3.36,-1.67,,,,,,,,,,,,,,,,,
2000,4,2000-04,37,,0,56.9,45.2,52.2,4.97,2.06,,,,,,,,,,,,,,,,,
2000,5,2000-05,37,,0,69.1,56.4,67.1,2.7,-2.04,,,,,,,,,,,,,,,,,
2000,6,2000-06,37,,0,75.0,64.2,73.7,4.49,-0.29,,,,,,,,,,,,,,,,,
2000,7,2000-07,37,,0,75.4,65.7,75.0,5.23,-0.46,,,,,,,,,,,,,,,,,
2000,8,2000-08,37,,0,75.0,64.9,75.2,5.18,-0.15,,,,,,,,,,,,,,,,,
2000,9,2000-09,37,,0,69.1,59.6,68.9,6.36,2.16,,,,,,,,,,,,,,,,,
2000,10,2000-10,37,,0,59.7,45.3,59.2,0.08,-2.82,,,,,,,,,,,,,,,,,
2000,11,2000-11,37,,0,47.5,35.9,43.7,3.14,-0.15,,,,,,,,,,,,,,,,,
2000,12,2000-12,37,,0,35.1,24.8,27.9,1.92,-1.41,,,,,,,,,,,,,,,,,
2001,1,2001-01,37,,0,39.3,28.0,30.3,2.02,-2.06,,,,,,,,,,,,,,,,,
2001,2,2001-02,37,,0,46.4,34.7,33.7,2.76,-1.55,,,,,,,,,,,,,,,,,
2001,3,2001-03,37,,0,47.2,36.1,36.2,5.25,1.4,,,,,,,,,,,,,,,,,
2001,4,2001-04,37,,0,59.8,46.9,56.1,1.68,-2.61,,,,,,,,,,,,,,,,,
2001,5,2001-05,37,,0,66.3,53.7,69.0,3.27,-1.3,,,,,,,,,,,,,,,,,
2001,6,2001-06,37,,0,74.3,64.2,75.9,5.94,1.75,,,,,,,,,,,,,,,,,
2001,7,2001-07,37,,0,74.6,64.9,77.2,5.35,0.38,,,,,,,,,,,,,,,,,
2001,8,2001-08,37,,0,76.7,66.4,81.8,4.19,-0.84,,,,,,,,,,,,,,,,,
2001,9,2001-09,37,,0,67.6,56.8,70.7,2.99,-0.87,,,,,,,,,,,,,,,,,
2001,10,2001-10,37,,0,57.7,43.4,61.0,1.21,-2.15,,,,,,,,,,,,,,,,,
2001,11,2001-11,37,,0,54.8,40.6,52.6,1.15,-3.48,,,,,,,,,,,,,,,,,
2001,12,2001-12,37,,0,48.0,36.6,41.0,2.0,-3.36,,,,,,,,,,,,,,,,,
2002,1,2002-01,37,,0,42.6,31.0,36.6,4.97,1.21,,,,,,,,,,,,,,,,,
2002,2,2002-02,37,,0,44.4,31.8,39.5,1.64,-2.7,,,,,,,,,,,,,,,,,
2002,3,2002-03,37,,0,51.1,38.7,42.9,4.64,0.19,,,,,,,,,,,,,,,,,
2002,4,2002-04,37,,0,62.5,50.0,56.4,1.88,-2.83,,,,,,,,,,,,,,,,,
2002,5,2002-05,37,,0,65.3,52.9,62.3,2.79,-1.81,,,,,,,,,,,,,,,,,
2002,6,2002-06,37,,0,75.2,63.2,75.4,2.97,-2.3,,,,,,,,,,,,,,,,,
2002,7,2002-07,37,,0,78.7,67.9,81.4,4.48,-2.45,,,,,,,,,,,,,,,,,
2002,8,2002-08,37,,0,77.0,65.9,81.0,4.97,-1.42,,,,,,,,,,,,,,,,,
2002,9,2002-09,37,,2,72.2,63.0,74.9,4.65,-0.65,,,,,,,,,,,,,,,,,
2002,10,2002-10,37,,0,62.1,53.7,54.9,5.46,1.25,,,,,,,,,,,,,,,,,
2002,11,2002-11,37,,0,48.1,37.4,43.0,4.51,1.67,,,,,,,,,,,,,,,,,
2002,12,2002-12,37,,0,40.5,30.4,32.6,4.57,1.44,,,,,,,,,,,,,,,,,
2003,1,2003-01,37,,0,36.4,26.2,23.1,2.2,-1.69,,,,,,,,,,,,,,,,,
2003,2,2003-02,37,,0,41.4,31.7,27.7,5.19,1.69,,,,,,,,,,,,,,,,,
2003,3,2003-03,37,,0,52.8,41.7,43.3,5.95,1.55,,,,,,,,,,,,,,,,,
2003,4,2003-04,37,,0,57.6,46.3,52.0,6.42,3.8,,,,,,,,,,,,,,,,,
2003,5,2003-05,37,,0,65.8,56.1,64.3,7.46,4.34,,,,,,,,,,,,,,,,,
2003,6,2003-06,37,,0,72.5,62.4,72.8,5.53,1.92,,,,,,,,,,,,,,,,,
2003,7,2003-07,37,,2,76.6,67.4,78.6,7.7,2.74,,,,,,,,,,,,,,,,,
2003,8,2003-08,37,,6,77.3,68.4,79.1,6.39,1.57,,,,,,,,,,,,,,,,,
2003,9,2003-09,37,,7,69.4,59.3,70.6,5.63,2.14,,,,,,,,,,,,,,,,,
2003,10,2003-10,37,,1,58.9,47.7,56.1,3.76,1.15,,,,,,,,,,,,,,,,,
2003,11,2003-11,37,,0,55.7,43.3,49.1,2.79,-0.76,,,,,,,,,,,,,,,,,
2003,12,2003-12,37,,0,40.3,28.9,35.6,4.14,0.94,,,,,,,,,,,,,,,,,
2004,1,2004-01,37,,0,37.9,26.8,21.1,1.57,-2.52,,,,,,,,,,,,,,,,,
2004,2,2004-02,37,,0,40.4,30.3,32.2,3.89,0.22,,,,,,,,,,,,,,,,,
2004,3,2004-03,37,,0,51.8,39.5,44.0,1.93,-3.18,,,,,,,,,,,,,,,,,
2004,4,2004-04,37,,0,58.8,46.3,54.4,3.02,-0.73,,,,,,,,,,,,,,,,,
2004,5,2004-05,37,,0,71.1,59.9,69.9,3.99,-0.87,,,,,,,,,,,,,,,,,
2004,6,2004-06,37,,0,74.4,65.2,73.2,5.34,1.17,,,,,,,,,,,,,,,,,
2004,7,2004-07,37,,1,77.3,67.3,76.7,5.14,-0.31,,,,,,,,,,,,,,,,,
2004,8,2004-08,37,,0,73.9,64.7,75.3,7.62,2.92,,,,,,,,,,,,,,,,,
2004,9,2004-09,37,,2,70.2,61.2,72.2,7.97,4.4,,,,,,,,,,,,,,,,,
2004,10,2004-10,37,,0,61.6,52.0,57.9,1.95,-1.07,,,,,,,,,,,,,,,,,
2004,11,2004-11,37,,0,52.8,41.8,47.4,4.0,0.8,,,,,,,,,,,,,,,,,
2004,12,2004-12,37,,0,41.9,30.2,34.5,2.73,-0.83,,,,,,,,,,,,,,,,,
2005,1,2005-01,37,,0,43.0,32.5,27.5,2.58,-1.65,,,,,,,,,,,,,,,,,
2005,2,2005-02,37,,0,43.8,33.2,34.4,2.74,-1.36,,,,,,,,,,,,,,,,,
2005,3,2005-03,37,,0,47.2,35.8,37.4,4.02,-0.09,,,,,,,,,,,,,,,,,
2005,4,2005-04,37,,0,57.6,45.3,58.6,3.33,-0.14,,,,,,,,,,,,,,,,,
2005,5,2005-05,37,,0,63.3,51.3,62.4,3.58,0.1,,,,,,,,,,,,,,,,,
2005,6,2005-06,37,,0,73.5,63.8,80.4,5.09,1.18,,,,,,,,,,,,,,,,,
2005,7,2005-07,37,,1,79.2,69.7,81.9,6.27,0.72,,,,,,,,,,,,,,,,,
2005,8,2005-08,37,,0,78.1,68.5,81.0,4.07,-1.01,,,,,,,,,,,,,,,,,
2005,9,2005-09,37,,1,73.6,62.5,74.6,2.06,-2.56,,,,,,,,,,,,,,,,,
2005,10,2005-10,37,,0,61.7,51.3,57.6,5.72,1.74,,,,,,,,,,,,,,,,,
2005,11,2005-11,37,,0,52.1,39.3,50.3,3.71,0.62,,,,,,,,,,,,,,,,,
2005,12,2005-12,37,,0,40.0,29.3,30.8,4.41,1.28,,,,,,,,,,,,,,,,,
2006,1,2006-01,37,,0,46.6,35.6,38.7,3.31,-1.09,,,,,,,,,,,,,,,,,
2006,2,2006-02,37,,0,42.1,30.7,33.3,1.82,-2.32,,,,,,,,,,,,,,,,,
2006,3,2006-03,37,,0,49.8,37.6,41.1,1.44,-3.52,,,,,,,,,,,,,,,,,
2006,4,2006-04,37,,0,61.7,48.1,57.8,3.71,-0.35,,,,,,,,,,,,,,,,,
