,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,36.6,26.3,29.2,5.0,1.64
2010-02,0.0,36.9,27.7,30.4,3.77,0.29
2010-03,0.0,49.5,37.9,47.8,4.06,-0.31
2010-04,0.0,61.3,47.0,62.0,1.56,-3.02
2010-05,0.0,69.5,58.6,71.1,4.68,-0.4
2010-06,0.0,78.8,68.0,75.4,3.65,-1.84
2010-07,0.0,79.4,68.7,82.4,4.05,-2.84
2010-08,0.0,78.6,68.7,78.4,4.52,-2.15
2010-09,0.0,73.1,60.9,70.9,7.81,2.34
2010-10,0.0,60.9,47.9,57.9,2.71,-0.56
2010-11,0.0,50.0,37.4,46.7,1.59,-1.81
2010-12,0.0,33.6,24.2,29.4,2.87,-0.33
2011-01,0.0,36.2,26.1,26.6,1.95,-1.98
2011-02,0.0,45.7,33.3,32.3,2.56,-1.73
2011-03,0.0,50.6,38.9,40.2,5.23,0.97
2011-04,0.0,61.4,49.2,54.8,3.63,-0.4
2011-05,0.0,67.6,56.0,67.9,3.14,-1.22
2011-06,0.0,77.0,65.1,75.5,3.14,-2.11
2011-07,1.0,80.0,69.1,83.1,4.34,-2.88
2011-08,1.0,77.7,66.9,77.8,6.98,0.5
2011-09,0.0,71.0,61.5,71.7,5.36,0.71
2011-10,0.0,58.2,46.1,58.6,2.88,-0.25
2011-11,0.0,52.4,40.0,52.8,4.33,1.09
2011-12,0.0,46.9,35.5,39.7,2.45,-1.56
2012-01,0.0,43.9,32.5,34.6,2.86,-1.39
2012-02,0.0,45.8,34.2,37.9,2.22,-2.16
2012-03,0.0,58.7,46.3,54.6,4.14,-1.5
2012-04,0.0,59.2,47.0,55.1,3.22,-0.55
2012-05,0.0,69.6,58.9,72.0,6.24,2.15
2012-06,0.0,72.3,60.5,75.5,2.85,-1.38
2012-07,1.0,80.3,69.8,83.2,6.13,-0.5
2012-08,5.0,75.6,66.6,79.9,5.92,0.56
2012-09,0.0,69.8,59.2,70.9,4.43,0.34
2012-10,0.0,59.5,48.8,59.6,3.32,0.25
2012-11,1.0,46.3,34.3,43.9,0.93,-1.98
2012-12,0.0,47.6,37.3,38.3,4.36,0.63
2013-01,0.0,44.1,34.0,33.0,4.69,0.78
2013-02,0.0,41.8,31.3,31.1,4.09,0.37
2013-03,0.0,44.0,32.7,38.5,2.68,-1.37
2013-04,0.0,58.7,47.0,54.4,4.68,1.4
2013-05,0.0,65.1,54.3,69.6,3.96,0.24
2013-06,0.0,74.3,64.8,74.1,9.0,5.89
2013-07,0.0,77.0,68.6,80.9,8.41,3.42
2013-08,1.0,74.4,65.6,76.4,4.79,0.39
2013-09,2.0,69.4,58.8,69.6,2.79,-0.81
2013-10,0.0,60.7,50.5,61.0,2.22,-1.07
2013-11,0.0,47.8,36.0,43.0,3.53,0.47
2013-12,0.0,45.4,34.4,33.3,5.61,2.3
2014-01,0.0,35.3,23.5,26.4,3.29,-0.34
2014-02,0.0,43.0,32.1,28.0,3.11,-0.87
2014-03,0.0,45.5,33.4,34.4,4.61,0.81
2014-04,0.0,59.2,46.4,55.4,4.91,1.61
2014-05,0.0,68.5,56.5,67.8,3.62,-0.81
2014-06,0.0,75.2,64.5,76.2,4.18,-0.4
2014-07,0.0,75.7,65.9,77.7,5.25,-0.29
2014-08,0.0,74.3,65.2,75.7,5.22,0.17
2014-09,0.0,71.2,62.9,71.2,5.47,1.16
2014-10,0.0,61.4,49.2,60.1,2.89,-0.23
2014-11,0.0,45.8,34.2,42.8,3.77,1.34
2014-12,0.0,45.1,35.4,36.1,3.76,0.14
2015-01,0.0,39.4,28.9,26.4,3.95,0.24
2015-02,0.0,34.9,24.1,20.2,3.5,0.05
2015-03,0.0,50.7,39.0,35.8,3.43,-1.22
2015-04,0.0,60.0,48.7,54.4,4.35,0.76
2015-05,0.0,68.6,56.9,74.2,2.62,-2.04
2015-06,0.0,77.3,66.7,73.0,5.2,0.14
2015-07,1.0,78.5,68.5,79.0,4.38,-1.9
2015-08,2.0,76.1,65.8,78.4,4.0,-1.87
2015-09,1.0,71.6,62.4,76.4,5.31,0.28
2015-10,0.0,60.0,49.3,57.6,7.07,3.65
2015-11,0.0,54.4,44.3,52.6,7.2,4.5
2015-12,0.0,54.7,45.3,46.5,7.31,3.38
2016-01,0.0,38.4,28.4,32.0,2.8,-1.08
2016-02,0.0,43.2,33.2,36.4,5.81,2.27
2016-03,0.0,56.2,44.2,48.5,2.14,-3.54
2016-04,0.0,58.7,46.1,53.2,2.78,-1.02
2016-05,0.0,65.8,55.5,67.5,5.57,2.06
2016-06,0.0,75.3,64.4,76.3,4.32,-0.11
2016-07,1.0,80.1,69.8,81.8,5.18,-1.16
2016-08,1.0,79.2,69.7,81.6,4.49,-1.56
2016-09,0.0,74.3,64.6,74.9,7.59,2.39
2016-10,0.0,63.2,51.6,60.0,5.63,2.51
