year,month,Value
1990,1,30.3
1990,2,26.7
1990,3,34.5
1990,4,45.6
1990,5,52.1
1990,6,63.9
1990,7,68.2
1990,8,67.0
1990,9,58.0
1990,10,50.7
1990,11,39.5
1990,12,30.8
1991,1,21.0
1991,2,27.6
1991,3,34.7
1991,4,47.4
1991,5,60.0
1991,6,65.5
1991,7,68.6
1991,8,68.2
1991,9,57.4
1991,10,50.1
1991,11,37.0
1991,12,27.5
1992,1,22.2
1992,2,23.9
1992,3,27.5
1992,4,41.6
1992,5,54.4
1992,6,61.2
1992,7,64.6
1992,8,63.9
1992,9,58.6
1992,10,44.1
1992,11,36.2
1992,12,27.0
1993,1,24.3
1993,2,14.9
1993,3,27.6
1993,4,44.2
1993,5,55.2
1993,6,62.4
1993,7,69.6
1993,8,67.8
1993,9,57.6
1993,10,45.6
1993,11,36.4
1993,12,24.5
1994,1,10.6
1994,2,16.9
1994,3,29.1
1994,4,44.9
1994,5,52.2
1994,6,65.8
1994,7,70.4
1994,8,64.5
1994,9,58.2
1994,10,47.9
1994,11,41.5
1994,12,30.1
1995,1,27.2
1995,2,18.6
1995,3,35.3
1995,4,39.8
1995,5,53.7
1995,6,66.1
1995,7,70.6
1995,8,68.7
1995,9,56.8
1995,10,52.1
1995,11,33.0
1995,12,20.8
1996,1,18.9
1996,2,21.8
1996,3,27.8
1996,4,41.6
1996,5,52.6
1996,6,65.3
1996,7,66.4
1996,8,67.3
1996,9,60.2
1996,10,48.0
1996,11,32.6
1996,12,31.9
1997,1,20.0
1997,2,27.3
1997,3,30.1
1997,4,41.0
1997,5,49.8
1997,6,64.9
1997,7,66.9
1997,8,64.9
1997,9,57.8
1997,10,46.9
1997,11,34.5
1997,12,27.8
1998,1,27.5
1998,2,30.2
1998,3,34.8
1998,4,46.0
1998,5,60.4
1998,6,63.7
1998,7,67.7
1998,8,68.0
1998,9,61.1
1998,10,49.4
1998,11,38.5
1998,12,32.8
1999,1,20.7
1999,2,27.1
1999,3,30.1
1999,4,44.0
1999,5,57.4
1999,6,66.7
1999,7,71.3
1999,8,65.8
1999,9,62.1
1999,10,46.7
1999,11,42.2
1999,12,28.6
2000,1,19.2
2000,2,25.9
2000,3,37.9
2000,4,42.6
2000,5,56.4
2000,6,63.5
2000,7,64.8
2000,8,65.4
2000,9,58.3
2000,10,48.8
2000,11,36.3
2000,12,19.4
2001,1,22.4
2001,2,24.7
2001,3,28.0
2001,4,44.4
2001,5,57.0
2001,6,64.8
2001,7,65.9
2001,8,70.0
2001,9,59.4
2001,10,50.1
2001,11,43.1
2001,12,33.4
2002,1,29.1
2002,2,29.1
2002,3,33.2
2002,4,45.9
2002,5,51.3
