year,month,Value
1990,1,50.0
1990,2,54.9
1990,3,57.7
1990,4,62.2
1990,5,70.0
1990,6,79.0
1990,7,80.1
1990,8,80.6
1990,9,77.0
1990,10,62.5
1990,11,56.9
1990,12,50.2
1991,1,44.6
1991,2,50.4
1991,3,57.3
1991,4,66.1
1991,5,73.8
1991,6,78.4
1991,7,81.3
1991,8,79.2
1991,9,74.4
1991,10,65.2
1991,11,50.4
1991,12,50.7
1992,1,44.3
1992,2,52.1
1992,3,55.8
1992,4,62.6
1992,5,69.4
1992,6,76.1
1992,7,80.6
1992,8,76.2
1992,9,73.6
1992,10,63.3
1992,11,51.8
1992,12,47.9
1993,1,47.7
1993,2,47.0
1993,3,52.4
1993,4,59.1
1993,5,69.3
1993,6,78.3
1993,7,82.3
1993,8,81.4
1993,9,74.3
1993,10,63.0
1993,11,51.6
1993,12,46.1
1994,1,41.2
1994,2,49.4
1994,3,55.8
1994,4,65.6
1994,5,69.4
1994,6,79.0
1994,7,78.6
1994,8,78.1
1994,9,72.8
1994,10,64.7
1994,11,58.3
1994,12,49.6
1995,1,46.2
1995,2,48.3
1995,3,58.2
1995,4,64.0
1995,5,72.7
1995,6,76.0
1995,7,81.3
1995,8,82.6
1995,9,74.0
1995,10,63.8
1995,11,50.5
1995,12,45.7
1996,1,44.4
1996,2,48.2
1996,3,51.0
1996,4,60.8
1996,5,74.4
1996,6,77.6
1996,7,80.5
1996,8,78.5
1996,9,72.9
1996,10,64.0
1996,11,53.8
1996,12,50.1
1997,1,45.0
1997,2,50.9
1997,3,60.4
1997,4,59.2
1997,5,68.9
1997,6,76.0
1997,7,81.3
1997,8,78.6
1997,9,75.6
1997,10,63.7
1997,11,50.4
1997,12,44.9
1998,1,48.7
1998,2,49.9
1998,3,54.9
1998,4,62.2
1998,5,74.1
1998,6,81.6
1998,7,82.9
1998,8,81.4
1998,9,78.8
1998,10,67.6
1998,11,58.0
1998,12,50.1
1999,1,49.8
1999,2,53.3
1999,3,53.6
1999,4,68.0
1999,5,71.1
1999,6,78.4
1999,7,81.6
1999,8,82.5
1999,9,73.7
1999,10,63.9
1999,11,56.7
1999,12,47.6
2000,1,47.3
2000,2,53.2
2000,3,59.8
2000,4,61.3
2000,5,74.4
2000,6,78.1
2000,7,82.2
2000,8,83.2
2000,9,75.4
2000,10,65.2
2000,11,52.1
2000,12,38.4
2001,1,40.9
2001,2,52.5
2001,3,51.7
2001,4,66.8
2001,5,71.7
2001,6,76.6
2001,7,81.0
2001,8,79.7
2001,9,73.0
2001,10,61.1
2001,11,58.6
2001,12,50.8
2002,1,47.5
2002,2,46.0
2002,3,54.9
2002,4,66.7
2002,5,70.9
2002,6,77.8
2002,7,81.1
2002,8,80.1
2002,9,77.6
2002,10,67.0
2002,11,51.6
2002,12,46.6
2003,1,40.5
2003,2,46.7
2003,3,56.4
2003,4,64.3
2003,5,73.0
2003,6,76.6
2003,7,79.7
2003,8,80.6
2003,9,73.4
2003,10,64.5
2003,11,58.6
2003,12,44.9
2004,1,45.3
2004,2,45.4
2004,3,59.6
2004,4,62.3
2004,5,72.6
2004,6,77.4
2004,7,79.5
2004,8,76.8
2004,9,74.7
2004,10,70.2
2004,11,58.8
2004,12,45.5
2005,1,50.1
2005,2,51.6
2005,3,53.8
2005,4,62.8
2005,5,69.4
2005,6,77.7
2005,7,81.0
2005,8,82.0
2005,9,77.9
2005,10,64.1
2005,11,56.7
2005,12,44.2
2006,1,51.5
2006,2,46.0
2006,3,57.1
2006,4,68.4
2006,5,71.6
2006,6,78.6
2006,7,82.0
2006,8,83.0
2006,9,73.0
2006,10,63.4
2006,11,53.5
2006,12,49.0
2007,1,46.2
2007,2,46.0
2007,3,61.3
2007,4,61.0
2007,5,72.2
2007,6,79.2
2007,7,79.1
2007,8,84.2
2007,9,76.7
2007,10,66.5
2007,11,55.1
2007,12,51.9
2008,1,43.5
2008,2,50.1
2008,3,56.3
2008,4,63.0
2008,5,71.1
2008,6,79.2
2008,7,81.2
2008,8,78.5
2008,9,74.1
2008,10,62.6
2008,11,52.0
2008,12,48.3
2009,1,45.1
2009,2,50.6
2009,3,57.6
2009,4,62.8
2009,5,71.8
2009,6,80.2
2009,7,79.4
2009,8,78.7
2009,9,75.8
2009,10,62.6
2009,11,54.7
2009,12,44.3
2010,1,40.6
2010,2,40.7
2010,3,52.3
2010,4,65.1
2010,5,74.4
2010,6,82.2
2010,7,82.7
2010,8,83.8
2010,9,77.0
2010,10,65.0
2010,11,55.7
2010,12,42.3
2011,1,42.2
2011,2,49.8
2011,3,57.8
2011,4,67.0
2011,5,70.6
2011,6,82.2
2011,7,82.9
2011,8,83.0
2011,9,72.5
2011,10,61.3
2011,11,56.1
2011,12,48.0
2012,1,50.8
2012,2,52.2
2012,3,65.4
2012,4,65.8
2012,5,74.3
2012,6,78.2
2012,7,81.9
2012,8,79.5
2012,9,74.4
2012,10,62.1
2012,11,52.0
2012,12,51.6
2013,1,49.1
2013,2,49.0
2013,3,50.4
2013,4,62.1
2013,5,68.9
2013,6,78.9
2013,7,78.8
2013,8,79.6
2013,9,77.0
2013,10,65.4
2013,11,51.1
2013,12,46.7
2014,1,38.5
2014,2,46.3
2014,3,51.6
2014,4,62.7
2014,5,70.8
2014,6,78.6
2014,7,77.5
2014,8,79.8
2014,9,76.5
2014,10,66.5
2014,11,48.8
2014,12,50.2
2015,1,43.8
2015,2,41.9
2015,3,57.7
2015,4,67.0
2015,5,72.3
2015,6,79.2
2015,7,82.8
2015,8,80.1
2015,9,76.3
2015,10,66.5
2015,11,59.2
2015,12,56.7
2016,1,43.7
2016,2,50.9
2016,3,60.2
2016,4,65.2
2016,5,70.5
2016,6,80.2
2016,7,82.4
2016,8,82.0
2016,9,79.0
2016,10,69.2
2016,11,58.2
2016,12,49.4
2017,1,52.9
2017,2,57.1
2017,3,60.1
2017,4,67.3
2017,5,70.1
2017,6,76.7
2017,7,81.2
2017,8,79.3
2017,9,74.5
2017,10,66.2
2017,11,56.8
2017,12,47.1
2018,1,40.1
2018,2,56.9
2018,3,57.1
2018,4,58.9
2018,5,75.8
2018,6,80.6
2018,7,81.8
2018,8,80.3
2018,9,78.9
2018,10,67.4
2018,11,50.5
2018,12,49.0
2019,1,46.3
2019,2,55.0
2019,3,54.7
2019,4,63.1
2019,5,74.3
2019,6,78.3
2019,7,80.8
2019,8,81.4
2019,9,81.2
2019,10,66.6
2019,11,50.3
2019,12,50.7
2020,1,50.1
2020,2,51.1
2020,3,64.1
2020,4,62.9
2020,5,70.3
2020,6,78.1
2020,7,82.1
2020,8,80.2
2020,9,75.3
2020,10,65.8
2020,11,58.4
2020,12,47.0
2021,1,46.6
2021,2,44.2
2021,3,60.0
2021,4,61.8
2021,5,69.9
2021,6,78.1
2021,7,80.4
2021,8,80.8
2021,9,74.8
2021,10,68.3
2021,11,52.7
2021,12,58.6
2022,1,44.3
2022,2,49.0
2022,3,57.1
2022,4,63.9
2022,5,75.0
2022,6,81.3
2022,7,82.8
2022,8,80.2
2022,9,75.0
2022,10,63.1
2022,11,55.0
2022,12,50.1
