year,month,Value
1990,1,43.2
1990,2,42.5
1990,3,56.0
1990,4,65.0
1990,5,67.4
1990,6,81.0
1990,7,89.1
1990,8,85.2
1990,9,80.7
1990,10,67.9
1990,11,52.5
1990,12,35.9
1991,1,41.2
1991,2,54.9
1991,3,47.3
1991,4,57.0
1991,5,63.1
1991,6,77.0
1991,7,89.5
1991,8,86.9
1991,9,79.1
1991,10,68.3
1991,11,50.6
1991,12,43.4
1992,1,42.2
1992,2,49.3
1992,3,54.8
1992,4,67.5
1992,5,76.8
1992,6,79.4
1992,7,85.6
1992,8,87.9
1992,9,79.6
1992,10,68.4
1992,11,47.6
1992,12,37.1
1993,1,35.8
1993,2,39.6
1993,3,54.9
1993,4,59.8
1993,5,72.5
1993,6,75.3
1993,7,83.2
1993,8,84.4
1993,9,79.2
1993,10,64.7
1993,11,48.5
1993,12,42.5
1994,1,46.4
1994,2,43.4
1994,3,58.5
1994,4,61.4
1994,5,70.8
1994,6,84.6
1994,7,91.5
1994,8,89.9
1994,9,79.7
1994,10,62.6
1994,11,41.0
1994,12,41.5
1995,1,41.0
1995,2,56.0
1995,3,50.6
1995,4,57.0
1995,5,63.0
1995,6,73.7
1995,7,86.6
1995,8,87.9
1995,9,80.8
1995,10,68.0
1995,11,60.1
1995,12,46.0
1996,1,44.9
1996,2,48.6
1996,3,55.1
1996,4,62.6
1996,5,69.9
1996,6,83.2
1996,7,91.3
1996,8,89.5
1996,9,76.8
1996,10,64.2
1996,11,52.2
1996,12,43.3
1997,1,41.1
1997,2,45.7
1997,3,59.1
1997,4,58.2
1997,5,75.7
1997,6,77.7
1997,7,85.6
1997,8,88.0
1997,9,77.7
1997,10,64.6
1997,11,52.7
1997,12,40.2
1998,1,45.0
1998,2,41.8
1998,3,51.9
1998,4,56.2
1998,5,62.1
1998,6,73.6
1998,7,90.0
1998,8,90.0
1998,9,76.0
1998,10,61.2
1998,11,50.3
1998,12,42.2
1999,1,45.8
1999,2,46.9
1999,3,54.7
1999,4,54.2
1999,5,68.3
1999,6,79.4
1999,7,87.4
1999,8,85.3
1999,9,79.0
1999,10,71.7
1999,11,59.1
1999,12,45.9
2000,1,45.4
2000,2,47.8
2000,3,53.4
2000,4,66.2
2000,5,73.3
2000,6,84.4
2000,7,89.5
2000,8,88.2
2000,9,78.2
2000,10,63.0
2000,11,45.4
2000,12,47.0
2001,1,40.8
2001,2,42.2
2001,3,56.0
2001,4,58.6
2001,5,78.0
2001,6,83.8
2001,7,87.8
2001,8,91.2
2001,9,82.2
2001,10,70.2
2001,11,53.6
2001,12,39.8
2002,1,41.5
2002,2,48.5
2002,3,51.5
2002,4,63.7
2002,5,71.1
2002,6,84.2
2002,7,93.0
2002,8,87.3
2002,9,79.0
2002,10,64.1
2002,11,53.1
2002,12,44.0
2003,1,52.6
2003,2,45.2
2003,3,55.2
2003,4,55.9
2003,5,71.5
2003,6,84.0
2003,7,93.9
2003,8,87.6
2003,9,81.1
2003,10,73.3
2003,11,46.3
2003,12,42.8
2004,1,41.4
2004,2,41.7
2004,3,62.2
2004,4,62.8
2004,5,71.7
2004,6,83.0
2004,7,89.7
