,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,3.3432814e-05,0.7076923,0.1746244
2010-02,3.3432814e-05,0.7076923,0.1746244
2010-03,3.3432814e-05,0.7076923,0.1746244
2010-04,3.3432814e-05,0.7076923,0.1746244
2010-05,3.3432814e-05,0.7076923,0.1746244
2010-06,3.3432814e-05,0.7076923,0.31481564
2010-07,3.3432814e-05,0.7076923,0.7345285
2010-08,8.999941,0.7076923,5.5424757
2010-09,4.9990335,0.7076923,5.425
2010-10,0.99994016,0.7076923,0.79105
2010-11,3.3432814e-05,0.7076923,0.20415623
2010-12,3.3432814e-05,0.7076923,0.1746244
2011-01,3.3432814e-05,0.39411765,0.1746244
2011-02,3.3432814e-05,0.39411765,0.1746244
2011-03,3.3432814e-05,0.39411765,0.1746244
2011-04,3.3432814e-05,0.39411765,0.1746244
2011-05,3.3432814e-05,0.39411765,0.1746244
2011-06,3.3432814e-05,0.39411765,0.31481564
2011-07,3.3432814e-05,0.39411765,0.7345285
2011-08,0.99994016,0.39411765,1.1911454
2011-09,0.99994016,0.39411765,1.3175019
2011-10,3.3432814e-05,0.39411765,0.21455804
2011-11,3.3432814e-05,0.39411765,0.36287844
2011-12,3.3432814e-05,0.39411765,0.1746244
2012-01,3.3432814e-05,0.8692308,0.1746244
2012-02,3.3432814e-05,0.8692308,0.1746244
2012-03,3.3432814e-05,0.8692308,0.1746244
2012-04,3.3432814e-05,0.8692308,0.1746244
2012-05,3.3432814e-05,0.8692308,0.1746244
2012-06,3.3432814e-05,0.8692308,0.31481564
2012-07,0.99994016,0.8692308,0.7345285
2012-08,12.000342,0.8692308,6.967475
2012-09,8.000011,0.8692308,5.875
2012-10,0.99994016,0.8692308,0.79105
2012-11,3.3432814e-05,0.8692308,0.20415623
2012-12,3.3432814e-05,0.8692308,0.1746244
2013-01,3.3432814e-05,0.5923077,0.1746244
2013-02,3.3432814e-05,0.5923077,0.1746244
2013-03,3.3432814e-05,0.5923077,0.1746244
2013-04,3.3432814e-05,0.5923077,0.1746244
2013-05,3.3432814e-05,0.5923077,0.1746244
2013-06,3.3432814e-05,0.5923077,0.31481564
2013-07,3.3432814e-05,0.5923077,0.7345285
2013-08,7.000407,0.5923077,3.0026095
2013-09,1.9999232,0.5923077,1.4897485
2013-10,0.99994016,0.5923077,0.71105003
2013-11,3.3432814e-05,0.5923077,0.23281248
2013-12,3.3432814e-05,0.5923077,0.1746244
2014-01,3.3432814e-05,0.5,0.1746244
2014-02,3.3432814e-05,0.5,0.1746244
2014-03,3.3432814e-05,0.5,0.1746244
2014-04,3.3432814e-05,0.5,0.1746244
2014-05,3.3432814e-05,0.5,0.1746244
2014-06,3.3432814e-05,0.5,0.31481564
2014-07,0.99994016,0.5,0.7345285
2014-08,1.9999232,0.5,1.4377959
2014-09,1.9999232,0.5,2.9342456
2014-10,3.3432814e-05,0.5,0.21455804
2014-11,0.99994016,0.5,0.6847535
2014-12,3.3432814e-05,0.5,0.1746244
2015-01,3.3432814e-05,0.8923077,0.1746244
2015-02,3.3432814e-05,0.8923077,0.1746244
2015-03,3.3432814e-05,0.8923077,0.1746244
2015-04,3.3432814e-05,0.8923077,0.1746244
2015-05,3.3432814e-05,0.8923077,0.1746244
2015-06,0.99994016,0.8923077,0.31481564
2015-07,0.99994016,0.8923077,0.7345285
2015-08,8.999941,0.8923077,5.2481
2015-09,10.999269,0.8923077,6.9
2015-10,0.99994016,0.8923077,0.79105
2015-11,3.3432814e-05,0.8923077,0.20415623
2015-12,3.3432814e-05,0.8923077,0.1746244
2016-01,3.3432814e-05,0.61538464,0.1746244
2016-02,3.3432814e-05,0.61538464,0.1746244
2016-03,3.3432814e-05,0.61538464,0.1746244
2016-04,3.3432814e-05,0.61538464,0.1746244
2016-05,3.3432814e-05,0.61538464,0.1746244
2016-06,3.3432814e-05,0.61538464,0.27925
2016-07,1.9999232,0.61538464,0.7345285
2016-08,2.999864,0.61538464,1.4377959
2016-09,3.999404,0.61538464,2.614691
2016-10,1.9999232,0.61538464,1.232
2016-11,3.3432814e-05,0.61538464,0.20415623
2016-12,3.3432814e-05,0.61538464,0.1746244
2017-01,3.3432814e-05,0.5,0.1746244
2017-02,3.3432814e-05,0.5,0.1746244
2017-03,3.3432814e-05,0.5,0.1746244
2017-04,3.3432814e-05,0.5,0.1746244
2017-05,3.3432814e-05,0.5,0.1746244
2017-06,3.3432814e-05,0.5,0.31481564
2017-07,3.3432814e-05,0.5,0.25599998
2017-08,0.99994016,0.5,0.65765053
2017-09,2.999864,0.5,1.3175019
2017-10,0.99994016,0.5,0.63299555
2017-11,0.99994016,0.5,0.6847535
2017-12,3.3432814e-05,0.5,0.1746244
2018-01,3.3432814e-05,1.3769231,0.1746244
2018-02,3.3432814e-05,1.3769231,0.1746244
2018-03,3.3432814e-05,1.3769231,0.1746244
2018-04,3.3432814e-05,1.3769231,0.1746244
2018-05,3.3432814e-05,1.3769231,0.1746244
2018-06,3.3432814e-05,1.3769231,0.31481564
2018-07,1.9999232,1.3769231,0.7345285
2018-08,23.998625,1.3769231,7.8814754
2018-09,13.999839,1.3769231,6.9
2018-10,1.9999232,1.3769231,1.232
2018-11,1.9999232,1.3769231,1.0788126
2018-12,3.3432814e-05,1.3769231,0.1746244
2019-01,3.3432814e-05,0.5,0.1746244
2019-02,3.3432814e-05,0.5,0.1746244
2019-03,3.3432814e-05,0.5,0.1746244
2019-04,3.3432814e-05,0.5,0.1746244
2019-05,3.3432814e-05,0.5,0.1746244
2019-06,0.99994016,0.5,0.31481564
2019-07,3.3432814e-05,0.5,0.25599998
2019-08,3.3432814e-05,0.5,0.3070625
2019-09,4.0006514,0.5,2.614691
2019-10,0.99994016,0.5,0.864007
2019-11,3.3432814e-05,0.5,0.33040625
2019-12,3.3432814e-05,0.5,0.1746244
2020-01,3.3432814e-05,0.43076923,0.1746244
2020-02,3.3432814e-05,0.43076923,0.1746244
2020-03,3.3432814e-05,0.43076923,0.1746244
2020-04,3.3432814e-05,0.43076923,0.1746244
2020-05,3.3432814e-05,0.43076923,0.1746244
2020-06,3.3432814e-05,0.43076923,0.27925
2020-07,0.99994016,0.43076923,0.7345285
2020-08,1.9999232,0.43076923,2.09435
2020-09,3.3432814e-05,0.43076923,0.27549556
2020-10,3.3432814e-05,0.43076923,0.21455804
2020-11,3.3432814e-05,0.43076923,0.24968751
2020-12,3.3432814e-05,0.43076923,0.1746244
2021-01,3.3432814e-05,0.39411765,0.1746244
2021-02,3.3432814e-05,0.39411765,0.1746244
2021-03,3.3432814e-05,0.39411765,0.1746244
2021-04,3.3432814e-05,0.39411765,0.1746244
2021-05,3.3432814e-05,0.39411765,0.1746244
2021-06,3.3432814e-05,0.39411765,0.31481564
2021-07,0.99994016,0.39411765,0.7345285
2021-08,7.925356,0.39411765,6.967475
2021-09,13.999839,0.39411765,2.9392457
2021-10,1.9999232,0.39411765,0.79105
2021-11,3.3432814e-05,0.39411765,1.0788126
2021-12,3.3432814e-05,0.39411765,0.1746244
2022-01,3.3432814e-05,0.39411765,0.1746244
2022-02,3.3432814e-05,0.39411765,0.1746244
2022-03,3.3432814e-05,0.39411765,0.1746244
2022-04,3.3432814e-05,0.39411765,0.1746244
2022-05,3.3432814e-05,0.39411765,0.1746244
2022-06,3.3432814e-05,0.39411765,0.31481564
2022-07,3.3432814e-05,0.39411765,0.7345285
2022-08,7.1335382,0.39411765,1.1911454
2022-09,8.097401,0.39411765,2.614691
2022-10,3.3432814e-05,0.5,0.79105
2022-11,3.3432814e-05,0.5,0.20415623
2022-12,3.3432814e-05,0.5,0.1746244
2023-01,0.99994016,0.5,0.1746244
2023-02,0.99994016,0.5,0.1746244
2023-03,0.99994016,0.5,0.1746244
2023-04,0.99994016,0.5,0.1746244
