,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,3.2844775e-05,0.836,0.058246784
2010-02,3.2844775e-05,0.836,0.081297316
2010-03,3.2844775e-05,0.836,0.13603656
2010-04,3.2844775e-05,0.836,0.20853566
2010-05,3.2844775e-05,0.836,0.07783625
2010-06,3.2844775e-05,0.836,0.06314519
2010-07,3.2844775e-05,0.836,0.448169
2010-08,7.000435,0.836,5.8219323
2010-09,14.000255,0.836,11.06271
2010-10,3.2844775e-05,0.836,0.124810174
2010-11,3.2844775e-05,0.836,0.07604763
2010-12,3.2844775e-05,0.836,0.058246784
2011-01,3.2844775e-05,0.45384616,0.058246784
2011-02,3.2844775e-05,0.45384616,0.081297316
2011-03,3.2844775e-05,0.45384616,0.13603656
2011-04,3.2844775e-05,0.45384616,0.20853566
2011-05,3.2844775e-05,0.45384616,0.07783625
2011-06,3.2844775e-05,0.45384616,0.06314519
2011-07,3.2844775e-05,0.45384616,1.23043
2011-08,1.9999516,0.45384616,2.648455
2011-09,1.9999516,0.45384616,1.9252173
2011-10,3.2844775e-05,0.45384616,0.056011736
2011-11,3.2844775e-05,0.45384616,0.47164354
2011-12,3.2844775e-05,0.45384616,0.058246784
2012-01,3.2844775e-05,0.9714286,0.058246784
2012-02,3.2844775e-05,0.9714286,0.081297316
2012-03,3.2844775e-05,0.9714286,0.13603656
2012-04,3.2844775e-05,0.9714286,0.20853566
2012-05,3.2844775e-05,0.9714286,0.07783625
2012-06,3.2844775e-05,0.9714286,0.06314519
2012-07,0.9999357,0.9714286,1.23043
2012-08,17.998821,0.9714286,11.353388
2012-09,4.000549,0.9714286,3.1041384
2012-10,0.9999357,0.9714286,0.868928
2012-11,3.2844775e-05,0.9714286,0.082959235
2012-12,3.2844775e-05,0.9714286,0.058246784
2013-01,3.2844775e-05,0.9714286,0.058246784
2013-02,3.2844775e-05,0.9714286,0.081297316
2013-03,3.2844775e-05,0.9714286,0.13603656
2013-04,3.2844775e-05,0.9714286,0.20853566
2013-05,3.2844775e-05,0.9714286,0.07783625
2013-06,3.2844775e-05,0.9714286,0.06314519
2013-07,0.9999357,0.9714286,1.23043
2013-08,4.999167,0.9714286,3.5482237
2013-09,13.999266,0.9714286,11.06271
2013-10,3.9997005,0.9714286,2.9669955
2013-11,3.2844775e-05,0.9714286,0.07604763
2013-12,3.2844775e-05,0.9714286,0.058246784
2014-01,3.2844775e-05,0.836,0.058246784
2014-02,3.2844775e-05,0.836,0.081297316
2014-03,3.2844775e-05,0.836,0.13603656
2014-04,3.2844775e-05,0.836,0.20853566
