,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-02,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-03,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-04,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-05,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-06,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-07,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-08,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-09,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-10,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-11,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2010-12,260691.0,296003.0,320299.0,115840.0,251782.0,288329.0,337630.0,142548.0
2011-01,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-02,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-03,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-04,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-05,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-06,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-07,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-08,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-09,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-10,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-11,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2011-12,262198.0,301342.0,322657.0,119449.0,253027.0,289793.0,341868.0,146802.0
2012-01,262720.0,304614.0,324404.0,123972.0,252750.0,293330.0,342366.0,151131.0
2012-02,262720.0,304614.0,324404.0,123972.0,252750.0,293330.0,342366.0,151131.0
2012-03,262720.0,304614.0,324404.0,123972.0,252750.0,293330.0,342366.0,151131.0
