year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,NY,2300418.0,2928328.0,3150435.0,1045918.0,2197864.0,2923455.0,3362691.0,1514787.0,19423896.0,9425099.0,9998797.0,13031404.0,3024739.0,64950.0,1319787.0,5378.0,7137013.0,
2010,NY,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0,19229752.0,9300854.0,9928898.0,12764402.0,2990591.0,66876.0,1392380.0,5334.0,7205740.0,0400000US36
2011,NY,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0,19302448.0,9341547.0,9960901.0,12768805.0,3013740.0,67766.0,1415147.0,6706.0,7215687.0,0400000US36
2012,NY,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0,19398125.0,9391875.0,10006250.0,12808268.0,3037255.0,69500.0,1445539.0,6477.0,7230896.0,0400000US36
2013,NY,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0,19487053.0,9442496.0,10044557.0,12779326.0,3042152.0,72740.0,1479326.0,7365.0,7234743.0,0400000US36
2014,NY,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0,19594330.0,9495978.0,10098352.0,12733518.0,3060048.0,74572.0,1522549.0,6258.0,7255528.0,0400000US36
2015,NY,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0,19673174.0,9541801.0,10131373.0,12704637.0,3070392.0,74793.0,1570223.0,6485.0,7262279.0,0400000US36
2016,NY,2160595.0,3010001.0,3158617.0,1225917.0,2065814.0,3028747.0,3379882.0,1667884.0,19697457.0,9555130.0,10142327.0,12667413.0,3073278.0,75751.0,1599216.0,7528.0,7266187.0,0400000US36
2017,NY,2148383.0,3029126.0,3147483.0,1279119.0,2054921.0,3044216.0,3365748.0,1729232.0,19798228.0,9604111.0,10194117.0,12638791.0,3100685.0,77130.0,1652846.0,7937.0,7302710.0,0400000US36
2018,NY,2116487.0,2984647.0,3108551.0,1309870.0,2025146.0,2998101.0,3316832.0,1758819.0,19618453.0,9519555.0,10098898.0,12514949.0,3068099.0,79644.0,1630341.0,8017.0,7316537.0,0400000US36
2019,NY,2100910.0,2972048.0,3079779.0,1348264.0,2007589.0,2982165.0,3283522.0,1798042.0,19572319.0,9501001.0,10071318.0,12459687.0,3065471.0,79512.0,1647606.0,8821.0,7343234.0,0400000US36
2020,NY,2081374.0,2955247.0,3052248.0,1385315.0,1989768.0,2965310.0,3249200.0,1836387.0,19514849.0,9474184.0,10040665.0,12160045.0,3002401.0,76535.0,1674216.0,9376.0,7417224.0,0400000US36
