,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-02,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-03,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-04,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-05,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-06,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-07,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-08,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-09,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-10,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-11,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2010-12,2242652.0,2902030.0,3105006.0,1051166.0,2140945.0,2939329.0,3344462.0,1504162.0
2011-01,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-02,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-03,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-04,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-05,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-06,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-07,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-08,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-09,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-10,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-11,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2011-12,2223791.0,2917472.0,3130569.0,1069715.0,2123818.0,2947966.0,3367933.0,1521184.0
2012-01,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-02,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-03,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-04,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-05,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-06,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-07,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-08,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-09,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-10,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-11,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2012-12,2207630.0,2938436.0,3150281.0,1095528.0,2109290.0,2965115.0,3386739.0,1545106.0
2013-01,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-02,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-03,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-04,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-05,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-06,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-07,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-08,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-09,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-10,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-11,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2013-12,2194891.0,2956969.0,3166206.0,1124430.0,2096128.0,2979436.0,3398040.0,1570953.0
2014-01,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-02,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-03,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-04,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-05,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-06,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-07,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-08,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-09,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-10,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-11,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2014-12,2183905.0,2982157.0,3174740.0,1155176.0,2088327.0,3004997.0,3405032.0,1599996.0
2015-01,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-02,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-03,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-04,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-05,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-06,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-07,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
2015-08,2174625.0,3001440.0,3176562.0,1189174.0,2077149.0,3024082.0,3398881.0,1631261.0
