,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-02,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-03,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-04,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-05,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-06,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-07,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-08,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-09,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-10,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-11,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2010-12,-1.8655163654390041,-1.8354759757246535,-1.8912364051919148,0.9396702667753926,-1.6449185390827963,-1.660784767652567,-1.552741630690203,-1.7981911930882104,-1.5201577836506377
2011-01,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-02,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-03,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-04,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-05,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-06,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-07,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
2011-08,-1.4863781211793559,-1.5091675064552537,-1.452552114997558,0.9705308333801812,-0.8628330869165434,-1.548237519125943,-1.4217413486299972,-0.7321534562590075,-1.289721122653273
