,fips,state,year,month,count
2000-01,36,NY,2000,1,0
2000-02,36,NY,2000,2,0
2000-03,36,NY,2000,3,0
2000-04,36,NY,2000,4,0
2000-05,36,NY,2000,5,0
2000-06,36,NY,2000,6,0
2000-07,36,NY,2000,7,3
2000-08,36,NY,2000,8,9
2000-09,36,NY,2000,9,2
2000-10,36,NY,2000,10,0
2000-11,36,NY,2000,11,0
2000-12,36,NY,2000,12,0
2001-01,36,NY,2001,1,0
2001-02,36,NY,2001,2,0
2001-03,36,NY,2001,3,0
2001-04,36,NY,2001,4,0
2001-05,36,NY,2001,5,0
2001-06,36,NY,2001,6,0
2001-07,36,NY,2001,7,1
2001-08,36,NY,2001,8,4
2001-09,36,NY,2001,9,6
2001-10,36,NY,2001,10,1
2001-11,36,NY,2001,11,0
2001-12,36,NY,2001,12,0
2002-01,36,NY,2002,1,0
2002-02,36,NY,2002,2,0
2002-03,36,NY,2002,3,0
2002-04,36,NY,2002,4,0
2002-05,36,NY,2002,5,0
2002-06,36,NY,2002,6,0
2002-07,36,NY,2002,7,3
2002-08,36,NY,2002,8,28
2002-09,36,NY,2002,9,33
2002-10,36,NY,2002,10,4
2002-11,36,NY,2002,11,0
2002-12,36,NY,2002,12,0
2003-01,36,NY,2003,1,0
2003-02,36,NY,2003,2,0
2003-03,36,NY,2003,3,0
2003-04,36,NY,2003,4,0
2003-05,36,NY,2003,5,0
2003-06,36,NY,2003,6,0
2003-07,36,NY,2003,7,0
2003-08,36,NY,2003,8,23
2003-09,36,NY,2003,9,31
2003-10,36,NY,2003,10,2
2003-11,36,NY,2003,11,1
2003-12,36,NY,2003,12,0
2004-01,36,NY,2004,1,0
2004-02,36,NY,2004,2,0
2004-03,36,NY,2004,3,0
2004-04,36,NY,2004,4,0
2004-05,36,NY,2004,5,0
2004-06,36,NY,2004,6,2
2004-07,36,NY,2004,7,0
2004-08,36,NY,2004,8,1
2004-09,36,NY,2004,9,2
2004-10,36,NY,2004,10,2
2004-11,36,NY,2004,11,0
2004-12,36,NY,2004,12,0
2005-01,36,NY,2005,1,0
2005-02,36,NY,2005,2,0
2005-03,36,NY,2005,3,0
2005-04,36,NY,2005,4,0
2005-05,36,NY,2005,5,0
2005-06,36,NY,2005,6,0
2005-07,36,NY,2005,7,0
2005-08,36,NY,2005,8,12
2005-09,36,NY,2005,9,16
2005-10,36,NY,2005,10,2
2005-11,36,NY,2005,11,0
2005-12,36,NY,2005,12,0
2006-01,36,NY,2006,1,0
2006-02,36,NY,2006,2,0
2006-03,36,NY,2006,3,0
2006-04,36,NY,2006,4,0
2006-05,36,NY,2006,5,0
2006-06,36,NY,2006,6,0
2006-07,36,NY,2006,7,1
2006-08,36,NY,2006,8,14
2006-09,36,NY,2006,9,1
2006-10,36,NY,2006,10,0
2006-11,36,NY,2006,11,0
2006-12,36,NY,2006,12,0
2007-01,36,NY,2007,1,0
2007-02,36,NY,2007,2,0
2007-03,36,NY,2007,3,0
2007-04,36,NY,2007,4,0
2007-05,36,NY,2007,5,0
2007-06,36,NY,2007,6,0
2007-07,36,NY,2007,7,0
2007-08,36,NY,2007,8,8
2007-09,36,NY,2007,9,6
2007-10,36,NY,2007,10,2
2007-11,36,NY,2007,11,0
2007-12,36,NY,2007,12,0
2008-01,36,NY,2008,1,0
2008-02,36,NY,2008,2,0
2008-03,36,NY,2008,3,0
2008-04,36,NY,2008,4,0
2008-05,36,NY,2008,5,0
2008-06,36,NY,2008,6,0
2008-07,36,NY,2008,7,5
2008-08,36,NY,2008,8,13
2008-09,36,NY,2008,9,10
2008-10,36,NY,2008,10,4
2008-11,36,NY,2008,11,0
2008-12,36,NY,2008,12,0
2009-01,36,NY,2009,1,0
2009-02,36,NY,2009,2,0
