year,month,Value
1990,1,-0.42
1990,2,2.82
1990,3,-2.73
1990,4,-0.69
1990,5,4.52
1990,6,0.16
1990,7,3.93
1990,8,1.7
1990,9,2.44
1990,10,3.98
1990,11,0.39
1990,12,7.29
1991,1,-0.26
1991,2,-0.39
1991,3,-0.15
1991,4,-0.34
1991,5,-2.57
1991,6,-3.6
1991,7,-2.92
1991,8,-1.83
1991,9,-1.03
1991,10,-1.85
1991,11,-3.36
1991,12,-1.75
1992,1,-1.45
1992,2,-1.49
1992,3,0.11
1992,4,-0.55
1992,5,-0.59
1992,6,-0.91
1992,7,7.57
1992,8,1.8
1992,9,1.41
1992,10,0.46
1992,11,3.87
1992,12,-0.39
1993,1,1.2
1993,2,0.0
1993,3,0.61
1993,4,0.71
1993,5,-2.21
1993,6,1.03
1993,7,-0.34
1993,8,-3.27
1993,9,1.23
1993,10,0.67
1993,11,2.23
1993,12,0.0
1994,1,1.28
1994,2,-0.5
1994,3,-0.55
1994,4,1.21
1994,5,-1.05
1994,6,-0.07
1994,7,-0.44
1994,8,1.5
1994,9,-1.39
1994,10,-2.36
1994,11,-1.16
1994,12,-1.07
1995,1,1.71
1995,2,-1.26
1995,3,-2.46
1995,4,0.38
1995,5,2.94
1995,6,0.25
1995,7,-1.07
1995,8,0.1
1995,9,-1.96
1995,10,2.11
1995,11,0.46
1995,12,-0.02
1996,1,1.63
1996,2,-0.03
1996,3,0.27
1996,4,2.96
1996,5,3.46
1996,6,1.22
1996,7,1.59
1996,8,-2.28
1996,9,3.62
1996,10,0.5
1996,11,2.42
1996,12,2.16
1997,1,-0.21
1997,2,-0.01
1997,3,2.04
1997,4,-2.06
1997,5,2.54
1997,6,1.83
1997,7,-0.47
1997,8,2.88
1997,9,-0.45
1997,10,-0.86
1997,11,0.27
1997,12,0.0
1998,1,1.04
1998,2,0.0
1998,3,-1.17
1998,4,2.67
1998,5,-1.53
1998,6,4.38
1998,7,-0.54
1998,8,0.36
1998,9,-2.59
1998,10,0.27
1998,11,-2.17
1998,12,-1.95
1999,1,1.88
1999,2,0.53
1999,3,-1.54
1999,4,0.25
1999,5,-2.4
1999,6,-2.94
1999,7,-1.95
1999,8,-1.08
1999,9,-2.15
1999,10,-1.24
1999,11,-2.8
1999,12,-1.94
2000,1,-0.52
2000,2,1.3
2000,3,-1.98
2000,4,0.76
2000,5,0.71
2000,6,1.25
2000,7,0.74
2000,8,1.18
2000,9,1.92
2000,10,0.06
2000,11,-0.1
2000,12,1.41
2001,1,-1.41
2001,2,-1.0
2001,3,-1.84
2001,4,-0.65
2001,5,1.72
2001,6,-0.93
2001,7,-0.28
2001,8,-0.29
2001,9,0.39
2001,10,2.89
2001,11,0.45
2001,12,0.54
2002,1,-0.54
2002,2,-0.98
2002,3,0.59
2002,4,1.26
2002,5,2.22
2002,6,-0.78
2002,7,-2.3
2002,8,-3.02
2002,9,0.53
2002,10,0.26
2002,11,-0.71
2002,12,-0.21
2003,1,-0.99
2003,2,1.03
2003,3,-1.86
