year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,39,,0,26.2,16.8,22.7,2.62,-0.52,,,,,,,,,,,,,,,,,
2000,2,2000-02,39,,0,35.6,26.8,32.8,3.24,1.3,,,,,,,,,,,,,,,,,
2000,3,2000-03,39,,0,44.9,34.0,46.4,2.48,-1.98,,,,,,,,,,,,,,,,,
2000,4,2000-04,39,,0,49.7,38.5,54.5,4.05,0.76,,,,,,,,,,,,,,,,,
2000,5,2000-05,39,,0,62.9,51.4,68.7,4.8,0.71,,,,,,,,,,,,,,,,,
2000,6,2000-06,39,,0,69.8,59.3,72.2,4.89,1.25,,,,,,,,,,,,,,,,,
2000,7,2000-07,39,,0,69.9,59.3,81.8,3.94,0.74,,,,,,,,,,,,,,,,,
2000,8,2000-08,39,,0,69.7,59.2,81.8,3.81,1.18,,,,,,,,,,,,,,,,,
2000,9,2000-09,39,,0,63.2,52.2,70.3,3.94,1.92,,,,,,,,,,,,,,,,,
2000,10,2000-10,39,,0,55.9,44.2,58.6,2.2,0.06,,,,,,,,,,,,,,,,,
2000,11,2000-11,39,,0,40.1,31.8,29.2,1.8,-0.1,,,,,,,,,,,,,,,,,
2000,12,2000-12,39,,0,21.6,13.6,12.1,3.08,1.41,,,,,,,,,,,,,,,,,
2001,1,2001-01,39,,0,27.5,20.1,26.5,1.28,-1.41,,,,,,,,,,,,,,,,,
2001,2,2001-02,39,,0,34.0,25.8,15.8,1.57,-1.0,,,,,,,,,,,,,,,,,
2001,3,2001-03,39,,0,36.3,27.7,36.8,1.79,-1.84,,,,,,,,,,,,,,,,,
2001,4,2001-04,39,,0,53.9,41.4,54.0,3.54,-0.65,,,,,,,,,,,,,,,,,
2001,5,2001-05,39,,0,61.5,50.2,69.3,5.42,1.72,,,,,,,,,,,,,,,,,
2001,6,2001-06,39,,0,68.4,57.5,74.0,3.09,-0.93,,,,,,,,,,,,,,,,,
2001,7,2001-07,39,,0,71.9,60.6,82.1,3.63,-0.28,,,,,,,,,,,,,,,,,
2001,8,2001-08,39,,0,73.0,62.6,84.8,3.54,-0.29,,,,,,,,,,,,,,,,,
2001,9,2001-09,39,,0,62.3,51.0,71.5,3.09,0.39,,,,,,,,,,,,,,,,,
2001,10,2001-10,39,,0,53.8,43.1,54.1,4.62,2.89,,,,,,,,,,,,,,,,,
2001,11,2001-11,39,,0,48.1,36.4,48.5,2.98,0.45,,,,,,,,,,,,,,,,,
2001,12,2001-12,39,,0,37.7,30.1,27.0,2.75,0.54,,,,,,,,,,,,,,,,,
2002,1,2002-01,39,,0,34.1,26.1,26.0,2.06,-0.54,,,,,,,,,,,,,,,,,
2002,2,2002-02,39,,0,35.0,25.0,35.1,1.64,-0.98,,,,,,,,,,,,,,,,,
2002,3,2002-03,39,,0,39.2,29.2,26.7,3.77,0.59,,,,,,,,,,,,,,,,,
2002,4,2002-04,39,,0,52.6,41.6,49.9,4.75,1.26,,,,,,,,,,,,,,,,,
2002,5,2002-05,39,,0,56.7,44.9,62.6,5.19,2.22,,,,,,,,,,,,,,,,,
2002,6,2002-06,39,,0,71.4,60.1,78.1,3.58,-0.78,,,,,,,,,,,,,,,,,
2002,7,2002-07,39,,3,75.7,64.2,85.1,2.75,-2.3,,,,,,,,,,,,,,,,,
2002,8,2002-08,39,,137,74.2,62.7,78.8,2.12,-3.02,,,,,,,,,,,,,,,,,
2002,9,2002-09,39,,157,68.3,55.4,72.8,4.11,0.53,,,,,,,,,,,,,,,,,
2002,10,2002-10,39,,13,52.0,43.1,43.8,2.96,0.26,,,,,,,,,,,,,,,,,
2002,11,2002-11,39,,0,40.4,33.4,39.0,2.89,-0.71,,,,,,,,,,,,,,,,,
2002,12,2002-12,39,,0,30.8,24.3,29.8,2.78,-0.21,,,,,,,,,,,,,,,,,
2003,1,2003-01,39,,0,21.5,14.4,20.5,1.61,-0.99,,,,,,,,,,,,,,,,,
2003,2,2003-02,39,,0,25.4,17.8,19.6,2.88,1.03,,,,,,,,,,,,,,,,,
2003,3,2003-03,39,,0,41.0,29.8,34.0,2.18,-1.86,,,,,,,,,,,,,,,,,
2003,4,2003-04,39,,0,52.0,40.0,57.7,2.53,-1.74,,,,,,,,,,,,,,,,,
2003,5,2003-05,39,,0,59.5,49.4,65.1,6.79,3.76,,,,,,,,,,,,,,,,,
2003,6,2003-06,39,,1,66.0,55.5,73.3,3.97,0.65,,,,,,,,,,,,,,,,,
2003,7,2003-07,39,,7,71.6,61.2,83.2,6.71,4.62,,,,,,,,,,,,,,,,,
2003,8,2003-08,39,,9,72.6,62.5,86.6,4.82,2.39,,,,,,,,,,,,,,,,,
2003,9,2003-09,39,,62,62.8,52.2,70.3,5.96,5.15,,,,,,,,,,,,,,,,,
2003,10,2003-10,39,,5,51.2,39.8,61.8,2.53,1.53,,,,,,,,,,,,,,,,,
2003,11,2003-11,39,,0,46.4,37.3,29.0,3.65,2.32,,,,,,,,,,,,,,,,,
2003,12,2003-12,39,,0,32.8,26.1,29.1,2.79,0.97,,,,,,,,,,,,,,,,,
2004,1,2004-01,39,,0,23.5,15.9,13.0,3.61,1.5,,,,,,,,,,,,,,,,,
2004,2,2004-02,39,,0,30.2,21.3,24.7,1.36,-1.19,,,,,,,,,,,,,,,,,
2004,3,2004-03,39,,0,42.6,33.4,40.4,3.26,-0.56,,,,,,,,,,,,,,,,,
2004,4,2004-04,39,,0,51.0,40.4,57.3,3.22,-0.61,,,,,,,,,,,,,,,,,
2004,5,2004-05,39,,0,64.5,53.2,61.9,6.89,3.05,,,,,,,,,,,,,,,,,
2004,6,2004-06,39,,0,67.9,57.5,71.2,4.58,1.15,,,,,,,,,,,,,,,,,
2004,7,2004-07,39,,1,71.4,61.5,79.8,4.56,1.42,,,,,,,,,,,,,,,,,
2004,8,2004-08,39,,4,68.6,58.4,74.2,4.08,1.8,,,,,,,,,,,,,,,,,
2004,9,2004-09,39,,6,66.1,54.7,71.7,4.31,2.2,,,,,,,,,,,,,,,,,
2004,10,2004-10,39,,0,53.6,42.9,55.5,2.74,1.36,,,,,,,,,,,,,,,,,
2004,11,2004-11,39,,0,45.2,36.9,44.8,3.61,2.4,,,,,,,,,,,,,,,,,
2004,12,2004-12,39,,0,31.5,23.4,28.9,3.23,1.62,,,,,,,,,,,,,,,,,
2005,1,2005-01,39,,0,29.4,21.8,16.8,6.7,5.36,,,,,,,,,,,,,,,,,
2005,2,2005-02,39,,0,32.7,24.5,31.1,1.72,-0.69,,,,,,,,,,,,,,,,,
2005,3,2005-03,39,,0,35.5,26.8,39.6,2.59,-0.63,,,,,,,,,,,,,,,,,
2005,4,2005-04,39,,0,52.2,40.1,60.2,4.42,0.87,,,,,,,,,,,,,,,,,
2005,5,2005-05,39,,0,56.4,44.1,62.7,2.44,-1.17,,,,,,,,,,,,,,,,,
2005,6,2005-06,39,,1,72.6,61.2,75.3,1.78,-3.45,,,,,,,,,,,,,,,,,
2005,7,2005-07,39,,5,75.1,64.4,82.4,4.17,-0.72,,,,,,,,,,,,,,,,,
2005,8,2005-08,39,,24,74.2,63.3,79.6,4.99,1.14,,,,,,,,,,,,,,,,,
2005,9,2005-09,39,,15,67.7,55.7,74.1,3.36,-0.22,,,,,,,,,,,,,,,,,
2005,10,2005-10,39,,1,54.2,44.5,57.1,2.65,-0.31,,,,,,,,,,,,,,,,,
2005,11,2005-11,39,,0,44.3,33.9,39.8,3.46,-0.32,,,,,,,,,,,,,,,,,
2005,12,2005-12,39,,0,27.2,20.8,25.1,1.83,-1.32,,,,,,,,,,,,,,,,,
2006,1,2006-01,39,,0,38.8,31.1,33.1,3.08,0.36,,,,,,,,,,,,,,,,,
2006,2,2006-02,39,,0,31.4,23.3,25.3,1.63,-0.79,,,,,,,,,,,,,,,,,
2006,3,2006-03,39,,0,38.9,29.8,36.4,2.66,-0.92,,,,,,,,,,,,,,,,,
2006,4,2006-04,39,,0,54.3,41.6,62.0,3.18,-1.22,,,,,,,,,,,,,,,,,
2006,5,2006-05,39,,0,59.1,48.0,68.6,4.18,0.57,,,,,,,,,,,,,,,,,
2006,6,2006-06,39,,0,67.6,56.4,78.1,4.57,1.19,,,,,,,,,,,,,,,,,
2006,7,2006-07,39,,0,74.2,64.1,89.5,5.55,2.43,,,,,,,,,,,,,,,,,
2006,8,2006-08,39,,21,73.3,62.6,83.4,3.04,-0.39,,,,,,,,,,,,,,,,,
2006,9,2006-09,39,,14,61.9,52.5,68.5,4.79,3.25,,,,,,,,,,,,,,,,,
2006,10,2006-10,39,,1,50.5,40.8,51.2,5.67,5.97,,,,,,,,,,,,,,,,,
2006,11,2006-11,39,,0,44.2,34.9,39.7,2.17,0.63,,,,,,,,,,,,,,,,,
2006,12,2006-12,39,,0,38.3,29.6,32.0,3.04,0.89,,,,,,,,,,,,,,,,,
2007,1,2007-01,39,,0,33.0,26.1,24.4,4.51,2.58,,,,,,,,,,,,,,,,,
2007,2,2007-02,39,,0,19.4,11.1,16.9,2.05,-0.18,,,,,,,,,,,,,,,,,
2007,3,2007-03,39,,0,43.9,33.5,43.5,4.07,0.39,,,,,,,,,,,,,,,,,
2007,4,2007-04,39,,0,48.4,38.4,53.0,3.42,0.09,,,,,,,,,,,,,,,,,
2007,5,2007-05,39,,0,63.9,50.2,68.1,1.56,-3.5,,,,,,,,,,,,,,,,,
2007,6,2007-06,39,,0,70.6,57.9,77.1,2.77,-2.17,,,,,,,,,,,,,,,,,
2007,7,2007-07,39,,1,70.6,58.9,86.5,3.62,-0.73,,,,,,,,,,,,,,,,,
2007,8,2007-08,39,,2,75.0,64.0,79.2,5.72,2.05,,,,,,,,,,,,,,,,,
2007,9,2007-09,39,,8,67.4,54.3,72.2,2.37,-1.52,,,,,,,,,,,,,,,,,
2007,10,2007-10,39,,2,59.9,49.2,57.7,3.23,-0.4,,,,,,,,,,,,,,,,,
2007,11,2007-11,39,,0,42.0,32.9,39.6,3.24,-0.56,,,,,,,,,,,,,,,,,
2007,12,2007-12,39,,0,33.1,26.2,23.1,4.6,2.24,,,,,,,,,,,,,,,,,
2008,1,2008-01,39,,0,29.1,20.7,20.9,2.36,-0.06,,,,,,,,,,,,,,,,,
2008,2,2008-02,39,,0,28.4,20.1,21.8,4.9,3.98,,,,,,,,,,,,,,,,,
2008,3,2008-03,39,,0,36.8,28.4,38.0,6.41,4.56,,,,,,,,,,,,,,,,,
2008,4,2008-04,39,,0,52.9,41.0,53.8,2.52,-1.91,,,,,,,,,,,,,,,,,
2008,5,2008-05,39,,0,57.0,45.6,65.0,4.68,1.53,,,,,,,,,,,,,,,,,
2008,6,2008-06,39,,0,70.8,59.9,72.7,6.42,3.14,,,,,,,,,,,,,,,,,
2008,7,2008-07,39,,1,72.3,61.3,83.1,3.61,-0.17,,,,,,,,,,,,,,,,,
2008,8,2008-08,39,,5,70.4,58.6,82.4,1.9,-1.95,,,,,,,,,,,,,,,,,
2008,9,2008-09,39,,8,67.0,54.6,69.9,2.52,-1.14,,,,,,,,,,,,,,,,,
2008,10,2008-10,39,,0,52.0,40.3,56.3,1.85,-1.03,,,,,,,,,,,,,,,,,
2008,11,2008-11,39,,0,39.9,30.9,38.0,2.4,-1.37,,,,,,,,,,,,,,,,,
2008,12,2008-12,39,,0,31.0,22.2,14.7,4.54,1.87,,,,,,,,,,,,,,,,,
